Date	Sentiment
05/10/2014 20:59	Positive
05/10/2014 20:59	Positive
05/10/2014 20:59	Positive
05/10/2014 20:59	Negative
05/10/2014 20:59	Negative
05/10/2014 20:58	Negative
05/10/2014 20:58	Positive
05/10/2014 20:58	Positive
05/10/2014 20:58	Positive
05/10/2014 20:58	Positive
05/10/2014 20:58	Positive
05/10/2014 20:58	Positive
05/10/2014 20:58	Neutral
05/10/2014 20:58	Positive
05/10/2014 20:57	Negative
05/10/2014 20:57	Positive
05/10/2014 20:57	Positive
05/10/2014 20:57	Positive
05/10/2014 20:56	Neutral
05/10/2014 20:56	Negative
05/10/2014 20:56	Neutral
05/10/2014 20:56	Positive
05/10/2014 20:56	Positive
05/10/2014 20:56	Neutral
05/10/2014 20:56	Negative
05/10/2014 20:55	Negative
05/10/2014 20:55	Neutral
05/10/2014 20:55	Positive
05/10/2014 20:55	Neutral
05/10/2014 20:55	Neutral
05/10/2014 20:54	Positive
05/10/2014 20:54	Positive
05/10/2014 20:54	Negative
05/10/2014 20:54	Positive
05/10/2014 20:54	Negative
05/10/2014 20:54	Negative
05/10/2014 20:53	Negative
05/10/2014 20:53	Positive
05/10/2014 20:53	Positive
05/10/2014 20:53	Positive
05/10/2014 20:53	Negative
05/10/2014 20:53	Positive
05/10/2014 20:53	Neutral
05/10/2014 20:53	Positive
05/10/2014 20:52	Positive
05/10/2014 20:52	Neutral
05/10/2014 20:52	Positive
05/10/2014 20:52	Neutral
05/10/2014 20:52	Neutral
05/10/2014 20:51	Positive
05/10/2014 20:51	Positive
05/10/2014 20:51	Neutral
05/10/2014 20:51	Positive
05/10/2014 20:50	Positive
05/10/2014 20:50	Neutral
05/10/2014 20:50	Negative
05/10/2014 20:50	Positive
05/10/2014 20:50	Neutral
05/10/2014 20:50	Positive
05/10/2014 20:50	Positive
05/10/2014 20:50	Positive
05/10/2014 20:49	Negative
05/10/2014 20:49	Neutral
05/10/2014 20:49	Negative
05/10/2014 20:49	Positive
05/10/2014 20:49	Positive
05/10/2014 20:48	Positive
05/10/2014 20:48	Positive
05/10/2014 20:48	Neutral
05/10/2014 20:48	Positive
05/10/2014 20:48	Negative
05/10/2014 20:48	Positive
05/10/2014 20:48	Negative
05/10/2014 20:48	Positive
05/10/2014 20:48	Positive
05/10/2014 20:48	Negative
05/10/2014 20:47	Negative
05/10/2014 20:47	Positive
05/10/2014 20:47	Neutral
05/10/2014 20:47	Negative
05/10/2014 20:46	Positive
05/10/2014 20:46	Positive
05/10/2014 20:46	Neutral
05/10/2014 20:46	Negative
05/10/2014 20:46	Neutral
05/10/2014 20:46	Positive
05/10/2014 20:46	Neutral
05/10/2014 20:46	Neutral
05/10/2014 20:45	Neutral
05/10/2014 20:45	Positive
05/10/2014 20:45	Negative
05/10/2014 20:45	Positive
05/10/2014 20:45	Negative
05/10/2014 20:44	Positive
05/10/2014 20:44	Negative
05/10/2014 20:44	Positive
05/10/2014 20:43	Positive
05/10/2014 20:43	Negative
05/10/2014 20:43	Negative
05/10/2014 20:43	Neutral
05/10/2014 20:43	Negative
05/10/2014 20:43	Negative
05/10/2014 20:43	Positive
05/10/2014 20:43	Positive
05/10/2014 20:43	Positive
05/10/2014 20:43	Negative
05/10/2014 20:43	Positive
05/10/2014 20:43	Negative
05/10/2014 20:42	Positive
05/10/2014 20:42	Positive
05/10/2014 20:42	Negative
05/10/2014 20:42	Negative
05/10/2014 20:42	Negative
05/10/2014 20:42	Negative
05/10/2014 20:42	Negative
05/10/2014 20:42	Negative
05/10/2014 20:42	Positive
05/10/2014 20:42	Positive
05/10/2014 20:41	Negative
05/10/2014 20:41	Negative
05/10/2014 20:41	Negative
05/10/2014 20:41	Positive
05/10/2014 20:41	Positive
05/10/2014 20:41	Positive
05/10/2014 20:41	Negative
05/10/2014 20:41	Negative
05/10/2014 20:41	Neutral
05/10/2014 20:41	Neutral
05/10/2014 20:41	Neutral
05/10/2014 20:41	Neutral
05/10/2014 20:40	Neutral
05/10/2014 20:40	Neutral
05/10/2014 20:40	Neutral
05/10/2014 20:40	Negative
05/10/2014 20:40	Positive
05/10/2014 20:40	Negative
05/10/2014 20:40	Negative
05/10/2014 20:40	Negative
05/10/2014 20:40	Neutral
05/10/2014 20:40	Negative
05/10/2014 20:40	Positive
05/10/2014 20:40	Positive
05/10/2014 20:39	Neutral
05/10/2014 20:39	Positive
05/10/2014 20:39	Negative
05/10/2014 20:39	Negative
05/10/2014 20:39	Neutral
05/10/2014 20:39	Neutral
05/10/2014 20:39	Positive
05/10/2014 20:38	Positive
05/10/2014 20:38	Negative
05/10/2014 20:38	Negative
05/10/2014 20:38	Positive
05/10/2014 20:38	Positive
05/10/2014 20:38	Negative
05/10/2014 20:38	Neutral
05/10/2014 20:38	Positive
05/10/2014 20:38	Positive
05/10/2014 20:37	Negative
05/10/2014 20:37	Negative
05/10/2014 20:37	Negative
05/10/2014 20:37	Positive
05/10/2014 20:37	Negative
05/10/2014 20:37	Negative
05/10/2014 20:37	Positive
05/10/2014 20:37	Neutral
05/10/2014 20:37	Negative
05/10/2014 20:37	Neutral
05/10/2014 20:36	Neutral
05/10/2014 20:36	Neutral
05/10/2014 20:36	Positive
05/10/2014 20:36	Negative
05/10/2014 20:36	Negative
05/10/2014 20:36	Neutral
05/10/2014 20:36	Negative
05/10/2014 20:36	Negative
05/10/2014 20:36	Negative
05/10/2014 20:36	Neutral
05/10/2014 20:36	Neutral
05/10/2014 20:35	Positive
05/10/2014 20:35	Negative
05/10/2014 20:35	Negative
05/10/2014 20:35	Positive
05/10/2014 20:35	Negative
05/10/2014 20:35	Positive
05/10/2014 20:35	Positive
05/10/2014 20:35	Neutral
05/10/2014 20:35	Neutral
05/10/2014 20:35	Negative
05/10/2014 20:35	Negative
05/10/2014 20:34	Neutral
05/10/2014 20:34	Negative
05/10/2014 20:34	Positive
05/10/2014 20:34	Negative
05/10/2014 20:34	Negative
05/10/2014 20:34	Positive
05/10/2014 20:34	Negative
05/10/2014 20:33	Positive
05/10/2014 20:33	Neutral
05/10/2014 20:33	Positive
05/10/2014 20:33	Negative
05/10/2014 20:33	Negative
05/10/2014 20:33	Negative
05/10/2014 20:33	Positive
05/10/2014 20:33	Positive
05/10/2014 20:32	Positive
05/10/2014 20:32	Negative
05/10/2014 20:32	Neutral
05/10/2014 20:32	Neutral
05/10/2014 20:32	Negative
05/10/2014 20:32	Positive
05/10/2014 20:32	Negative
05/10/2014 20:32	Negative
05/10/2014 20:32	Negative
05/10/2014 20:32	Positive
05/10/2014 20:32	Negative
05/10/2014 20:32	Neutral
05/10/2014 20:32	Neutral
05/10/2014 20:31	Negative
05/10/2014 20:31	Negative
05/10/2014 20:31	Neutral
