Date,Sentiment,comment_id,sentiment
05/10/2014 20:59,valeu povo decente valeu povo nao acreditou ibope pesquisas compradas pt aecioneves aeciodevirada,3,1
05/10/2014 20:59,prezado favor nao ande aviao ass tancredo neves,6,1
05/10/2014 20:59,agora vai apoiar boa noite,13,1
05/10/2014 20:59,decio agora todos contra pt vamos votar,23,-1
05/10/2014 20:59,agora vou presidente vamos juntos vencer,24,-1
05/10/2014 20:58,vo ter votar fazer oq pt nunca,25,-1
05/10/2014 20:58,contrariando todas pesquisas faz vai fortalecido turno aecioconfirma aeciodevirada,31,1
05/10/2014 20:58,campanha fraca menos aqui aonde maioria coligacoes sao confusas todas estao pt,33,1
05/10/2014 20:58,sao tres semanas brasil possa iniciar mudanca candidato preparado,35,2
05/10/2014 20:58,coerente apoiando,38,1
05/10/2014 20:58,euvoteimarina nao quero cima muro deve apoiar possivel hoje mudanca poder urgente,41,1
05/10/2014 20:58,boa noticia pra espera brasil melhor,45,1
05/10/2014 20:58,fumar umas maconhas leve ne,50,0
05/10/2014 20:58,parabens forca segumdo turno aqui sao paulo estatemos junto luta,52,1
05/10/2014 20:57,espero sinceramente governo respeite trabalhador coisa atual nao fez,57,1
05/10/2014 20:57,coracao valente nao medo playboy,59,1
05/10/2014 20:57,exato vamos mudar brasil presidente,60,1
05/10/2014 20:56,chegou hora virada brasil chega corrupcao muda brasil vamos votar nele melhor pra brasil,71,0
05/10/2014 20:56,inacreditavel mineiro preze dizer vai votar,72,-1
05/10/2014 20:56,to torcendo voce deus quiser vamos ganhar,75,0
05/10/2014 20:56,certeza vai apoiar 0awv9ala turno,77,1
05/10/2014 20:56,colinha sao paulo so,79,1
05/10/2014 20:56,bjo p estado marabichoso q surpreendeu rt querido diz ai ce sente dps perder minas gerais,82,0
05/10/2014 20:56,lamento nao haver dialogado setores sociedade muita mineirice desconhecimento causa 0awv9ala turno enigmatico,83,-1
05/10/2014 20:55,vamos orientar tds votar olhar td antes confirmar voto 0aw9ale pode enganar d nv,88,-1
05/10/2014 20:55,vc ficar igual ficou nesse ultimo debate pra cima,90,0
05/10/2014 20:55,aci bons unir aciaig brasil novamente grande justo aciaig aci,92,1
05/10/2014 20:55,votei nao ganhar ainda existe esperanca brasil segundo turno foradilma,95,0
05/10/2014 20:55,mano namoral dilma ganhar vou ter vergonha ser brasileira forapt,101,0
05/10/2014 20:54,orgulho d ser brasileiro confiante mudanca milhoes vcs tamo junto irmao aecioneves 0awv9aiu,104,1
05/10/2014 20:54,vamos vamo candidato fique firme vai dar certo vamos tirar corja poder precisamos vencer mg hein,113,1
05/10/2014 20:54,chega odio 0awv9ajm obrigado brasil aecio 0awv9ajq,120,-1
05/10/2014 20:54,vc merece ja vitorioso vamos tds juntos,122,1
05/10/2014 20:54,espero nao tao otimista assim,125,-1
05/10/2014 20:54,muita luta vamos vencer vamos fazer limpeza brasil,127,-1
05/10/2014 20:53,0awv9ala turno vai ser pior mata morre nao tao afim largar osso,129,-1
05/10/2014 20:53,agora ta todo mundo querendo apoiar sai mim chule forapt,130,1
05/10/2014 20:53,espero barracos baixarias rt agora x espero bom nivel discussao projetos espero,133,1
05/10/2014 20:53,muuucha fuerza amigo aecio el comunismo devorando la region apoyamos,134,1
05/10/2014 20:53,0aw9ale confio nesse lixo urnas problemas votar vergonha,136,-1
05/10/2014 20:53,derrotou pesquisas marinasilva comocao irracional tudo mostrou duela igual pra igual,137,1
05/10/2014 20:53,obrigado nada quero ver voce fazer parte geracao pensa cobra amigo,138,0
05/10/2014 20:53,pra mudar brasil aecio presidente in belo horizonte minas gerais w swarmapp cjicddxpm,139,1
05/10/2014 20:52,feliz resultado espero vitoria segundo turno,149,1
05/10/2014 20:52,sp aposenta vota peso presente poste viva eleitor paulista aeciopresidente,152,0
05/10/2014 20:52,alo todo cuidado pouco daqui pra frente vale lembrar rio centro adversarios rezam mesma cartilha,161,1
05/10/2014 20:52,sei sim li outro dia preocupante vamos acreditar acabando dia todo mundo votando,163,0
05/10/2014 20:52,querido diz ai ce sente dps perder minas gerais,164,0
05/10/2014 20:51,voltamos ter esperanca brasil melhor vamos vitoria,170,1
05/10/2014 20:51,ceara torce vc amigo vai luta foradilma,172,1
05/10/2014 20:51,muita satisfacao voce acreditar comeco fim conseguir aecioneves,175,0
05/10/2014 20:51,juntos brasil melhor,177,1
05/10/2014 20:50,obrigada voce lutar brasil limpo aeciopresidente,190,1
05/10/2014 20:50,eh anti pt q fazer campanha chamar amigos p votar nao psdb voto nele facil p tirar pt poder,192,0
05/10/2014 20:50,inexplicavel ficou anos comando mg mil menos incoerencia eleicoes,193,-1
05/10/2014 20:50,cuidado pra nao cheirar bandeira presidente,196,1
05/10/2014 20:50,rt 0awv9ajm obrigado brasil aecio 0awv9ajq voto consciente rumo virada brasilmelhor,202,0
05/10/2014 20:50,grande porcentagem votos favoravel dilma apesar tudo fez,205,1
05/10/2014 20:50,agora voto voto 0awv9alo turno vai melhor atender pedidos junho,206,1
05/10/2014 20:50,voce fodaaaaaa votei vc votaria novamente unico mostrou capaz mudar brasil,207,1
05/10/2014 20:49,rt obrigado brasil aecio,210,-1
05/10/2014 20:49,aecio n deixa vagabunda dilma ganhar vc ganhar,214,0
05/10/2014 20:49,segundo turno ta definido vcs vao rt y fav y enquete,220,-1
05/10/2014 20:49,vamos juntos aecio colocar brasil lugar certo aecio,222,1
05/10/2014 20:49,nao sei sera bom presidente precisamos mudar manifestacoes junho provaram eleicoes aecio,229,1
05/10/2014 20:48,votos ultima hora sao oriundos ultimo debate promovido globo dilma aguarde correios petrobras,237,1
05/10/2014 20:48,acabou dizer vai apoiar,239,1
05/10/2014 20:48,parabens agora ganhar brasil,241,0
05/10/2014 20:48,bom ver forte vamos brasil precisa voce,246,2
05/10/2014 20:48,ola voce criar bolsa fa convenco toda familia votar voce obrigada ads,249,-1
05/10/2014 20:48,otimo rt votei porque apoiou parabens governador,251,1
05/10/2014 20:48,baianos decepcionam estado caminha ser maior cacete armado pt pais so resta diminuir estrago presidente,257,-2
05/10/2014 20:48,y disputaran el oct segunda vuelta resultados eloriente nethome oct en vivo elecciones en brasil 0awv9aiu provincias clave,259,1
05/10/2014 20:48,debate nao usa cola governanta vai ter levar varios calhamacos melhor dossiers tanto gosta,261,1
05/10/2014 20:48,euforia campanha tao grande site vamosagir congestionado,262,-1
05/10/2014 20:47,hora votar menos pior candidatos 0awv9ala turno foradilma forapt,263,-2
05/10/2014 20:47,parabens baixinho sucesso nova caminhada agora vamos apoiar,268,1
05/10/2014 20:47,direto sentir orgulho ser brasileira souaecio aecioneves,273,0
05/10/2014 20:47,aci obrigado brasil aecio,282,-1
05/10/2014 20:46,parabens sao paulo varreu comunistas poder agora turno vc votou marina vote,285,1
05/10/2014 20:46,venca melhor desde aecio,287,1
05/10/2014 20:46,gigante acordou dilma pt aeciopresidente eufuideaecio aeciosambandonadilma aecionosegundoturno,293,0
05/10/2014 20:46,deu caganeira d medo n vendo q pt tomou pe n bunda presidente lugar n bancada ta vago n,294,-1
05/10/2014 20:46,telhado vidro aecioporto helicoca playboy dirigir embriagado vai ser facil bater nele,295,0
05/10/2014 20:46,segundo turno ja sinto arrepios pele saber sao paulo inteiro voce,297,1
05/10/2014 20:46,0awv9ajm aecio votou acompanhado esposa leticia aecio 0awv9ajq dama srs,303,0
05/10/2014 20:46,idiota acredita manipula midia ate dois dias atras tratado carta baralho,305,0
05/10/2014 20:45,obrigado amigo muita coisa fazer trabalho ja comeca hoje,310,0
05/10/2014 20:45,rt melhor presente deus deu vida ensinou lutar skaterrrrr,318,1
05/10/2014 20:45,parabens futuro presidente brasil vamos derrotar pt segundo turno acabar quadrilha,320,-1
05/10/2014 20:45,ai primeira vez tantos militantes anti pt pro aecio p competencia vai ser melhor presidente brasil,329,1
05/10/2014 20:45,venha bahia pai povo leigo quer sofre anos,330,-1
05/10/2014 20:44,parabens senador nao so conducao segundo turno cexpressiva votacao recebida est sao paulo rumo vitoria,346,1
05/10/2014 20:44,va una segunda vuelta sin favoritos y la pregunta es donde ira marina silva veja abril brnoticiabrasil dilma aecio vao turno cenario aberto utmaf8 source redesabrilaf8 vejaacy utmaf8 medium twitteracy utmaf8 campaign redesabrilaf8 vej,348,-1
05/10/2014 20:44,aci agora x espero bom nivel discussao projetos espero aciaig vote aecio aciaig aci,350,1
05/10/2014 20:43,vamos torcer pais melhor,357,1
05/10/2014 20:43,pra cima chuck 0awv9ajm obrigado brasil aecio 0awv9ajq,358,-1
05/10/2014 20:43,imagino triste q tirar diferenca resto pais ta so achei ia ser dificil,364,-2
05/10/2014 20:43,bora ganhar segundo turno forapt,367,0
05/10/2014 20:43,genteee safado nao pode ganhar,368,-1
05/10/2014 20:43,0awv9ajm obrigado brasil aecio 0awv9ajq aeciopresidente mudabrasil,369,-1
05/10/2014 20:43,vc apoiar pt so mostra volta linha frente pt,370,1
05/10/2014 20:43,vc dever civico apoiar 0awv9ala turno nao ha outra opcao marina,371,2
05/10/2014 20:43,so comecando parabens sao joao del rey belo horizonte amam ae ae aeciooo aecio,374,2
05/10/2014 20:43,nova cara brasil vamos la povo aecioneves acordameupovo vote kakowaldrich obrigado,383,-1
05/10/2014 20:43,momento positivo foco agora ate final vai ser dar municao pro aecio,384,1
05/10/2014 20:43,nova cara brasil vamos la povo aecioneves acordameupovo vote kakowaldrich obrigado 0awv9aiu,385,-1
05/10/2014 20:42,aci vai continuar gastando deveria propaganda governo perfeitoaciaig igual fez minas aciaig aci,393,0
05/10/2014 20:42,euvoteimarina nao quero cima muro deve apoiar possivel hoje forapt foradilma,394,1
05/10/2014 20:42,votar amarelo votou,398,-2
05/10/2014 20:42,parabens ajudar voo rasante implacavel tucano bem nacao brasileira rumo segundo turno,400,-1
05/10/2014 20:42,agora partir pro segundo turno derrubar corruptos aeciopresidente,402,-1
05/10/2014 20:42,anos obrigado votar acordei cedo votar,405,-3
05/10/2014 20:42,jornalista comecando virar biruta relacao vergonhosomasesperado,408,-1
05/10/2014 20:42,this could be big news macro hedge fund investors brazil cc rt obrigado brasil aecio,409,-1
05/10/2014 20:42,festa linda virada aecio presidente in belo horizonte minas gerais swarmapp cnqkrcpvmq,415,1
05/10/2014 20:42,euvoteimarina nao quero cima muro deve apoiar possivel hoje forapt foradilma,416,1
05/10/2014 20:41,poupe ouvidos diz deu injecao animo ja tudo pronto abandona lo triste,433,-1
05/10/2014 20:41,pt vulneravel ataques assim vai tentar atacar toda forca,434,-1
05/10/2014 20:41,vc fazer lei servi exercito nao obrigatorio familia vota voce muitos vao votar vc fazer lei,439,-2
05/10/2014 20:41,aecioneves legitimo mineiro chegou nao quer nada agora muita chance ser presidente,440,1
05/10/2014 20:41,aecioneves melhor venca presidanta dilma,441,1
05/10/2014 20:41,voce merece preparado,444,1
05/10/2014 20:41,aci obrigado brasil aecio,445,-1
05/10/2014 20:41,votei ti so pra tirar bando vagabundo la prefiro ser mandado elite favelado bebado terrorista,453,-3
05/10/2014 20:41,parabens excelente resultado vamos ganhar segundo turno derrotar pt aeciodevirada,454,0
05/10/2014 20:41,cara marina senhora deve respeitar memoria nsso querido eduardo,457,1
05/10/2014 20:41,ainda existe esperanca brasil diferente apuracao mostra vamo aecio,459,0
05/10/2014 20:41,verdade povo daqui simples so medo ja faz votarem dilma,461,0
05/10/2014 20:40,importante tome licao nao dar territorio pro pt atacar,465,0
05/10/2014 20:40,vamos acreditar voce nao decepcione,468,0
05/10/2014 20:40,primeiramente parabens algo ser feito relacao institutos pesquisa alto poder influenciar,469,0
05/10/2014 20:40,nao jeito vou ter q votar cc,473,-1
05/10/2014 20:40,parabems brasil bom futuro voce vai pra frente,477,1
05/10/2014 20:40,repercussao ad4 rt obrigado brasil aecio,480,-1
05/10/2014 20:40,obrigado senador,482,-1
05/10/2014 20:40,aecio ia votar marina ultimos dias vc mudou voto postura querer mudar vai fe momento,483,-1
05/10/2014 20:40,problema q votos marina sao provaveis irem p dilma povo aqui ve aecio distante,486,0
