Date,Sentiment
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Positive
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Positive
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Positive
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Positive
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Neutral
2014-10-18  ,Negative
2014-10-18  ,Positive
2014-10-18  ,Neutral
2014-10-18  ,Positive
2014-10-18  ,Negative
2014-10-18  ,Neutral
2014-10-18  ,Negative
