text	sentiment
geraldo alckmin reeleito governador sao paulo ja ta decidido dilma vai pro segundo turno contra aecio neves aeciodevirada	negativo
 turno dilma aecio dois bosta	negativo
dilma rousseff  pt  aecio neves  psdb  vao disputar  turno	neutro
dilma novo nao ne	neutro
vai ser tao apertado votos luciana genro podem eleger dilma sim	positivo
voces idolatrando aecio  minimo  nao sabem nada sobre governo so vao status odiar dilma  parabens galera	negativo
segundo turno treva      urnas apuradas dilma votos aecio neves    marina   	neutro
dilma aecio af	negativo
pobreso pensa bolsa familia so q dilma sabe oferecertrouxas tudo voto p causa reais 	negativo
coisa nordestino votar dilma so causa bolsa familia mentira  aqui trabalhador gentr q acorda cedo pra trabalha	positivo
turno dilma aecio neves 	neutro
aecio ta so   atras dilma  vamos virar brasil    pictwitterhkplxnfclv	neutro
falei ia dar aecio cheira po dilma segundo turno falei falei 	neutro
unica coisa n queria alckmin governador  dilma aceito	neutro
affs povo mete pau dilma agora vai la vota nela merda	negativo
aaaargh odio desse povo brasileiro  faz protesto   faz caralho quatro pra chegar hoje votar dilma 	negativo
confirmado aecio neves x dilma segundo turno  neles 	positivo
dilma ganhou causa pobres 	negativo
 turno confirmado    dilma x aecio	positivo
dilma perde segundo turno	negativo
aecio dilma segundo turno  aecioconfirma	positivo
toma porra to revoltada pais retardado q vota dilma meoooo	negativo
antigamente so filhos ricos formavam  gracas dilma vejo filhos empregadas domestica universidade  formei gracas pt 	positivo
dilma dilma dilma	neutro
  dilma pegou pais ja estabilizado sistema pt   anos ja pt  facil assim nao 	positivo
tanto faz aecio dilma nenhum ai prestar msm	neutro
partiu segundo turno    dilma vs aecio    	neutro
dilma aecio estao garantidos segundo turno    chavalzada	negativo
0 turno aecio dilma puts	neutro
 verdade vamos ver marina outros vao apoiar dilma atacou marina vamos ver agora ne	neutro
debate aecio dilma turno sera covardia dilma nao tera chance	positivo
dilma aecio segundo turno voces sao otarios	neutro
nao favor dilma   aecio  pra mim devia ser presidente 	neutro
confirmado dilma aecio pro segundo turno dilma querida  deixa procurar voto pra voce	positivo
culpa nao dilma vc trouxa ir la protesto falar mal dps votar mesma	negativo
segundo turno confirmado  dilma aecio	positivo
