username	date	retweets	favorites	text	geo	mentions	hashtags	id	permalink	score	sentiment
RaulDudek	05/10/2014 19:59	0	0	geraldo alckmin reeleito governador de sao paulo e ja ta decidido a dilma vai pro segundo turno contra o aecio neves aeciodevirada			#AECIOdeVirada	5,19E+17	https://twitter.com/RaulDudek/status/518898425312849920	-0.1	negativo
wtshatboy	05/10/2014 19:59	1	0	 turno dilma e aecio dois bosta				5,19E+17	https://twitter.com/wtshatboy/status/518898424855678977	-1.0	negativo
RNemitz	05/10/2014 19:59	0	2	dilma rousseff  pt  e aecio neves  psdb  vao disputar o º turno.				5,19E+17	https://twitter.com/RNemitz/status/518898424423645184	0.0	neutro
GeiciSantiago	05/10/2014 19:59	0	0	dilma de novo nao ne				5,19E+17	https://twitter.com/GeiciSantiago/status/518898423916154881	0.0	neutro
michaelserra	05/10/2014 19:59	0	0	vai ser tao apertado que os votos da luciana genro podem eleger a dilma sim				5,19E+17	https://twitter.com/michaelserra/status/518898423702249472	0.3107142857142857	positivo
potterhalder	05/10/2014 19:59	1	0	voces idolatrando aecio  no minimo  nao sabem nada sobre o governo dele  so vao no status de odiar a dilma .. parabens galera				5,19E+17	https://twitter.com/potterhalder/status/518898423488339968	-0.3	negativo
DonaErvilha	05/10/2014 19:59	0	0	segundo turno da treva   >   com    das urnas apuradas dilma com    dos votos aecio neves    e marina   		@cbonlinedf		5,19E+17	https://twitter.com/DonaErvilha/status/518898423094079489	0.0	neutro
afe_marco	05/10/2014 19:59	0	0	dilma e aecio af				5,19E+17	https://twitter.com/afe_marco/status/518898423085674496	-1.0	negativo
FCLorenaBuerii	05/10/2014 19:59	0	1	pobre...so pensa em bolsa familia so isso q dilma sabe oferecer...e os trouxas tudo da o voto p ela por causa de     reais 				5,19E+17	https://twitter.com/FCLorenaBuerii/status/518898423043747840	-0.1	negativo
crazyalicew	05/10/2014 19:59	0	1	essa coisa dos nordestino votar na dilma so por causa do bolsa familia e uma mentira  aqui tem trabalhador gentr q acorda cedo pra trabalha				5,19E+17	https://twitter.com/crazyalicew/status/518898423039537153	0.1	positivo
Feliz_por_Dan	05/10/2014 19:59	0	0	turno dilma e aecio neves 				5,19E+17	https://twitter.com/Feliz_por_Dan/status/518898422980837376	0.0	neutro
yashagallazzi	05/10/2014 19:59	106	67	aecio ta so   atras de dilma  vamos virar isso  brasil  ;  pic.twitter.com/hkplxnfclv				5,19E+17	https://twitter.com/yashagallazzi/status/518898422683013120	0.0	neutro
isabellyborgesm	05/10/2014 19:59	0	0	eu falei que ia dar aecio cheira po e dilma no segundo turno falei falei mesmo				5,19E+17	https://twitter.com/isabellyborgesm/status/518898422452338688	0.0	neutro
gabiscoelho_	05/10/2014 19:59	0	0	a unica coisa que n queria era alckmin governador  mas dilma aceito				5,19E+17	https://twitter.com/gabiscoelho_/status/518898422158745600	0.0	neutro
