username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
giromatanorte;2018-06-11 18:35;1;0;nicetas o deputado federal paula psd e entrevistado programa hoje facebookgiromatanortevideos1991433694203269;;@Fl @Andr;#Noar #GiroNot;1006288768066826240;https://twitter.com/giromatanorte/status/1006288768066826240
giromatanorte;2018-06-11 12:44;0;0;o deputado federal presidente estadual psd andre paula e entrevistado desta segundafeira 11 programa giro noticias o programa vai ar segunda sextafeira partir  paulaentrevistadogironoticias;;;;1006200558330548224;https://twitter.com/giromatanorte/status/1006200558330548224
radioagrocity;2018-05-24 13:42;0;0;deputado andre paula e eleito quarto secretario camara  ;;;;999692179655348230;https://twitter.com/radioagrocity/status/999692179655348230
DominiumRelGov;2018-05-23 10:16;2;1;foi eleito ontem plenario camara deputados  secretario mesa diretora casa deputado andre paula psdpe foram votos favor contra abstencoes 6pcrur;;;;999277858458488832;https://twitter.com/DominiumRelGov/status/999277858458488832
cbnrecife;2018-05-23 07:22;1;1;cena politica o deputado andre paula psd pe eleito ontem  secretario camara federal substituicao paraibano romulo gouveia morreu infarto dia quais atribuicoes  secretaria camara deputados inaldo sampaio responde;;;#NoAr;999234183590531072;https://twitter.com/cbnrecife/status/999234183590531072
banoticiascombr;2018-05-23 00:40;0;0;deputado andre paula e eleito quarto secretario camara ;;;;999132926167191553;https://twitter.com/banoticiascombr/status/999132926167191553
O_PALPITADOR;2018-05-22 23:15;0;0;retweeted agencia brasil deputado andre paula e eleito quarto secretario camara  rodrigues pozzebomarquivo agencia brasil ;;@agenciabrasil;;999111667014389761;https://twitter.com/O_PALPITADOR/status/999111667014389761
agenciabrasil;2018-05-22 23:15;1;1;deputado andre paula e eleito quarto secretario camara  rodrigues pozzebomarquivo agencia brasil 16o;;;;999111422582968320;https://twitter.com/agenciabrasil/status/999111422582968320
MarcosBlog;2018-05-22 21:35;0;0;deputado andre paula e eleito quarto secretario camara ;;;;999086494080995328;https://twitter.com/MarcosBlog/status/999086494080995328
AGENCIABR1;2018-05-22 21:07;0;0;deputado andre paula e eleito quarto secretario camara andrepaulaeleitoquartosecretariocamara;;;;999079218888740864;https://twitter.com/AGENCIABR1/status/999079218888740864
EscaladeValores;2018-05-22 20:46;0;0;deputado andre paula e eleito quarto secretario camara 0522deputadoandrepaulaeleitoquartosecretariocamara;;;;999073987211726849;https://twitter.com/EscaladeValores/status/999073987211726849
paulobrowny;2018-05-22 20:41;0;0;deputado andre paula e eleito quarto secretario camara ;;;;999072898261270529;https://twitter.com/paulobrowny/status/999072898261270529
BrazilVox;2018-05-22 20:36;0;0;deputado andre paula e eleito quarto secretario camara  andrepaulaeleitoquartosecretariocamara;;;;999071450509307904;https://twitter.com/BrazilVox/status/999071450509307904
_Jose_Peres_;2018-05-22 20:32;0;0;deputado andre paula e eleito quarto secretario camara  utadoandrepaulaeleitoquartosecretariocamara;;;;999070471323836416;https://twitter.com/_Jose_Peres_/status/999070471323836416
BR_latest_news;2018-05-22 20:32;1;0;deputado andre paula e eleito quarto secretario camara  utadoandrepaulaeleitoquartosecretariocamara;;;;999070464826920961;https://twitter.com/BR_latest_news/status/999070464826920961
Brasil_News_NOW;2018-05-22 20:32;0;0;deputado andre paula e eleito quarto secretario camara  utadoandrepaulaeleitoquartosecretariocamara;;;;999070458162106368;https://twitter.com/Brasil_News_NOW/status/999070458162106368
_jose_luis_;2018-05-22 20:32;0;0;deputado andre paula e eleito quarto secretario camara  utadoandrepaulaeleitoquartosecretariocamara;;;;999070451136651265;https://twitter.com/_jose_luis_/status/999070451136651265
LiberaPensado;2018-05-22 20:31;0;0;deputado andre paula e eleito quarto secretario camara  utadoandrepaulaeleitoquartosecretariocamara;;;;999070194508103681;https://twitter.com/LiberaPensado/status/999070194508103681
diariomairipora;2018-05-22 20:30;0;0;deputado andre paula e eleito quarto secretario camara ;;;;999069940006182913;https://twitter.com/diariomairipora/status/999069940006182913
edumeireles39;2018-05-22 20:22;0;0;deputado andre paula e eleito quarto secretario camara ;;;;999068065617928192;https://twitter.com/edumeireles39/status/999068065617928192
g1politica;2018-05-22 19:42;0;3;deputado andre paula e eleito quartosecretario mesa diretora camara ;;;;999057858300907520;https://twitter.com/g1politica/status/999057858300907520
camaradeputados;2018-05-22 18:52;3;7;deputado andre paula psdpe e eleito cargo  secretario camara a vaga aberta apos falecimento deputado romulo gouveia http;;;#Pol;999045374458376197;https://twitter.com/camaradeputados/status/999045374458376197
vonivar;2018-05-22 18:44;0;0;deputado andre paula e eleito cargo  secretario camara ;;;;999043463751462912;https://twitter.com/vonivar/status/999043463751462912
blogricardoant;2018-05-19 12:59;0;0;;;;;997869379328118785;https://twitter.com/blogricardoant/status/997869379328118785
igorgadelham;2018-05-17 09:09;0;0;no psd decidiu indicar deputado andre paula pe  secretaria camara orgao responsavel conceder auxiliomoradia ele substituira deputado romulo gouveia pb faleceu eleicao andre acontecera proxima semana;;@broadpolitico;;997086670213255168;https://twitter.com/igorgadelham/status/997086670213255168
Joaquim_Lira;2018-05-13 17:52;0;1;um dia maes especial populacao curado v jaboatao eu deputado federal andre paula testemunha luta vereador marcio curados gente parabens vereador facebookjoaquimliraofi cialposts2147542255274928 ;;;;995768893766594562;https://twitter.com/Joaquim_Lira/status/995768893766594562
jairogaraujo;2018-05-10 07:44;0;0;mensagem do deputado andr de paula pelo aniversrio de taquaritinga do norte blogdojairogomes201805mensag deputadoandrepaulahtmlspref;;;;994528516694839296;https://twitter.com/jairogaraujo/status/994528516694839296
RaffieDellon;2018-05-01 15:10;0;4;em sao caetano entrega obras fem deputado federal andre paula 1k2mrgbcv;;;;991379465308725248;https://twitter.com/RaffieDellon/status/991379465308725248
Vereador_Li;2018-04-25 10:25;0;0;com deputado amigo andre paula lideranca psd camara deputados ;;;;989133380016107520;https://twitter.com/Vereador_Li/status/989133380016107520
Vereador_Li;2018-04-24 22:32;0;0;agradecendo deputado andre paula atender pedido conseguir junto ministro ;;;;988953835640119297;https://twitter.com/Vereador_Li/status/988953835640119297
psdcamara;2018-04-11 16:01;0;0;deputado sp e eleito presidente comissao a vicepresidencia ficou bancada deputado andre paula pe 9fiaif;;@Oficial_Goulart;#Ci #Tecnologia #PSD;984144333996740609;https://twitter.com/psdcamara/status/984144333996740609
DominiumRelGov;2018-04-11 15:57;0;3;eleito presidente comissao ciencia tecnologia comunicacao informatica cctci deputado antonio goulart psdsp vices deputado andre paula psdpe deputado paulo freire prsp roberto alves prbsp 680lc;;;;984143409215692800;https://twitter.com/DominiumRelGov/status/984143409215692800
pbjonatas;2018-04-11 14:38;0;0;deputado andre paula psdpe zueira protocolava pedido incluir tejando final nome parlamentar mostrar pra todos e brinca  984110265070505984 ;;;;984123417547935744;https://twitter.com/pbjonatas/status/984123417547935744
