username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CarlosTufvesson;2018-05-31 11:19;1;4;parabens deputado daniel coelho chega tanta demagogia 0aax4l5sk;;@pps23;;1.002192882911019e+18;https://twitter.com/CarlosTufvesson/status/1002192882911019008
WanderMegaByte;2018-05-30 13:15;0;0;deputado federal daniel coelho pps pe orientando voto bancada pps congresso vejam votando pais sendo tomado movimento caminhoneiros este e video devemos todos facebookwanderleytriv ideos1889724604423270;;;#Compartilhar;1.0018595736811315e+18;https://twitter.com/WanderMegaByte/status/1001859573681131521
mhmmelo;2018-05-29 16:46;0;6;recomendo todos verem video hoje depoimento deputado daniel coelho ppspe sobre mp criacao cargos comissionados meio greve caminhoneiros retirado canal parlatubebrasil video completo youtubewatchtimecon tinue64vrbhnosqiabs  3amrkwsm;;@DanielCoelho23;;1.0015503749380547e+18;https://twitter.com/mhmmelo/status/1001550374938054656
MOACIRP42224337;2018-05-28 16:19;1;1;deputado daniel coelho parabns pelas palavras contra contratao de mais vagabundos caros para o povo pagar esperamos que sejam honestas e verdadeiras;;;;1.0011812079740396e+18;https://twitter.com/MOACIRP42224337/status/1001181207974039552
LucasJJSCCP;2018-05-27 19:03;0;0;parabens deputado daniel coelho ppspe o analiso video e carreira politica pois no o conheo merece aplausos deveria ser normal padrao politicos e ouvimos analise sensata devemos valorizar 6vngm;;;;1.0008601098017751e+18;https://twitter.com/LucasJJSCCP/status/1000860109801775105
PetronioSanto;2018-05-26 09:56;1;1;cade deputado federal gosta fazer videos redes socias cade daniel coelho pra falar eloracao categoria donos postos gasolina;;;;1.000360080330707e+18;https://twitter.com/PetronioSanto/status/1000360080330706944
naggyinho;2018-05-24 08:15;0;1;enquanto crise abastecimento vai atingir alimentos parece disneylandia chamado congresso nada acontecendo tao votando mais cargos comissionados criacao mais municpios boa deputado daniel coelho mostrar  status999403330890846208 ;;;;9.996097973171855e+17;https://twitter.com/naggyinho/status/999609797317185536
VemPraRuaSampa;2018-05-23 11:37;1;0;o deputado daniel coelho comenta sobre absurdo projeto lei aprovado permitira criacao novos municipios acesse ajude pressionar deputados estado votem contra projeto facebookvempraruasaopa uloposts1617455514968435 ;;;;9.992983552882565e+17;https://twitter.com/VemPraRuaSampa/status/999298355288256518
VemPraRua_br;2018-05-23 11:26;163;376;o deputado daniel coelho comenta sobre absurdo projeto lei aprovado permitira criacao novos municipios acesse ajude facebookvempraruanetvideos1060095234171824 ;;;;9.992954871393075e+17;https://twitter.com/VemPraRua_br/status/999295487139307521
Wanlennon;2018-05-23 01:20;1;0;na semana passada camara deputados aprovou regime urgencia tramitacao plp1372015 preve criacao centenas novos municipios o deputado daniel coelho ppspe gravou facebookwanlennonpos ts1726276937410011 ;;;#ABSURDO;9.991430651881718e+17;https://twitter.com/Wanlennon/status/999143065188171777
