username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
eduardonino;2018-06-11 10:22;0;0;retweeted eduardo deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;@eduardonino @VAuiar;;1006164742430449664;https://twitter.com/eduardonino/status/1006164742430449664
eduardonino;2018-06-10 22:27;2;2;retweeted eduardo deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;@eduardonino;;1005984805434155013;https://twitter.com/eduardonino/status/1005984805434155013
eduardonino;2018-06-10 21:46;5;6;deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;;;1005974426075189250;https://twitter.com/eduardonino/status/1005974426075189250
eduardonino;2018-06-10 21:45;3;3;deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;;;1005974256776171520;https://twitter.com/eduardonino/status/1005974256776171520
eduardonino;2018-06-10 21:44;1;0;deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;;;1005974085732626433;https://twitter.com/eduardonino/status/1005974085732626433
Nill_Junior;2018-06-09 16:59;0;0;gonzaga patriota entrega tratores salgueiro  80xfc;;;;1005539903520804864;https://twitter.com/Nill_Junior/status/1005539903520804864
blogdidigalvao;2018-06-09 11:55;0;0;gonzaga patriota entrega dois tratores agricolas comunidades rurais salgueiro taentregadoistratoresagricolascomunidadesruraissalgueiro via;;@blogdidigalvao;;1005463293069352961;https://twitter.com/blogdidigalvao/status/1005463293069352961
paidegabriel;2018-06-06 10:34;0;0;prezado senador colega tocante plantao policial instituido mp primeiras emendas surgiram camara dentre dep gonzaga patriota seria interessante plantao durasse tempo necessario governo federal repor efetivo ;;@JoseMedeirosMT;;1004355802122121216;https://twitter.com/paidegabriel/status/1004355802122121216
ParlaTube;2018-06-05 14:49;0;1;dep gonzaga patriota psbpe registra nota pesar falecimento juarezinho ;;;;1004057715637997568;https://twitter.com/ParlaTube/status/1004057715637997568
ParlaTube;2018-06-05 14:49;0;1;dep gonzaga patriota psbpe registra nota pesar falecimento juarezinho ;;@psbnacamara;;1004057691172397056;https://twitter.com/ParlaTube/status/1004057691172397056
roberto40224824;2018-06-04 19:44;0;0;gonzaga patriota leva investimentos tabira blog roberto goncalves talevainvestimentostabira;;;;1003769460153610240;https://twitter.com/roberto40224824/status/1003769460153610240
roberto40224824;2018-06-04 19:43;0;0;gonzaga patriota leva investimentos tabira blog roberto goncalves talevainvestimentostabira;;;;1003769198948933633;https://twitter.com/roberto40224824/status/1003769198948933633
BLOGDOMAGNO;2018-06-04 17:50;0;1;deputado destina emendas municipio tabira o deputado federal gonzaga patriota psbpe ontem tabira visitando obras modernizacao garantindo emendas municipio  confira integra aqui d190790 ;;;;1003740811429842945;https://twitter.com/BLOGDOMAGNO/status/1003740811429842945
carlosbritto1;2018-06-04 12:01;0;0;nem tudo reluziu ouro deputado federal gonzaga patriota psb neste final semana andancas sertao pernambucano mesmo tendo apoio confirmado carlosbrittogonzagapatrio taganhaaliadosladopodeperderoutro;;;;1003652966815956992;https://twitter.com/carlosbritto1/status/1003652966815956992
carlosbritto1;2018-06-04 12:01;0;0;gonzaga patriota ganha aliados lado pode perder outro carlosbrittogonzagapatrio taganhaaliadosladopodeperderoutro 5b07cosykx;;;;1003652920548585473;https://twitter.com/carlosbritto1/status/1003652920548585473
PajeuAM;2018-06-04 08:06;0;0;prefeito afogados exvice tabira constam lista apoiadores gonzaga patriota afogadosexvicetabirajanaoconstamlistaapoiadoresgonzagapatriota;;;;1003593759035133954;https://twitter.com/PajeuAM/status/1003593759035133954
Nill_Junior;2018-06-04 07:49;0;0;prefeito afogados exvice tabira constam lista apoiadores gonzaga patriota  0fywa6f;;;;1003589615922634753;https://twitter.com/Nill_Junior/status/1003589615922634753
blogviniciuspe;2018-06-03 19:32;0;0;gonzaga patriota recebe apoio prefeitos erefeitos vereadores liderancas politicas  tarecebeapoioprefeitoserefeitosvereadoresliderancaspoliticas 1l;;;;1003404163231944705;https://twitter.com/blogviniciuspe/status/1003404163231944705
Nill_Junior;2018-06-03 18:55;0;0;gonzaga patriota leva investimentos tabira  8id2cs9f1l;;;;1003394746709049345;https://twitter.com/Nill_Junior/status/1003394746709049345
carlosbritto1;2018-06-02 16:36;0;0;em busca mandato camara federal deputado gonzaga patriota psb recebeu adesao diversas liderancas politicas sertao pajeu o apoio consolidado nesta sextafeira carlosbrittogonzagapatrio taconsolidanovosaliadossertao;;;;1002997280176312324;https://twitter.com/carlosbritto1/status/1002997280176312324
carlosbritto1;2018-06-02 16:35;0;0;gonzaga patriota consolida novos aliados sertao carlosbrittogonzagapatrio taconsolidanovosaliadossertao ;;;;1002997234626125824;https://twitter.com/carlosbritto1/status/1002997234626125824
InlandNWSports;2018-06-02 15:29;0;0;gonzaga prep took the win in game one of this double header against the pullman patriots with final score of 7 tune in shortly the second game on am kclx and listentothegame listentothegame;;;;1002980548174741504;https://twitter.com/InlandNWSports/status/1002980548174741504
roberto40224824;2018-06-02 13:54;0;0;gonzaga patriota recebe apoio prefeitos erefeitos vereadores liderancas politicas blog roberto goncalves tarecebeapoioprefeitoserefeitosvereadoresliderancaspoliticas;;;;1002956704563302401;https://twitter.com/roberto40224824/status/1002956704563302401
InlandNWSports;2018-06-02 13:18;0;0;the pullman patriots are going headtohead with gonzaga prep today in american legion baseball tune in the first game of this double header on am kclx and listentothegame listentothegame;;;;1002947577245908992;https://twitter.com/InlandNWSports/status/1002947577245908992
osecretariopovo;2018-06-02 11:36;0;0;gonzaga patriota recebe apoio prefeitos erefeitos vereadores liderancas politicas  tarecebeapoioprefeitoserefeitosvereadoresliderancaspoliticas 9olkdlqt;;;;1002921782351974400;https://twitter.com/osecretariopovo/status/1002921782351974400
roberto40224824;2018-05-30 11:23;0;0;gonzaga patriota sobre greve caminhoneiros desde chamava atencao congresso governo blog roberto goncalves tasobregrevecaminhoneirosdesde2000chamavaatencaocongressogoverno;;;;1001831579126259713;https://twitter.com/roberto40224824/status/1001831579126259713
carlosbritto1;2018-05-30 08:40;0;0;engajado anos camara deputados prol luta transportadores cargas gonzaga patriota psbpe disse ontem 29 durante carlosbrittogonzagapatrio tasobregrevecaminhoneirosdesde2000chamavaatencaocongressogoverno;;;;1001790470308102146;https://twitter.com/carlosbritto1/status/1001790470308102146
carlosbritto1;2018-05-30 08:40;0;0;gonzaga patriota sobre greve caminhoneiros desde chamava atencao congresso governo carlosbrittogonzagapatrio tasobregrevecaminhoneirosdesde2000chamavaatencaocongressogoverno 6u8;;;;1001790438678949888;https://twitter.com/carlosbritto1/status/1001790438678949888
ParlaTube;2018-05-29 19:19;0;0;dep gonzaga patriota psbpe protesta contra importacao coco apoia sindcoco ;;;;1001588893727289345;https://twitter.com/ParlaTube/status/1001588893727289345
ParlaTube;2018-05-29 19:19;0;1;dep gonzaga patriota psbpe protesta contra importacao coco apoia sindcoco ;;@psbnacamara;;1001588870272700416;https://twitter.com/ParlaTube/status/1001588870272700416
csiqueirapsb;2018-05-29 11:10;0;8;recebi nesta manha aqui sede partido brasilia deputado federal pe gonzaga patriota 1m4wcqim8;;;;1001465796017704960;https://twitter.com/csiqueirapsb/status/1001465796017704960
ParlaTube;2018-05-28 18:56;0;1;dep gonzaga patriota psb defende proposta instituir nova constituicao federal ;;@psbnacamara;;1001220785644728325;https://twitter.com/ParlaTube/status/1001220785644728325
Paivasil;2018-05-28 12:36;0;0;gonzaga patriota psb joao f coutinho psb marivaldo roendo psb tadeu alencar psb andre paula psd betinho gomes psdb daniel coelho psdb ricardo teobaldo podemos fonte congresso em foco;;;;1001125002593357829;https://twitter.com/Paivasil/status/1001125002593357829
nibiru201545;2018-05-27 18:21;0;0;morais go nao hissa abrahao am nao leonidas cristino ce nao pompeo mattos rs nao subtenente gonzaga mg nao vicente arruda ce nao total pdt patriota erivelton santana ba sim walney rocha rj nao total pen phs carlos andrade rr sim diego garcia pr sim dr;;;;1000849385809481729;https://twitter.com/nibiru201545/status/1000849385809481729
nibiru201545;2018-05-27 18:20;0;0;sachetti mt sim tila lira pi sim bebeto ba sim creuza pereira pe sim danilo cabral pe nao danilo forte ce sim fabio garcia mt sim flavinho sp sim gonzaga patriota pe sim heitor schuch rs nao heraclito fortes pi sim hugo leal rj sim ildon marques ma sim janete capiberibe;;;;1000849316079132672;https://twitter.com/nibiru201545/status/1000849316079132672
nibiru201545;2018-05-27 18:20;0;0;sim dagoberto ms nao felix mendonca junior ba nao flavia morais go nao hissa abrahao am nao leonidas cristino ce nao pompeo mattos rs nao subtenente gonzaga mg nao vicente arruda ce nao total pdt patriota erivelton santana ba sim walney rocha rj nao total pen;;;;1000849218507026433;https://twitter.com/nibiru201545/status/1000849218507026433
nibiru201545;2018-05-27 18:20;0;0;albuquerque al sim total prp psb adilton sachetti mt sim tila lira pi sim bebeto ba sim creuza pereira pe sim danilo cabral pe nao danilo forte ce sim fabio garcia mt sim flavinho sp sim gonzaga patriota pe sim heitor schuch rs nao heraclito fortes pi sim hugo leal;;;;1000849150970421251;https://twitter.com/nibiru201545/status/1000849150970421251
roberto40224824;2018-05-25 08:45;0;0;gonzaga patriota reforca alerta sobre necessidade investimentos transporte carga pais blog roberto goncalves tareforcaalertasobrenecessidadeinvestimentostransportecargapais;;;;999979699588730880;https://twitter.com/roberto40224824/status/999979699588730880
ParlaTube;2018-05-24 16:02;0;1;gonzaga patriota fala sobre sertania emancipacao municipios greve caminhoneiros ;;@psbnacamara;;999727411079065601;https://twitter.com/ParlaTube/status/999727411079065601
