username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
jairogaraujo,2018-06-11 18:22,0,0,tadeu alencar reforca agenda prefeitos governador paulo camara blogdojairogomes201806tadeu alencarreforcaagendahtmlspref,,,,1.0062855920811295e+18,https://twitter.com/jairogaraujo/status/1006285592081129472
jairogaraujo,2018-06-11 18:22,0,0,o deputado tadeu alencar lider psb camara reforca atuacao favor municipios estado onde mantem fortes lacos politicos o parlamentar intermediou audiencias prefeitos blogdojairogomes201806tadeu alencarreforcaagendahtmlspref,,,,1.0062855756646236e+18,https://twitter.com/jairogaraujo/status/1006285575664623617
Nill_Junior,2018-06-11 16:51,0,0,tadeu alencar reforca agenda prefeitos governador paulo camara  6iqqgwcsr,,,,1.0062626896126648e+18,https://twitter.com/Nill_Junior/status/1006262689612664834
eduardonino,2018-06-11 10:22,0,0,retweeted eduardo deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar,,@eduardonino @VAuiar,,1.0061647424304497e+18,https://twitter.com/eduardonino/status/1006164742430449664
eduardonino,2018-06-10 22:27,2,2,retweeted eduardo deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar,,@eduardonino,,1.005984805434155e+18,https://twitter.com/eduardonino/status/1005984805434155013
eduardonino,2018-06-10 21:46,5,6,deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar,,,,1.0059744260751892e+18,https://twitter.com/eduardonino/status/1005974426075189250
eduardonino,2018-06-10 21:45,3,3,deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar,,,,1.0059742567761715e+18,https://twitter.com/eduardonino/status/1005974256776171520
eduardonino,2018-06-10 21:44,1,0,deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar,,,,1.0059740857326264e+18,https://twitter.com/eduardonino/status/1005974085732626433
tadeu_alves,2018-06-09 21:56,0,2,a farsa jato  lawfare escancarado kennedy alencar emails odebrecht lula fhc acusado chefiar organizacao criminosa remailsodebrechtlulanaofhcacusadochefiarorganizacaocriminosa,,,,1.0056147575279084e+18,https://twitter.com/tadeu_alves/status/1005614757527908352
tadeu_alves,2018-06-07 23:04,2,0,kennedy alencar sobre moro rei camarote juiz ostentacao  nedyalencarsobremororeicamarotejuizostentacao,,,,1.0049070228637409e+18,https://twitter.com/tadeu_alves/status/1004907022863740928
Nill_Junior,2018-06-07 09:30,0,0,evandro valadares audiencia tadeu alencar  1,,,,1.0047021030155264e+18,https://twitter.com/Nill_Junior/status/1004702103015526400
prefeitura_sje,2018-06-07 08:37,0,0,prefeito de so jos do egito tem encontro com deputado tadeu alencar em braslia o parlamentar assumiu semana lideranca partido socialista brasileiro camara federal recebeu evandro facebookprefeiturasaoj osedoegitoposts397251847443013 ,,,,1.0046887608381972e+18,https://twitter.com/prefeitura_sje/status/1004688760838197248
ParlaTube,2018-06-06 21:04,1,0,tadeu alencar registra posicionamento psb sobre projeto trata criacao municipios ,,,,1.0045144246427853e+18,https://twitter.com/ParlaTube/status/1004514424642785280
ParlaTube,2018-06-06 21:04,1,1,tadeu alencar registra posicionamento psb sobre projeto trata criacao municipios ,,@psbnacamara,,1.0045143997664379e+18,https://twitter.com/ParlaTube/status/1004514399766437889
tadeu_alves,2018-06-06 19:04,0,0,kennedy alencar sobre moro rei camarote juiz ostentacao  nedyalencarsobremororeicamarotejuizostentacao,,,,1.004484286949544e+18,https://twitter.com/tadeu_alves/status/1004484286949543936
doglasbezerra,2018-06-06 18:17,0,0,parabens a jsb pernambuco orgulha historia  ,,,#TadeuAlencar,1.0044722850451579e+18,https://twitter.com/doglasbezerra/status/1004472285045157891
depjuliodelgado,2018-06-06 17:52,0,2,ontem ultimo dia lider psb camara deputados foram oito meses trabalho batalhas praticamente diarias agora bancada liderados grande parlamentar deputado federal tadeu alencar psb pernambuco,,,#PSB,1.0044660276511089e+18,https://twitter.com/depjuliodelgado/status/1004466027651108869
