username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
giromatanorte;2018-06-11 18:35;1;0;"#Noar #GiroNotícias com @Flávio Nicetas. O deputado federal, @André de Paula (PSD), é o entrevistado do programa de hoje. https://www. facebook.com/giromatanorte/ videos/1991433694203269/ …";;@Fl @Andr;#Noar #GiroNot;"1006288768066826240";https://twitter.com/giromatanorte/status/1006288768066826240
giromatanorte;2018-06-11 12:44;0;0;"O deputado federal e presidente estadual do PSD, André de Paula , é o entrevistado desta segunda-feira (11), do Programa Giro Notícias. O programa vai ao ar de segunda a sexta-feira, a partir... https:// giro.matanorte.com/politica/andre -de-paula-e-o-entrevistado-do-giro-noticias/ …";;;;"1006200558330548224";https://twitter.com/giromatanorte/status/1006200558330548224
radioagrocity;2018-05-24 13:42;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// agenciabrasil.ebc.com.br/politica/notic ia/2018-05/deputado-andre-de-paula-e-eleito-quarto-secretario-da-camara …";;;;"999692179655348230";https://twitter.com/radioagrocity/status/999692179655348230
DominiumRelGov;2018-05-23 10:16;2;1;"Foi eleito ontem, no Plenário da Câmara dos Deputados, o 4º Secretário da Mesa Diretora da Casa, Deputado André de Paula (PSD-PE). Foram 342 votos a favor, 16 contra e 15 abstenções. pic.twitter.com/pSNj6PCrur";;;;"999277858458488832";https://twitter.com/DominiumRelGov/status/999277858458488832
cbnrecife;2018-05-23 07:22;1;1;"#NoAr - Cena Política - O deputado André de Paula do PSD- PE, foi eleito ontem 4ª secretário da Câmara Federal em substituição ao paraibano Rômulo Gouveia, que morreu de infarto dia 13. Quais são as atribuições da 4ª Secretaria da Câmara dos Deputados? Inaldo Sampaio responde.";;;#NoAr;"999234183590531072";https://twitter.com/cbnrecife/status/999234183590531072
banoticiascombr;2018-05-23 00:40;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// banoticias.com.br/deputado-andre -de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999132926167191553";https://twitter.com/banoticiascombr/status/999132926167191553
O_PALPITADOR;2018-05-22 23:15;0;0;"Retweeted Agência Brasil ( @agenciabrasil ): Deputado André de Paula é eleito quarto secretário da Câmara https:// bit.ly/2IW8AOX Fabio Rodrigues Pozzebom/Arquivo Agência Brasil pic.twitter.com/KhhxHBacZN https:// bit.ly/2IW8AOX";;@agenciabrasil;;"999111667014389761";https://twitter.com/O_PALPITADOR/status/999111667014389761
agenciabrasil;2018-05-22 23:15;1;1;"Deputado André de Paula é eleito quarto secretário da Câmara https:// bit.ly/2IW8AOX Fabio Rodrigues Pozzebom/Arquivo Agência Brasil pic.twitter.com/OXgloUj16o";;;;"999111422582968320";https://twitter.com/agenciabrasil/status/999111422582968320
MarcosBlog;2018-05-22 21:35;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara https:// goo.gl/wswv2j";;;;"999086494080995328";https://twitter.com/MarcosBlog/status/999086494080995328
AGENCIABR1;2018-05-22 21:07;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara - http://www. agenciabr.com.br/noticia/deputa do-andre-de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999079218888740864";https://twitter.com/AGENCIABR1/status/999079218888740864
EscaladeValores;2018-05-22 20:46;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http://www. jb.com.br/pais/noticias/ 2018/05/22/deputado-andre-de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999073987211726849";https://twitter.com/EscaladeValores/status/999073987211726849
paulobrowny;2018-05-22 20:41;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// dlvr.it/QTm4z8 pic.twitter.com/2CP3N9NRij";;;;"999072898261270529";https://twitter.com/paulobrowny/status/999072898261270529
BrazilVox;2018-05-22 20:36;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// radiovoxbrazil.com/2018/05/deputa do-andre-de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999071450509307904";https://twitter.com/BrazilVox/status/999071450509307904
_Jose_Peres_;2018-05-22 20:32;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// liberapensado.com/2018/05/22/dep utado-andre-de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999070471323836416";https://twitter.com/_Jose_Peres_/status/999070471323836416
BR_latest_news;2018-05-22 20:32;1;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// liberapensado.com/2018/05/22/dep utado-andre-de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999070464826920961";https://twitter.com/BR_latest_news/status/999070464826920961
Brasil_News_NOW;2018-05-22 20:32;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// liberapensado.com/2018/05/22/dep utado-andre-de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999070458162106368";https://twitter.com/Brasil_News_NOW/status/999070458162106368
_jose_luis_;2018-05-22 20:32;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// liberapensado.com/2018/05/22/dep utado-andre-de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999070451136651265";https://twitter.com/_jose_luis_/status/999070451136651265
LiberaPensado;2018-05-22 20:31;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// liberapensado.com/2018/05/22/dep utado-andre-de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999070194508103681";https://twitter.com/LiberaPensado/status/999070194508103681
diariomairipora;2018-05-22 20:30;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// diariodemairipora.com.br/2018/05/deputa do-andre-de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999069940006182913";https://twitter.com/diariomairipora/status/999069940006182913
edumeireles39;2018-05-22 20:22;0;0;"Deputado André de Paula é eleito quarto secretário da Câmara http:// leiaquibrasil.net/deputado-andre -de-paula-e-eleito-quarto-secretario-da-camara/ …";;;;"999068065617928192";https://twitter.com/edumeireles39/status/999068065617928192
g1politica;2018-05-22 19:42;0;3;"Deputado André de Paula é eleito quarto-secretário da Mesa Diretora da Câmara https:// glo.bo/2rWo8Zh";;;;"999057858300907520";https://twitter.com/g1politica/status/999057858300907520
camaradeputados;2018-05-22 18:52;3;7;"Deputado André de Paula (PSD-PE) é eleito para cargo de 4º secretário da Câmara. A vaga foi aberta após o falecimento do deputado Rômulo Gouveia. http:// goo.gl/HBGK8S #Política";;;#Pol;"999045374458376197";https://twitter.com/camaradeputados/status/999045374458376197
