username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
blogdidigalvao;2018-06-02 11:12;0;0;"Ex-prefeito de Parnamirim confirma apoio a pré-candidatura do deputado Augusto Coutinho http://www. didigalvao.com.br/ex-prefeito-de -parnamirim-confirma-apoio-a-pre-candidatura-do-deputado-augusto-coutinho/ …";;;;"1002915945340395520";https://twitter.com/blogdidigalvao/status/1002915945340395520
alessandraxv;2018-05-18 19:19;0;1;"Estive presente na assinatura de ordem de serviço de terraplanagem no sítio Bandeira, em Brejo da Madre de Deus, ao lado do prefeito Hilário Paulo, do vice-prefeito Josivaldo, do prefeito de Santa Cruz Edson Vieira, do deputado federal Augusto Coutinho . pic.twitter.com/CYAcZB0Shz";;;;"997602518426423302";https://twitter.com/alessandraxv/status/997602518426423302
cbnrecife;2018-05-14 09:25;0;1;"#NoAr - O deputado federal Augusto Coutinho (Solidariedade), fala sobre o debate na Câmara Federal sobre a nova lei das licitações no Recife.";;;#NoAr;"996003456166121473";https://twitter.com/cbnrecife/status/996003456166121473
JoseVitti;2018-04-24 12:15;1;6;"Agradeço a deputada federal por Goiás, Flávia Morais e o relator do projeto, também deputado Augusto Coutinho pela presença e pelo debate proveitoso que busca um novo marco legal de licitações no Brasil pic.twitter.com/MaFuMpO7tW";;;;"988798641468043270";https://twitter.com/JoseVitti/status/988798641468043270
rbezerrademelo;2018-04-06 12:56;0;0;"Sem partido desde 2017, quando foi expulso do PDT, deputado assina ficha do partido presidido no Estado por Augusto Coutinho Cadoca se filia ao Solidariedade http://www. folhape.com.br/politica/polit ica/folha-politica/2018/04/06/NWS,64407,7,459,POLITICA,2193-CADOCA-FILIA-SOLIDARIEDADE.aspx …";;;;"982285827186286593";https://twitter.com/rbezerrademelo/status/982285827186286593
pbpeisf;2018-04-03 14:23;0;0;"Deputado Federal Augusto Coutinho destina R$200 mil para Saúde de Itambé - PBPE http:// pbpe.com.br/?p=3619";;;;"981220673052971008";https://twitter.com/pbpeisf/status/981220673052971008
FolhaMilitar;2018-03-25 16:13;0;0;"Comandante da Aeronáutica recebe Deputado Federal Augusto Coutinho : https:// bit.ly/2HWxGZW https:// bit.ly/2HWxGZW";;;;"977986740811128835";https://twitter.com/FolhaMilitar/status/977986740811128835
portalfab;2018-03-23 07:44;3;58;"#ComandanteFAB Tenente-Brigadeiro Rossato recebe Deputado Federal Augusto Coutinho . https:// goo.gl/oR4PwP pic.twitter.com/bUBypVqLMy";;;#ComandanteFAB;"977133961859293184";https://twitter.com/portalfab/status/977133961859293184
LucrecioOficial;2018-03-08 21:04;0;0;"Estamos em busca de melhorias para nossa cidade, agradecemos ao Deputado Augusto Coutinho que está sempre... https:// fb.me/2EPIDAHPa";;;;"971899391249403905";https://twitter.com/LucrecioOficial/status/971899391249403905
bancada77;2018-02-28 16:26;0;0;"O deputado Augusto Coutinho participou de um debate na TV Câmara sobre o seu projeto de lei 3.370/2012 que torna... https:// fb.me/JTpkmV4o";;;;"968930342567596032";https://twitter.com/bancada77/status/968930342567596032
cbnrecife;2018-02-21 09:25;0;4;"#NoAr : Mário Neto conversa com deputado Augusto Coutinho (SD), sobre a nova Lei da Adoção. Acompanhe em 105,7FM";;;#NoAr;"966287713807814657";https://twitter.com/cbnrecife/status/966287713807814657
77solidariedade;2018-02-20 22:38;0;0;"O Congresso derrubou nesta terça os 4 vetos que o governo tinha feito à Nova Lei de Adoção, de autoria do deputado Augusto Coutinho - @augustocmelo - Saiba como ficou a lei aqui: https:// goo.gl/DNrFzh pic.twitter.com/8Jb9G7vJc5";;@augustocmelo;;"966124832361451521";https://twitter.com/77solidariedade/status/966124832361451521
EscadaNews;2018-02-10 10:39;0;0;"Secretários e o deputado Augusto Coutinho buscam recursos para Escada https:// fb.me/2DYIWJboN";;;;"962305098784432128";https://twitter.com/EscadaNews/status/962305098784432128
EscadaNews;2018-02-10 10:39;0;0;"Secretários e o deputado Augusto Coutinho buscam recursos para Escada https:// fb.me/1UZlDnkSj";;;;"962305094522990593";https://twitter.com/EscadaNews/status/962305094522990593
EscadaNews;2018-02-10 10:39;0;0;"Secretários e o deputado Augusto Coutinho buscam recursos para Escada http:// dlvr.it/QFpB0d pic.twitter.com/fMQ1eFlhGY";;;;"962305068048396289";https://twitter.com/EscadaNews/status/962305068048396289
sanchilisoficia;2018-02-10 10:39;0;0;"Secretários e o deputado Augusto Coutinho buscam recursos para Escada: Ontem (06/02) o Secretario do Desenvolvimento Institucional Dr. Klaus e o Secretário de Educação, Cultura, Esportes e Lazer, Professor John http:// dlvr.it/QFpB0H pic.twitter.com/3gP1fJHCdZ";;;;"962305061555597312";https://twitter.com/sanchilisoficia/status/962305061555597312
pref_olinda;2018-02-04 15:49;3;18;"As Virgens de Bairro Novo chegaram com tudo nas ruas e tão desfilando e fazendo a alegria de um montão de gente. O prefeito Professor Lupércio, o vice Márcio Botelho, o deputado federal Augusto Coutinho e o vereador do Recife Rodrigo Coutinho acompanham o evento. pic.twitter.com/iQSc4R9W4v";;;;"960208785150304256";https://twitter.com/pref_olinda/status/960208785150304256
marcosalmeidape;2018-02-02 08:05;0;0;"Sindicalista Antonio de Nestor confirma apoio à pré-candidatura do deputado federal Augusto Coutinho https:// marcosalmeidalocutor.wordpress.com/2018/02/02/sin dicalista-antonio-de-nestor-confirma-apoio-a-pre-candidatura-do-deputado-federal-augusto-coutinho/ … pic.twitter.com/VIxC2TyLxF";;;;"959367231674175488";https://twitter.com/marcosalmeidape/status/959367231674175488
blogdidigalvao;2018-02-02 00:41;0;0;"Sindicalista Antonio de Nestor confirma apoio à pré-candidatura do deputado federal Augusto Coutinho - http:// go.shr.lc/2ny11kw via @Shareaholic";;@Shareaholic;;"959255353144815617";https://twitter.com/blogdidigalvao/status/959255353144815617
WHITNEYPEREIRA;2018-01-31 14:51;0;0;"Jatobá: Prefeita Goreti Varjão consegue mais de R$ 2 Milhões em Emendas através do Deputado Federal Augusto Coutinho https:// portaljatoba.com.br/jatoba-prefeit a-goreti-varjao-consegue-mais-de-r-2-milhoes-em-emendas-atraves-do-deputado-federal-augusto-coutinho/ …";;;;"958744599908048896";https://twitter.com/WHITNEYPEREIRA/status/958744599908048896
