username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
cidcleybuarque;2018-06-11 19:31;0;1;"*Vossa excelência";;;;"1006302876770193413";https://twitter.com/cidcleybuarque/status/1006302876770193413
cidcleybuarque;2018-06-11 19:29;0;1;"Acho que Vossa Senhoria por ser um parlamentar e candidato, deveria ter mais prudência com a divulgação da notícia. Hoje recebi a matéria da UOL falando do FHC defendendo o Lula, quando abrir, não era nada daquilo. Meu voto ainda é seu, mas seja mais pudente!!!";;;;"1006302335826563072";https://twitter.com/cidcleybuarque/status/1006302335826563072
tradespy1900;2018-06-11 14:24;0;1;"UOL, deputado? Sério? Se possível, poste o vídeo em que em disse isso. Seria interessante, pois na reportagem não é isso que foi dito. Fica a pergunta: e aborto, Deputado? Isso pode?";;;;"1006225642109718530";https://twitter.com/tradespy1900/status/1006225642109718530
carteira_certa;2018-06-11 13:31;0;1;"Podíamos esterilizar os políticos!";;;;"1006212288238489602";https://twitter.com/carteira_certa/status/1006212288238489602
pedrotopspin;2018-06-11 12:38;0;1;"No papo eh lindo. Pena que ninguém faz.";;;;"1006198951383576576";https://twitter.com/pedrotopspin/status/1006198951383576576
luiz_1711;2018-06-11 12:30;0;1;"Esse imbecil pensa que está no seriado Westworld fantasiado de Clint Eastwood";;;;"1006197045428936704";https://twitter.com/luiz_1711/status/1006197045428936704
BrasilLibre;2018-06-10 17:57;0;0;"Betinho , se juntar com @meirelles esses dois irao longr. Torço.";;@meirelles;;"1005916990068928513";https://twitter.com/BrasilLibre/status/1005916990068928513
coachsandrolima;2018-06-10 10:49;1;8;"O Judiciario E o primeiro a pedir mais Estado ... Com ferias de 60 dias, fora as folgas. .. Trabalham pouco e ainda querem mais funcionarios ... Absurdo ! @DanielCoelho23 @anaamelialemos @Sen_Cristovam @betinhogomes @jairbolsonaro @MonicaWaldvogel @FamiliaemPauta @DepSheridan https:// twitter.com/o_antagonista/ status/1005803555666702336 …";;@DanielCoelho23 @anaamelialemos @Sen_Cristovam @betinhogomes @jairbolsonaro @MonicaWaldvogel @FamiliaemPauta @DepSheridan;;"1005809190760337409";https://twitter.com/coachsandrolima/status/1005809190760337409
mlopez_16;2018-06-10 05:37;0;4;"13 puntos e 16 de valoración onte Betinho Gomes nas finais da #LegaA https:// twitter.com/LegaBasketA/st atus/1005548922004271106 …";;;#LegaA;"1005730774753206272";https://twitter.com/mlopez_16/status/1005730774753206272
brazjljunior1;2018-06-09 16:49;0;0;"Novos município quantos? O Brasil tem que sim ter novos municípios , agora com trabalho";;;;"1005537468387680262";https://twitter.com/brazjljunior1/status/1005537468387680262
TLoren2;2018-06-08 18:05;0;0;"pic.twitter.com/ajUTYZo158";;;;"1005194121202601986";https://twitter.com/TLoren2/status/1005194121202601986
sf79;2018-06-08 10:23;0;1;"Conta pra mãe dele Geraldo !";;;;"1005077832589103105";https://twitter.com/sf79/status/1005077832589103105
jaylanferreira;2018-06-08 10:10;0;1;"Hehehhe. Sensacional!";;;;"1005074467591278593";https://twitter.com/jaylanferreira/status/1005074467591278593
sf79;2018-06-08 09:40;0;0;"Deputado não se sujeite a isso que esta ficando feio parece coisa de criança !";;;;"1005066915793047552";https://twitter.com/sf79/status/1005066915793047552
MrIsmaelOliver;2018-06-07 14:40;0;0;"Não podemos aceitar mais gastos!";;;;"1004780182228684800";https://twitter.com/MrIsmaelOliver/status/1004780182228684800
tradespy1900;2018-06-07 13:37;0;1;"Avante, Deputado! Votei em você e no seu pai, em Jaboatão! Bora trabalhar e nos representar! Chega de mais Estado! A sociedade clama pela redução!";;;;"1004764263800627201";https://twitter.com/tradespy1900/status/1004764263800627201
tiagomorais87;2018-06-07 12:52;0;0;"Vai botar o casaco da Petrobrás pra ir pra sabatina? Kkkk";;;;"1004752858116444160";https://twitter.com/tiagomorais87/status/1004752858116444160
AliomarCamara;2018-06-07 11:11;0;1;"a campanha dele é tipo a de Vado, se não for a debates, perde uns votos, mas se for, perde milhares";;;;"1004727537363292161";https://twitter.com/AliomarCamara/status/1004727537363292161
luiz_1711;2018-06-07 10:47;0;0;"É que ele descobriu que não dá pra ir fantasiado de "Clint Eastwood "";;;;"1004721417798201345";https://twitter.com/luiz_1711/status/1004721417798201345
sf79;2018-06-07 10:16;0;0;"Quer falar sobre como o PCC nasceu no Estado de São Paulo ? Ou falar sobre o Aécim que continua no PSDB sobre a presidência do Geraldo ?";;;;"1004713665268994048";https://twitter.com/sf79/status/1004713665268994048
sokris;2018-06-07 09:02;0;0;"parabéns! Continue na luta!";;;;"1004694969565761537";https://twitter.com/sokris/status/1004694969565761537
vfmauricio6;2018-06-07 08:41;0;0;"@betinhogomes E ainda reclamam do prejuízo causado pela greve dos caminhoneiros . Que belo exemplo dos parlamentares...";;@betinhogomes;;"1004689905937678338";https://twitter.com/vfmauricio6/status/1004689905937678338
