username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
blogdoedvaldo;2018-06-04 13:07;0;1;"Em sendo indicado pelo grupo de Raquel e João Lyra, Lula Tôrres poderá dobrar com o deputado federal Bruno Araújo http:// dlvr.it/QW8Y6H pic.twitter.com/GwObJXw3P9";;;;"1003669698066591745";https://twitter.com/blogdoedvaldo/status/1003669698066591745
paulofarias55;2018-05-23 06:54;0;1;"A pressão de Elias Gomes e Betinho Gomes para que Bruno Araujo seja candidato a Senador a todo custo, é intencional. Betinho já é um ex Deputado e sonha com as bases de Bruno para salvar-se.";;;;"999227039394795520";https://twitter.com/paulofarias55/status/999227039394795520
joaquimprefeito;2018-05-19 23:04;0;1;"Mais uma edição de sucesso da Trilha do Bacurau, evento consolidado e que já faz parte da agenda de todo trilheiro da região. Ao lado do Deputado Federal Bruno Araújo , de vereadores, secretários e amigos,... https://www. facebook.com/JoaquimNeto45/ posts/1265486066920312 …";;;;"998021507380072450";https://twitter.com/joaquimprefeito/status/998021507380072450
jairogaraujo;2018-05-19 18:27;0;0;"Na noite desta sexta-feira o prefeito Edson Vieira, de Santa Cruz do Capibaribe, entregou seis praças na Avenida Padre Zuzinha. O evento contou com a presença do deputado federal Bruno Araujo , que injetou, em emendas, quase 60 milhões de reais para o... http://www. blogdojairogomes.com/2018/05/entreg a-de-pracas-marcam-sexta-feira-18.html?spref=fb …";;;;"997951955489185792";https://twitter.com/jairogaraujo/status/997951955489185792
paulofarias55;2018-05-14 20:28;0;1;"Em Pernambuco só elegerá Bruno Araújo . Betinho Gomes é um ex Deputado , no exercício do mandato. Terá metade da votação que o pai comprou como prefeito de Jaboatão.";;;;"996170359031455751";https://twitter.com/paulofarias55/status/996170359031455751
Gravatanamidia;2018-05-07 12:15;0;0;"#COMPARTILHE ! Política PE - Deputado e Ex-Ministro Bruno Araújo relembra apoio do PSB ao impeachment http://www. politicape.com.br/deputado-e-ex- ministro-bruno-araujo-relembra-apoio-do-psb-ao-impeachment/ …";;;#COMPARTILHE;"993509598479896576";https://twitter.com/Gravatanamidia/status/993509598479896576
FernandinoNeto;2018-05-04 19:49;0;1;"O deputado Bruno Araújo publicando a carta do PSB apoiando o impeachment de Dilma é incoerente e imoral. Ele se esqueceu que também apoiou o golpe e tudo que o presidente golpista tem feito contra os mais pobres nesse país?!";;;;"992536731504214017";https://twitter.com/FernandinoNeto/status/992536731504214017
giromatanorte;2018-05-04 16:21;0;0;"O deputado Bruno Araújo (PSDB) relembrou, nesta sexta-feira, 4, em suas redes sociais, a carta do PSB de Pernambuco divulgada na véspera da votação do impeachment da ex-presidente Dilma... https:// giro.matanorte.com/pernambuco/ara ujo-relembra-apoio-do-psb-ao-impeachment/ …";;;;"992484379812335618";https://twitter.com/giromatanorte/status/992484379812335618
aeniadanieli;2018-05-03 18:15;0;0;"Deputado federal Bruno Araújo avisa ao povo Brasileiro outro absurdo… https://www. instagram.com/p/BiVE1XBgsMR/ ?utm_source=twitter …";;;;"992150596345004032";https://twitter.com/aeniadanieli/status/992150596345004032
blogdacomunida1;2018-04-30 01:12;0;0;"O pré candidato a deputado estadual pelo Avante Belarmino Silva, em parceria com o Ex-Ministro das cidades Bruno Araujo , consegue verba de (cento e noventa milhões) para o saneamento básico de Jaboatão dos Guararapes. pic.twitter.com/iPmYa3ZY9z";;;;"990805955393806336";https://twitter.com/blogdacomunida1/status/990805955393806336
jairogaraujo;2018-04-21 22:17;0;0;"Peça-chave no golpe parlamentar de 2016 e voto decisivo no impeachment da presidente eleita Dilma Rousseff, o ex-ministro e deputado federal Bruno Araújo (PSDB-PE) disse que o... http://www. blogdojairogomes.com/2018/04/peca-c have-no-impeachment-bruno-araujo.html?spref=fb …";;;;"987862926106218496";https://twitter.com/jairogaraujo/status/987862926106218496
MBRAndrea;2018-04-21 15:59;2;2;"Ser insuportável, desde a faculdade "Peça-chave e voto decisivo no golpe que resultou no impeachment da presidente eleita Dilma Rousseff, o ex-ministro e deputado federal Bruno Araújo (PSDB-PE)..." Há inferno também no serpentário... http:// amp.brasil247.com/pt/247/pernamb uco247/351990/Peça-chave-no-impeachment,-Bruno-Araújo-diz-que-PSB-tramou-para-derrubar-Dilma … pic.twitter.com/BkSznLkKkh";;;;"987767832720105473";https://twitter.com/MBRAndrea/status/987767832720105473
MarcioQueen;2018-04-21 12:47;0;0;"Paulo Câmara diz ao deputado Bruno Araújo que ele deveria se preocupar com o partido dele em Pernambuco http:// dlvr.it/QQJhhn pic.twitter.com/Q1BsV97BVu";;;;"987719595661246469";https://twitter.com/MarcioQueen/status/987719595661246469
kkdesouza;2018-04-21 08:25;0;1;"*NOTA DO GOVERNADOR E VICE-PRESIDENTE NACIONAL DO PSB, PAULO CÂMARA* “O deputado Bruno Araújo deveria se preocupar com o partido dele em Pernambuco, que se esvaziou sob o seu comando. Nunca, nem eu e nem... https://www. facebook.com/karolinadesouz a/posts/10212069227991793 …";;;;"987653513042972672";https://twitter.com/kkdesouza/status/987653513042972672
TomeiAbuso;2018-04-20 13:02;2;4;"Deputado federal Bruno Araújo (PSDB-PE) disse que o governador de Pernambuco, Paulo Câmara, e o prefeito do Recife, Geraldo Jullio, trataram diretamente com ele de formas para afastar Dilma da Presidência da República https://www. brasil247.com/pt/247/pernamb uco247/351990/Pe%C3%A7a-chave-no-impeachment-Bruno-Ara%C3%BAjo-diz-que-PSB-tramou-para-derrubar-Dilma.htm …";;;;"987360831145959425";https://twitter.com/TomeiAbuso/status/987360831145959425
BLOGDOMAGNO;2018-03-23 13:50;0;0;"Bruno destaca investimentos para PE em Caruaru O deputado Bruno Araújo acompanhou, hoje, a prefeita Raquel Lyra durante solenidade em que finalizou o processo de cadastramento das famílias que vão receber casas na zona rural de Caruaru - http://www. blogdomagno.com.br/ver_post.php?i d=188147 … pic.twitter.com/Wy9nMmv84r";;;;"977226200958603265";https://twitter.com/BLOGDOMAGNO/status/977226200958603265
robertajungmann;2018-03-21 18:24;0;1;"O presidente do PSDB de Pernambuco, deputado Bruno Araújo , lamentou a saída do ministro Raul… https://www. instagram.com/p/Bgmao7IgNiT/";;;;"976570360006103042";https://twitter.com/robertajungmann/status/976570360006103042
jairogaraujo;2018-03-18 11:42;0;0;"O deputado federal Bruno Araújo e o ministro da Educação, Mendonça Filho, estiveram cumprindo agenda em Santa... https:// fb.me/OaBHxaQs";;;;"975382007348957184";https://twitter.com/jairogaraujo/status/975382007348957184
edertoritama;2018-03-17 14:16;0;0;"Entrevista com o deputado Federal Bruno Araújo .: http:// youtu.be/RS_VRtKHmdA?a via @YouTube";;@YouTube;;"975058362822897664";https://twitter.com/edertoritama/status/975058362822897664
jairogaraujo;2018-03-15 09:23;0;0;"O deputado federal Bruno Araújo destinou uma emenda parlamentar no valor de 750 mil reais, que deverão ser... https:// fb.me/9coszD437";;;;"974259764829057024";https://twitter.com/jairogaraujo/status/974259764829057024
