username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CarlosTufvesson;2018-05-31 11:19;1;4;"Parabéns ao @pps23 e seu deputado Daniel Coelho ! Chega de tanta demagogia! pic.twitter.com/K0AAX4l5SK";;@pps23;;"1002192882911019008";https://twitter.com/CarlosTufvesson/status/1002192882911019008
WanderMegaByte;2018-05-30 13:15;0;0;"Deputado Federal Daniel Coelho (PPS PE) orientando o voto da bancada do PPS no Congresso. Vejam só o que estavam votando quando o país estava sendo tomado por este movimento dos caminhoneiros. Este é um vídeo que devemos #Compartilhar para que todos... https://www. facebook.com/wanderleytri/v ideos/1889724604423270/ …";;;#Compartilhar;"1001859573681131521";https://twitter.com/WanderMegaByte/status/1001859573681131521
mhmmelo;2018-05-29 16:46;0;6;"Recomendo todos vocês à verem esse vídeo hoje. Depoimento do deputado Daniel Coelho (PPS-PE) sobre a MP de criação de cargos comissionados em meio a Greve dos Caminhoneiros. @DanielCoelho23 Retirado do canal ParlaTubeBrasil. Vídeo completo: https://www. youtube.com/watch?time_con tinue=64&v=RBHnOSQiaBs … pic.twitter.com/bt3AMRkwSm";;@DanielCoelho23;;"1001550374938054656";https://twitter.com/mhmmelo/status/1001550374938054656
MOACIRP42224337;2018-05-28 16:19;1;1;"DEPUTADO DANIEL COELHO . PARABÉNS PELAS PALAVRAS CONTRA CONTRATAÇÃO DE MAIS VAGABUNDOS CAROS PARA O POVO PAGAR. ESPERAMOS QUE SEJAM HONESTAS E VERDADEIRAS";;;;"1001181207974039552";https://twitter.com/MOACIRP42224337/status/1001181207974039552
LucasJJSCCP;2018-05-27 19:03;0;0;"Parabéns ao deputado Daniel Coelho (PPS-PE). O analiso por este vídeo é não pela sua carreira política POIS NÃO O CONHEÇO, mas por esse merece aplausos, já que o que deveria ser normal e padrão dos nossos políticos não é, e quando ouvimos uma análise sensata devemos valorizar. pic.twitter.com/tTKVO6vNgM";;;;"1000860109801775105";https://twitter.com/LucasJJSCCP/status/1000860109801775105
PetronioSanto;2018-05-26 09:56;1;1;"Cadê o deputado federal que gosta de fazer vídeos nas redes sócias? Cadê você Daniel Coelho pra falar da exploração da sua categoria (os donos de postos de gasolina).";;;;"1000360080330706944";https://twitter.com/PetronioSanto/status/1000360080330706944
naggyinho;2018-05-24 08:15;0;1;"Enquanto temos crise de abastecimento que vai atingir até os alimentos mas parece que na Disneylândia chamado congresso nada está acontecendo e tão votando para MAIS CARGOS COMISSIONADOS e criação de MAIS MUNICÍPIOS boa deputado Daniel Coelho por mostrar isso https:// twitter.com/DanielCoelho23 /status/999403330890846208 …";;;;"999609797317185536";https://twitter.com/naggyinho/status/999609797317185536
VemPraRuaSampa;2018-05-23 11:37;1;0;"O deputado Daniel Coelho comenta sobre o absurdo projeto de lei que, se aprovado, permitirá a criação de 400 novos municípios. Acesse http://www. mapas.vemprarua.net/camara/ e ajude a pressionar os deputados do seu estado para que votem contra este projeto.... https://www. facebook.com/vempraruasaopa ulo/posts/1617455514968435 …";;;;"999298355288256518";https://twitter.com/VemPraRuaSampa/status/999298355288256518
VemPraRua_br;2018-05-23 11:26;163;376;"O deputado Daniel Coelho comenta sobre o absurdo projeto de lei que, se aprovado, permitirá a criação de 400 novos municípios. Acesse http://www. mapas.vemprarua.net/camara/ e ajude a... https://www. facebook.com/vemprarua.net/ videos/1060095234171824/ … pic.twitter.com/WZmScIoafK";;;;"999295487139307521";https://twitter.com/VemPraRua_br/status/999295487139307521
Wanlennon;2018-05-23 01:20;1;0;"#ABSURDO !!! Na semana passada, a Câmara dos Deputados aprovou o regime de urgência para a tramitação do PLP-137/2015, que prevê a criação de centenas de novos municípios. O deputado Daniel Coelho (PPS-PE) gravou... https://www. facebook.com/wan.lennon/pos ts/1726276937410011 …";;;#ABSURDO;"999143065188171777";https://twitter.com/Wanlennon/status/999143065188171777
