username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Erick_Cartman;2018-05-25 19:19;0;0;"o projeto (PL 9463/18) que autoriza a privatização da Eletrobras recebeu 181 emendas...Somente o deputado Arlindo Chinaglia (PT-SP) apresentou 71. Danilo Cabral (PSB-PE) foi autor de outras 31 emendas.";;;;"1000139241219903490";https://twitter.com/Erick_Cartman/status/1000139241219903490
jairogaraujo;2018-05-24 10:02;0;0;"A proposta do deputado Danilo Cabral estabelece uma periodicidade de seis meses para os reajustes http://www. blogdojairogomes.com/2018/05/deputa do-apresenta-projeto-para-conter.html?spref=fb …";;;;"999636763969802240";https://twitter.com/jairogaraujo/status/999636763969802240
portalflorespe;2018-05-23 06:14;0;0;"Deputado Danilo Cabral apresenta emendas em defesa da Chesf http://www. juniorcampos.net/noticia/18114/ 18114#.WwUxBZJakGo.facebook …";;;#;"999217096985927680";https://twitter.com/portalflorespe/status/999217096985927680
BLOGDOMAGNO;2018-05-10 18:52;0;2;"Deputado recorre à decisão que autoriza o aumento na conta de luz O deputado Danilo Cabral (PSB/PE) recorreu contra a decisão da justiça que autorizou o aumento de 8,41% na conta de luz, proposto pela Companhia Energética de Pernambuco (CELPE). http://www. blogdomagno.com.br/ver_post.php?i d=189811 …";;;;"994696639238598657";https://twitter.com/BLOGDOMAGNO/status/994696639238598657
giromatanorte;2018-05-07 13:55;0;0;"Em passagem por Nazaré da Mata, neste domingo (06), o deputado federal, Danilo Cabral (PSB), teceu críticas a oposição ao governador do estado, Paulo Câmara (PSB), acreditando que o... https:// giro.matanorte.com/politica/a-opo sicao-esta-desarticulada-dispara-danilo-cabral/ …";;;;"993534918792753154";https://twitter.com/giromatanorte/status/993534918792753154
jairogaraujo;2018-05-03 22:45;0;0;"O Deputado Danilo Cabral (PSB/PE) protocolou hoje (3), um Projeto de Lei Complementar (PLP) para proibir a venda de ativos e transferência do controle societário de empresas públicas... http://www. blogdojairogomes.com/2018/05/deputa do-quer-proibir-privatizacoes-no.html?spref=fb …";;;;"992218698244132865";https://twitter.com/jairogaraujo/status/992218698244132865
BLOGDOMAGNO;2018-05-03 13:33;1;0;"Deputado quer proibir privatizações no último ano de mandato Danilo Cabral protocolou, hoje, um PL para proibir a venda de ativos e transferência do controle societário de empresas públicas e sociedades de economia mistas no último ano de mandato: http://www. blogdomagno.com.br/ver_post.php?i d=189574 … pic.twitter.com/xazuiGMWep";;;;"992079663509004288";https://twitter.com/BLOGDOMAGNO/status/992079663509004288
tvsbuna;2018-04-28 08:55;0;0;"Aumento anunciado pela Celpe na conta de luz é cancelado pela justiça Decisão foi acatada após ação judicial impetrada pelo deputado federal Danilo Cabral (PSB) contra o aumento... http://www. tvsbuna.com.br/aumento-anunci ado-pela-celpe-na-conta-de-luz-e-cancelado-pela-justica/ …";;;;"990197733268099072";https://twitter.com/tvsbuna/status/990197733268099072
saloanoticias;2018-04-28 08:29;0;1;"JUSTIÇA SUSPENDE AUMENTO DA CONTA DE ENERGIA A PEDIDO DO DEPUTADO DANILO CABRAL (PSB) http://www. saloanoticias.com/4063-justica-s uspende-aumento-da-conta-de-energia-a-pedido-do-deputado-danilo-cabral-psb …";;;;"990191265697488896";https://twitter.com/saloanoticias/status/990191265697488896
julio2906;2018-04-27 20:50;0;0;"O país e sua hidrografia, suas matas ciliares, seus reservatórios, suas barragens, suas usinas hidrelétricas, suas linhas de transmissão e subestações agradecem seu engajamento, junto ao deputado Danilo Cabral e às frentes parlamentares, contra a entrega da Eletrobras. #ForaTemer";;;#ForaTemer;"990015364850384897";https://twitter.com/julio2906/status/990015364850384897
jairogaraujo;2018-04-27 16:34;0;0;"Ação judicial foi movida pelo Deputado Danilo Cabral esta semana, quando a Aneel anunciou reajuste de 8,41% a vigorar a partir deste domingo O Deputado Federal Danilo Cabral ... http://www. blogdojairogomes.com/2018/04/justic a-suspende-aumento-da-conta-de-luz.html?spref=fb …";;;;"989950945395126277";https://twitter.com/jairogaraujo/status/989950945395126277
RodrigoSedicias;2018-04-27 15:40;0;0;"Justiça atende ação do Deputado Danilo Cabral e suspende aumento superior à inflação nas contas da Celpe em PE http:// agresteconectadobr.com/2018/04/27/jus tica-atende-acao-do-deputado-danilo-cabral-e-suspende-aumento-superior-a-inflacao-nas-contas-da-celpe-em-pe/ … via @AGRESTE CONECTADO";;@AGRESTE;;"989937386149830656";https://twitter.com/RodrigoSedicias/status/989937386149830656
BLOGDOMAGNO;2018-04-27 13:29;1;1;"Deputado convoca pernambucanos em defesa da Chesf O deputado federal Danilo Cabral (PSB) coordenou, ontem, audiência na Assembleia Legislativa de Pernambuco sobre os impactos da privatização da Companhia Hidrelétrica do São Francisco-CHESF: http://www. blogdomagno.com.br/ver_post.php?i d=189375 …";;;;"989904335789264897";https://twitter.com/BLOGDOMAGNO/status/989904335789264897
