username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
edufonte;2018-06-11 20:10;0;0;"Neymar? Na estreia.";;;;"1006312655873863680";https://twitter.com/edufonte/status/1006312655873863680
IsraelL54568187;2018-06-11 13:56;0;0;"Mais o problema não foi briga com funcionário do são Paulo não informação dada pelo Eduardo Meneses e que problema pessoal seria uma outra fonte falou que parece que é doença na família muito séria ele estava sem cabeça pra jogar futebol e foi afastado com libertação da diretoria";;;;"1006218676406800391";https://twitter.com/IsraelL54568187/status/1006218676406800391
luizbiluca;2018-06-11 10:29;0;0;"Oposição lança chapa majoritária com Armando Monteiro e Mendonça Filho http://www. folhape.com.br/politica/polit ica/recife/2018/06/11/NWS,71327,7,745,POLITICA,2193-OPOSICAO-LANCA-CHAPA-MAJORITARIA-COM-ARMANDO-MONTEIRO-MENDONCA- … FILHO.aspx .... Um cara como esse EDUARDO DA FONTE , pretender ser candidato ao Senado, é ser louco. Em Pernambuco, esse cidadão, não vai conseguir ficar nem quarto lugar";;;;"1006166590021390337";https://twitter.com/luizbiluca/status/1006166590021390337
edufonte;2018-06-10 21:57;0;1;"Curioso desde já.";;;;"1005977179992322049";https://twitter.com/edufonte/status/1005977179992322049
EdmarLyra;2018-06-10 20:45;0;1;"Sebastião Oliveira e Eduardo da Fonte jantam com Ettore Labanca e decidem que apoio será conjunto https://www. edmarlyra.com/sebastiao-oliv eira-e-eduardo-da-fonte-jantam-com-ettore-labanca-e-decidem-que-apoio-sera-conjunto/ … pic.twitter.com/bINNZlNBaj";;;;"1005959246050136067";https://twitter.com/EdmarLyra/status/1005959246050136067
edu_78;2018-06-10 09:06;0;1;"Quem era a Barra,lotada,lembro da pizzaria micheluccio com fila de espera,Habeas,Bar Manga rosa,baita cão e tantos outros,hoje tá parecendo a Fonte nova,uma grande obra física mais não popular...";;;;"1005783364299878400";https://twitter.com/edu_78/status/1005783364299878400
SMendesEduardo;2018-06-09 22:54;0;0;"Tem partidos políticos de esquerda e presidentes desses partidos se valendo da falta de informação de pessoas mais humildes para enganar descaradamente a população. A fonte principal de qualquer lei não é a interpretação. É um engano acreditar nisso!";;;;"1005629344071454721";https://twitter.com/SMendesEduardo/status/1005629344071454721
gotikosuave;2018-06-09 12:31;0;2;"queria tirar leite diretamente da fonte pic.twitter.com/KZL8rqQFPT";;;;"1005472355429306368";https://twitter.com/gotikosuave/status/1005472355429306368
blogdoelielson;2018-06-08 23:53;0;0;"Câmara analisará projeto de Eduardo da Fonte que pede suspensão das bandeiras tarifárias na conta de luz http://www. blogdoelielson.com.br/2018/06/camara -analisara-projeto-de-eduardo-da-fonte-que-pede-suspensao-das-bandeiras-tarifarias-na-conta-de-luz/ …";;;;"1005281799017324544";https://twitter.com/blogdoelielson/status/1005281799017324544
wagneroliveiraf;2018-06-08 18:19;1;6;"Carlos Eduardo , atacante do Goiás, está sendo negociado com o Eintracht Frankfurt, da Alemanha. Atacante pode fechar negócio nas próximas semanas. ( Fonte : Blog Ora Bolas).";;;;"1005197685320765440";https://twitter.com/wagneroliveiraf/status/1005197685320765440
EdmarLyra;2018-06-08 18:06;0;0;"Câmara analisará projeto de Eduardo da Fonte que pede suspensão das bandeiras tarifárias na conta de luz https://www. edmarlyra.com/camara-analisa ra-projeto-de-eduardo-da-fonte-que-pede-suspensao-das-bandeiras-tarifarias-na-conta-de-luz/ … pic.twitter.com/DDiPyssmPp";;;;"1005194294876045312";https://twitter.com/EdmarLyra/status/1005194294876045312
baTHYry;2018-06-08 00:26;0;1;"Fonte da Donzela ainda não vi mas vai ser um dos próximos... e Persona é possivelmente o melhor trabalho dele, a interação da Bibi com a Luv é algo eternizado na história dos filmes, embora meu favorito seja Autumn Sonata";;;;"1004927506976268290";https://twitter.com/baTHYry/status/1004927506976268290
ulrich_eduardo;2018-06-08 00:24;0;1;"Também, fonte da donzela é lindo. E persona tem um das cenas mais eróticas e sensuais do cinema sem mostrar se quer um frame de nudez, tudo no monologo e na atuação da Bibi Andersson.";;;;"1004927024610402304";https://twitter.com/ulrich_eduardo/status/1004927024610402304
NacaoFlaa;2018-06-07 16:13;1;8;"SERIA A SAÍDA DO PAQUETÁ? Eduardo Uram(agente de Lucas Paquetá) tem propostas vindas da Europa em cima do jogador. ( Fonte Paparazzo)";;;;"1004803630669664256";https://twitter.com/NacaoFlaa/status/1004803630669664256
joaoseguradojr;2018-06-06 12:56;0;1;"@Dom_Werneck Fonte : WIKIPEDIA, "No exterior, exerceu a função de Adjunto do Adido junto à Embaixada do Brasil na República Popular da China." Eduardo Villas Bôas o General não do Brasil, mas da China. Parece que o General foi coptado pelo comunismo Chines.";;@Dom_Werneck;;"1004391513504313346";https://twitter.com/joaoseguradojr/status/1004391513504313346
eduardo_garci4;2018-06-05 14:01;0;1;"Pq no começo do ano a sonserina armou pra vingar da grifinoria que vinham zoando a gente desde que ganharam no quadribol, aí jogamos um mlk na fonte skskskskd ao invés de assumir q culpa eu apertei em ficar quieto aí o snape tirou 40 ou 50 pts";;;;"1004045537677586433";https://twitter.com/eduardo_garci4/status/1004045537677586433
jairogaraujo;2018-06-05 09:20;0;0;"PP não abre mão da vaga no Senado, diz Eduardo da Fonte http://www. blogdojairogomes.com/2018/06/pp-nao -abre-mao-da-vaga-no-senado-diz.html?spref=fb …";;;;"1003974797079056384";https://twitter.com/jairogaraujo/status/1003974797079056384
blogdoroberiosa;2018-06-04 23:09;0;0;"PP de Eduardo da Fonte não abre mão da vaga ao Senado na chapa de Paulo Câmara http:// roberiosa.com.br/pp-de-eduardo- da-fonte-nao-abre-mao-da-vaga-ao-senado-na-chapa-de-paulo-camara/ … pic.twitter.com/00Ua1WiEy7";;;;"1003821196629172224";https://twitter.com/blogdoroberiosa/status/1003821196629172224
SoutoEdney;2018-06-04 21:58;0;0;"BLOG DO EDNEY: PP não abre mão da vaga no Senado, diz Eduardo da Fonte : http:// blogdoedneysouto.blogspot.com/2018/06/pp-nao -abre-mao-da-vaga-no-senado-diz.html …";;;;"1003803288549158917";https://twitter.com/SoutoEdney/status/1003803288549158917
carmemsantos55;2018-06-04 20:14;0;0;"PP não abre mão da vaga no Senado, diz Eduardo da Fonte http:// blogs.ne10.uol.com.br/jamildo/2018/0 6/04/pp-nao-abre-mao-da-vaga-no-senado-diz-eduardo-da-fonte/ … via @portalne10";;@portalne10;;"1003776928170602496";https://twitter.com/carmemsantos55/status/1003776928170602496
blogdejamildo;2018-06-04 17:21;1;2;"PP não abre mão da vaga no Senado, diz Eduardo da Fonte https:// goo.gl/vo1LL2 pic.twitter.com/2i32iupOZv";;;;"1003733560224870400";https://twitter.com/blogdejamildo/status/1003733560224870400
fg_genuino;2018-06-02 22:15;2;5;"40 anos ? A América Latina era refém de uma minoria há 500, 400, 300, 200 anos, em que a $ituação atual difere ds séculos passados ? Não serviram como uma luva para Eduardo Galeno escrever AS VEIAS ABERTAS DA AMÉRICA LATINA ? Nada mudou, a A.L continua sendo fonte de lucro de uma https:// twitter.com/RoseBarros__/s tatus/1003019537967656960 …";;;;"1003082595490566144";https://twitter.com/fg_genuino/status/1003082595490566144
FLORDELIRIO66;2018-06-02 09:42;3;0;"( @N_Carvalheira ) Réus na Lava Jato * Deputados Aníbal Gomes Eduardo da Fonte José Otávio Germano Lúcio Vieira Lima Luiz Fernando Faria Vander Loubet Senadores Gleisi Hoffmann   Fernando Collor Valdir Raupp * Senadores Aécio Neves José Agripino Maia Romero Jucá https:// twitter.com/N_Carvalheira/ status/1002562783639232513 …";;@N_Carvalheira;;"1002893221326925824";https://twitter.com/FLORDELIRIO66/status/1002893221326925824
N_Carvalheira;2018-06-01 11:49;14;22;"Réus na Lava Jato * Deputados Aníbal Gomes Eduardo da Fonte José Otávio Germano Lúcio Vieira Lima Luiz Fernando Faria Vander Loubet Senadores Gleisi Hoffmann   Fernando Collor Valdir Raupp * Senadores Aécio Neves José Agripino Maia Romero Jucá";;;;"1002562783639232513";https://twitter.com/N_Carvalheira/status/1002562783639232513
N_Carvalheira;2018-06-01 09:12;13;9;"Réus na Lava Jato * Deputados Aníbal Gomes Eduardo da Fonte José Otávio Germano Lúcio Vieira Lima Luiz Fernando Faria Vander Loubet Senadores Gleisi Hoffmann   Fernando Collor Valdir Raupp * Senadores Aécio Neves José Agripino Maia Romero Jucá http:// jota.info";;;;"1002523317495123968";https://twitter.com/N_Carvalheira/status/1002523317495123968
andre_ritter;2018-05-30 08:18;0;0;"PLANTÃO | Choque da BM lança bombas de gás lacrimogêneo contra manifestantes nas proximidades da Refap, em Canoas Fonte : Eduardo Paganella / Gaúcha ZH (via Twitter)";;;;"1001784953309466624";https://twitter.com/andre_ritter/status/1001784953309466624
