username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
lisandroenrico;2018-06-11 20:20;0;1;"#MELINCUÉ . VISITÉ A UNA DE LAS PRIMERAS ESCUELAS DE LA REGIÓN La Escuela Dr. Felipe Carreras N° 162 institución ubicada en barrio #SanUrbano , que con el paso del tiempo dio origen a #Melincué . El establecimiento se fundó en 1914. Escuché sus necesidades. pic.twitter.com/pfzxbfMGIq";;;#MELINCU #SanUrbano #Melincu;"1006315193159290880";https://twitter.com/lisandroenrico/status/1006315193159290880
dracked14;2018-06-11 17:26;0;0;"Carreras Despacito 2; el videojuego";;;;"1006271391056793600";https://twitter.com/dracked14/status/1006271391056793600
dracked14;2018-06-11 17:26;0;0;"Carreras Despacito 2; el videojuego";;;;"1006271391040266240";https://twitter.com/dracked14/status/1006271391040266240
helioguabiraba;2018-06-11 13:11;0;0;"Esse é só o primeiro exemplo de como a nova sede da União de Clubes será importante para a comunidade. Mais uma vez parabéns ao deputado federal @felipecarreras , @geraldojulio40 , @paulocamara40 e a @anapaulavileal por transformarem esse sonho em realidade. #oTrabalhoNaoPara";;@felipecarreras @geraldojulio40 @paulocamara40 @anapaulavileal;#oTrabalhoNaoPara;"1006207179496534016";https://twitter.com/helioguabiraba/status/1006207179496534016
Piplash;2018-06-11 11:37;0;0;"Puta más allá de que la PSU valga callampa, solo sacar puntajes relativamente altos te da opciones de postular a becas y a las carreras que quieras donde quieras Así funciona, y por más en contra que uno esté del sistema, sacar puntajes bajos no te va a ayudar en nada";;;;"1006183526935474176";https://twitter.com/Piplash/status/1006183526935474176
lu17com;2018-06-11 10:12;0;0;"FIN DE SEMANA SALVAJE EN LA CIUDAD - https:// lu17.com/policiales/fin -semana-salvaje-ciudadEl … saldo policial del fin de semana fue abultado. Carreras clandestinas de motos, accidentes de tránsito y controles en locales nocturnos. Gladys Videla dialogó en Trelew Noticias con el Comisario Felipe Gonzalez, quien... pic.twitter.com/MrtPaVlKne";;;;"1006162319636770816";https://twitter.com/lu17com/status/1006162319636770816
PhipeSaurio;2018-06-11 02:52;0;0;"Me ha gustado un vídeo de @YouTube ( http:// youtu.be/I47hs3QSMtc?a - CARRERAS VIKINGAS EN PUBG! en Español - GOTH).";;@YouTube;;"1006051640737259520";https://twitter.com/PhipeSaurio/status/1006051640737259520
cervera_f;2018-06-10 22:04;0;0;"Es todo un malabar. Cierto, los alumnos tienen necesidades pero por eso, hay varias carreras sin futuro. Habría que hallar un equilibrio entre la oferta laboral y la vocación de los alumnos. Imposible eliminar los modelos económicos.";;;;"1005978972679823361";https://twitter.com/cervera_f/status/1005978972679823361
ADuranFranco2;2018-06-10 20:45;0;0;"Tercera entrada fatídica para el picheo de Felipe González, recibe 5 carreras y pone en aprietos a los Sultanes. #PlayoffsLMB";;;#PlayoffsLMB;"1005959292019671040";https://twitter.com/ADuranFranco2/status/1005959292019671040
Felipemunoz_19;2018-06-10 14:26;0;1;"Y la ética profesional?, acaso no les enseñan eso l es sus carreras ?";;;;"1005863751676030982";https://twitter.com/Felipemunoz_19/status/1005863751676030982
