username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Joaovaladares;2018-06-11 17:37;0;1;"Pré-candidaturas de Armando e de Mendonça Filho foram lançadas. O principal articulador é o senador Fernando Bezerra Coelho . Ninguém escutou o nome Michel Temer. https:// bit.ly/2l3eMqz";;;;"1006274304051499013";https://twitter.com/Joaovaladares/status/1006274304051499013
eduardonino;2018-06-11 10:22;0;0;"Retweeted eduardo ( @eduardonino ): @VAuiar Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;@eduardonino @VAuiar;;"1006164742430449664";https://twitter.com/eduardonino/status/1006164742430449664
FernandoPoeta_;2018-06-11 07:03;0;2;"-Vô, se ela for embora vou ficar muito sozinho. -Pior, filho , vai ficar sem o seu amor! Fotografia Rodrigues Lima pic.twitter.com/eKasPTZbwt";;;;"1006114623504994304";https://twitter.com/FernandoPoeta_/status/1006114623504994304
eduardonino;2018-06-10 22:27;2;2;"Retweeted eduardo ( @eduardonino ): -Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;@eduardonino;;"1005984805434155013";https://twitter.com/eduardonino/status/1005984805434155013
eduardonino;2018-06-10 21:46;5;6;"Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974426075189250";https://twitter.com/eduardonino/status/1005974426075189250
eduardonino;2018-06-10 21:45;3;3;"-Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974256776171520";https://twitter.com/eduardonino/status/1005974256776171520
eduardonino;2018-06-10 21:44;1;0;"Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974085732626433";https://twitter.com/eduardonino/status/1005974085732626433
liberalwyz;2018-06-07 12:38;0;0;"Proliferação de vermes: Antonio Coelho (DEM), filho do senador Fernando Bezerra Coelho , é pré-candidato a deputado estadual.";;;;"1004749394254671875";https://twitter.com/liberalwyz/status/1004749394254671875
iodelson;2018-06-04 12:41;1;1;"Antonio Coelho (DEM), filho do senador Fernando Bezerra Coelho , é pré-candidato a deputado estadual. Política no Brasil é isso. De pai pra filho ! https://www. oantagonista.com/brasil/filhinh os-do-papai/ …";;;;"1003663162418311168";https://twitter.com/iodelson/status/1003663162418311168
Sdrux1;2018-06-01 08:09;0;0;"— Antonio Coelho (DEM), filho do senador Fernando Bezerra Coelho , é pré-candidato a deputado estadual; — Marcelo Crivella Filho (PRB), filho do prefeito do Rio, deve ser candidato a deputado federal;";;;;"1002507437558124545";https://twitter.com/Sdrux1/status/1002507437558124545
Deborahzuh;2018-05-30 22:48;0;0;"E se vcs queriam a privatização estão conseguindo! Junto com Temer e Parente, e já foi falado pelo ex ministro de Minas e Energia, Fernando Coelho Filho de Temer, em outubro no programa roda viva a possibilidade disso acontecer, e tá acontecendo.";;;;"1002003942337851394";https://twitter.com/Deborahzuh/status/1002003942337851394
CezarKhalili;2018-05-30 20:00;0;0;"Ministro de Minas e Energia, Fernando Coelho Filho . Não faz porra nenhum e ganha bem.";;;;"1001961473789263872";https://twitter.com/CezarKhalili/status/1001961473789263872
Sofimagal;2018-05-30 15:03;1;0;"Fernando Coelho Filho NUNCA MAIS https:// twitter.com/mbfnew/status/ 1001885482173784065 …";;;;"1001886869699874818";https://twitter.com/Sofimagal/status/1001886869699874818
VDJRudy;2018-05-28 13:04;0;0;"Antonio Coelho (DEM), filho do senador Fernando Bezerra Coelho , é pré-candidato a deputado estadual.";;;;"1001132107056533507";https://twitter.com/VDJRudy/status/1001132107056533507
carlosbritto1;2018-05-28 07:16;0;0;"FBC: “Maria Elena nos agradeceu e se comprometeu em ajudar Fernando Filho e Antonio” Alheio à polêmica quanto às últimas declarações da vereadora Maria Elena (PRTB) o senador Fernando Bezerra Coelho (MDB) se posicionou sobre o... http://www. carlosbritto.com/coluna-do-blog -109/ …";;;;"1001044445423337474";https://twitter.com/carlosbritto1/status/1001044445423337474
fernando_aun;2018-05-25 15:41;0;0;"#voleinosportv Bruno manda um abraço pra minha esposa e filho : Natália e Leonardo coelho .";;;#voleinosportv;"1000084446463365126";https://twitter.com/fernando_aun/status/1000084446463365126
BetoPereira19;2018-05-24 12:02;0;0;"Lembrar é tão fácil: O ministro de Minas e Energia, Fernando Coelho Filho , destacou a geração de empregos com os novos contratos. “Estamos falando de milhares de empregos, alguns milhões em investimento. Precisamos sim aproveitar dessa riqueza que o Brasil foi abençoado.";;;;"999666982235656194";https://twitter.com/BetoPereira19/status/999666982235656194
