username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
eduardonino;2018-06-11 10:22;0;0;"Retweeted eduardo ( @eduardonino ): @VAuiar Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;@eduardonino @VAuiar;;"1006164742430449664";https://twitter.com/eduardonino/status/1006164742430449664
eduardonino;2018-06-10 22:27;2;2;"Retweeted eduardo ( @eduardonino ): -Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;@eduardonino;;"1005984805434155013";https://twitter.com/eduardonino/status/1005984805434155013
eduardonino;2018-06-10 21:46;5;6;"Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974426075189250";https://twitter.com/eduardonino/status/1005974426075189250
eduardonino;2018-06-10 21:45;3;3;"-Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974256776171520";https://twitter.com/eduardonino/status/1005974256776171520
eduardonino;2018-06-10 21:44;1;0;"Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974085732626433";https://twitter.com/eduardonino/status/1005974085732626433
Nill_Junior;2018-06-09 16:59;0;0;"Gonzaga Patriota entrega tratores em Salgueiro http:// nilljunior.com.br/gonzaga-patrio ta-entrega-tratores-em-salgueiro/ … pic.twitter.com/AOrIO80xfC";;;;"1005539903520804864";https://twitter.com/Nill_Junior/status/1005539903520804864
blogdidigalvao;2018-06-09 11:55;0;0;"Gonzaga Patriota entrega dois tratores agrícolas para comunidades rurais de Salgueiro http://www. didigalvao.com.br/gonzaga-patrio ta-entrega-dois-tratores-agricolas-para-comunidades-rurais-de-salgueiro/ … via @blogdidigalvao";;@blogdidigalvao;;"1005463293069352961";https://twitter.com/blogdidigalvao/status/1005463293069352961
paidegabriel;2018-06-06 10:34;0;0;"@JoseMedeirosMT Prezado Senador e Colega, no tocante ao plantão policial instituído por MP, as primeiras emendas surgiram na Câmara, dentre elas esta do Dep. Gonzaga Patriota . Seria interessante que este plantão durasse o tempo necessário para o Governo Federal repor o efetivo. pic.twitter.com/vXSRrqCqge";;@JoseMedeirosMT;;"1004355802122121216";https://twitter.com/paidegabriel/status/1004355802122121216
ParlaTube;2018-06-05 14:49;0;1;"Dep. Gonzaga Patriota (PSB-PE) registra nota de pesar pelo falecimento de Juarezinho https:// youtu.be/9Nik0hVo-Ng";;;;"1004057715637997568";https://twitter.com/ParlaTube/status/1004057715637997568
ParlaTube;2018-06-05 14:49;0;1;"@psbnacamara Dep. Gonzaga Patriota (PSB-PE) registra nota de pesar pelo falecimento de Juarezinho https:// youtu.be/9Nik0hVo-Ng";;@psbnacamara;;"1004057691172397056";https://twitter.com/ParlaTube/status/1004057691172397056
roberto40224824;2018-06-04 19:44;0;0;"Gonzaga Patriota leva investimentos para Tabira - Blog do Roberto Gonçalves http://www. blogdorobertoararipina.com.br/gonzaga-patrio ta-leva-investimentos-para-tabira/ …";;;;"1003769460153610240";https://twitter.com/roberto40224824/status/1003769460153610240
roberto40224824;2018-06-04 19:43;0;0;"Gonzaga Patriota leva investimentos para Tabira - Blog do Roberto Gonçalves http://www. blogdorobertoararipina.com.br/gonzaga-patrio ta-leva-investimentos-para-tabira/ …";;;;"1003769198948933633";https://twitter.com/roberto40224824/status/1003769198948933633
