username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
maurobonna;2018-06-11 19:04;0;4;"Jarbas Vasconcelos pré-candidato do PV ao Senado, estará hoje, às 22h, no Argumento da RBA. pic.twitter.com/NcABtYxkIs";;;;"1006296105477341185";https://twitter.com/maurobonna/status/1006296105477341185
maurobonna;2018-06-11 09:11;0;16;"O advogado Jarbas Vasconcelos , conselheiro federal da OAB e pré-candidato do PV ao Senado, estará hoje, às 22h, no Argumento da RBA.";;;;"1006147021672206336";https://twitter.com/maurobonna/status/1006147021672206336
RenaldyOliveira;2018-06-10 14:21;0;1;"O Bolsa Família é o que? Segundo o Deputado Jarbas Vasconcelos , trata-se do maior programa de compra de votos do Brasil.";;;;"1005862495763001344";https://twitter.com/RenaldyOliveira/status/1005862495763001344
izaelcavalc;2018-06-09 19:25;0;0;"Vou começar a ri KKK Humberto Costa e Jarbas Vasconcelos no mesmo palanque defendendo a gestão do Paulo Câmara de gás";;;;"1005576604058255360";https://twitter.com/izaelcavalc/status/1005576604058255360
MarceloBacana;2018-06-09 11:44;0;1;"Jarbas Vasconcelos prestigia Edmilson Rodrigues https:// bacana.news/jarbas-vasconc elos-prestigia-edmilson-rodrigues/ … pic.twitter.com/OzYXbAfxP2";;;;"1005460695528493056";https://twitter.com/MarceloBacana/status/1005460695528493056
CaixaBrita;2018-06-08 22:08;3;5;"O deputado Jarbas Vasconcelos teve dois mandatos como governador e também perdeu duas vezes na disputa pelo cargo. As eleições pernambucanas estão na pauta do Política Traduzida, aqui no Caixa de Brita. http:// hearthis.at/caixabrita/tra duzida08 … pic.twitter.com/6DMIjSbWF3";;;;"1005255210158252033";https://twitter.com/CaixaBrita/status/1005255210158252033
dinizgf;2018-06-08 10:33;0;0;"Senadorzinho só quem acha isso são vocês do partido quadrilha!!! Enquanto você defende este traste o Jarbas Vasconcelos e o Mendonça Filho estão focados na campanha e serão os novos senadores de Pernambuco.";;;;"1005080307618451462";https://twitter.com/dinizgf/status/1005080307618451462
cesarmaia;2018-06-08 08:03;1;3;"Pernambuco. Pesquisa-Múltipla-Senador: Jarbas Vasconcelos 20,8%, Humberto Costa (PT) com 12,7%, Mendonça Filho 10,8% em terceiro e André Ferreira (PSC) 5,1%.";;;;"1005042560287543296";https://twitter.com/cesarmaia/status/1005042560287543296
jairogaraujo;2018-06-07 21:37;0;0;"No levantamento realizado pela Múltipla para o Senado, o deputado Jarbas Vasconcelos (MDB) lidera com 20,8% das intenções de voto, seguido do senador Humberto Costa (PT) com 12,7%, o... http://www. blogdojairogomes.com/2018/06/jarbas -lidera-para-o-senado-humberto-e.html?spref=fb …";;;;"1004885158057652224";https://twitter.com/jairogaraujo/status/1004885158057652224
Piteira;2018-06-07 16:39;0;0;"Jarbas Vasconcelos será entrevistado pelo jornalista Mauro Bonna, no programa Argumento, no próximo dia 11 de junho, na TV RBA. Imperdível! https://www. facebook.com/jmpiteira/post s/10211720998835920 …";;;;"1004809999447666688";https://twitter.com/Piteira/status/1004809999447666688
