username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nunumalau;2018-06-05 02:13;0;1;"Kalo di #TimorLeste lulusan UKSW paling banyak doktornya. Beberapa jadi menteri: Aurelio Guterres (menlu), Rui Gomes (menkeu), Francisco Gutteres (Secretary Estate security), Jorge Teme (DalamNegeri, JPBS), Gastao Sousa (PU), Helder da Costa (G7+), Benjamin Corte Real (UNTL).";;;#TimorLeste;"1003867368030760960";https://twitter.com/nunumalau/status/1003867368030760960
rafinhaale;2018-06-04 19:42;0;0;"20 Anos TV Câmara: deputado Jorge Côrte Real (PTB-PE) http:// noticiasdesp.info/20-anos-tv-cam ara-deputado-jorge-corte-real-ptb-pe/ …";;;;"1003768928148115456";https://twitter.com/rafinhaale/status/1003768928148115456
MirandaSa_;2018-05-25 20:24;0;3;"Bota mais anos nisso, amigo Jorge ... Atravessou o Atlântico com a corte real portuguesa... rsrsrsrs";;;;"1000155599634657280";https://twitter.com/MirandaSa_/status/1000155599634657280
rairusaurus;2018-05-19 10:19;7;49;"y al tiempo fue nombrado uno de los músicos de cámara de la corte real inglesa y usó esta canción para la coronación de jorge i. bueno, una versión un poco editada, un poco radio edit, remix, como quieras llamarlo, pero que venía del culo de luis xiv inevitablemente...";;;;"997829103716851714";https://twitter.com/rairusaurus/status/997829103716851714
BarretoEcbf;2018-05-09 22:16;0;0;"PE: Adalberto Cavalcanti/André de Paula/Augusto Coutinho/Betinho Gomes/Bruno Araújo/Eduardo Cadoca/Daniel Coelho/ Fernando Coelho Filho/Fernando Monteiro/Jarbas Vasconcelos/ João Fernando Coutinho/ Jorge Côrte Real /Kaio Maniçoba/Marinaldo Rosendo/Mendonça Filho/Ricardo Teobaldo.";;;;"994385769363136512";https://twitter.com/BarretoEcbf/status/994385769363136512
Jovair1414;2018-05-09 17:37;0;1;"Parabéns ao nosso Deputado Federal, Jorge Côrte Real . https://www. instagram.com/p/BikgJ5DDAkB/ ?utm_source=ig_twitter_share …";;;;"994315407250067461";https://twitter.com/Jovair1414/status/994315407250067461
lelemachado;2018-05-07 21:53;0;1;"Eu acho Jorge meio zzzzz fazer o que não curto e olha que gosto muito do Murilo meu eterno Corte real";;;;"993655055277527046";https://twitter.com/lelemachado/status/993655055277527046
EdmarLyra;2018-05-07 19:02;0;1;"Jorge Côrte Real participa de assembleia na Amupe https://www. edmarlyra.com/jorge-corte-re al-participa-de-assembleia-na-amupe/ … pic.twitter.com/xr4yrpVhTj";;;;"993611978613633029";https://twitter.com/EdmarLyra/status/993611978613633029
blogdafolha;2018-05-07 12:22;0;1;"Participam da reunião o senador Humberto Costa (PT), os deputados federais Silvio Costa (Avante), Bruno Araújo (PSDB), Wolney Queiroz (PDT), Danilo Cabral (PSB), Tadeu Alencar (PSB), Jorge Côrte Real (PTB) e André de Paula (PSD) http:// bit.ly/2FTUvvA http:// bit.ly/2FTUvvA";;;;"993511402898944002";https://twitter.com/blogdafolha/status/993511402898944002
chicodaboleia;2018-05-02 08:22;0;2;"Para o relator, deputado Jorge Côrte real , a proposta cria medidas protetivas aos motoristas e pode trazer mais segurança às estradas. https://www. chicodaboleia.com.br/comissao-aprov a-exame-de-saude-obrigatorio-para-caminhoneiros-autonomos/ …";;;;"991639007145676802";https://twitter.com/chicodaboleia/status/991639007145676802
