username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
sertaoeventos1;2018-06-02 08:26;0;0;"Kaio Maniçoba fala sobre obras em Floresta-PE http://www. sertaoeventos.com.br/noticias/cidad es/230185/1 …";;;;"1002874101403389952";https://twitter.com/sertaoeventos1/status/1002874101403389952
sertaoeventos1;2018-06-02 08:11;0;0;"Kaio Maniçoba fala sobre obras em Floresta-PE 2 https://www. youtube.com/attribution_li nk?a=9Pef9x-sm4Q&u=%2Fwatch%3Fv%3DW4HAxrSBRvU%26feature%3Dshare …";;;;"1002870257407623168";https://twitter.com/sertaoeventos1/status/1002870257407623168
SERTAOEVENTOS;2018-06-02 08:11;0;0;"Kaio Maniçoba fala sobre obras em Floresta-PE 2: http:// youtu.be/W4HAxrSBRvU?a via @YouTube";;@YouTube;;"1002870206933426176";https://twitter.com/SERTAOEVENTOS/status/1002870206933426176
SERTAOEVENTOS;2018-06-02 08:02;0;0;"Kaio Maniçoba fala sobre obras em Floresta-PE: http:// youtu.be/T-EOFvBPNaU?a via @YouTube";;@YouTube;;"1002868044719448064";https://twitter.com/SERTAOEVENTOS/status/1002868044719448064
blogdoroberiosa;2018-05-30 08:21;0;0;"Kaio Maniçoba amplia presença no Recife com apoio de Romerinho Jatobá http:// roberiosa.com.br/kaio-manicoba- amplia-presenca-no-recife-com-apoio-de-romerinho-jatoba/ … pic.twitter.com/HzpgQ3iSuz";;;;"1001785547067715585";https://twitter.com/blogdoroberiosa/status/1001785547067715585
EdmarLyra;2018-05-29 19:51;0;0;"Kaio Maniçoba amplia presença no Recife com apoio de Romerinho Jatobá https://www. edmarlyra.com/kaio-manicoba- amplia-presenca-no-recife-com-apoio-de-romerinho-jatoba/ … pic.twitter.com/xRXx6gtQPV";;;;"1001596889001807873";https://twitter.com/EdmarLyra/status/1001596889001807873
sertaoeventos1;2018-05-29 19:41;0;0;"Deputado Federal Kaio Maniçoba http://www. sertaoeventos.com.br/noticias/event os/229944/1 …";;;;"1001594281302396933";https://twitter.com/sertaoeventos1/status/1001594281302396933
sertaoeventos1;2018-05-29 19:35;0;0;"Kaio Maniçoba recebe apoio em Betânia-PE http://www. sertaoeventos.com.br/noticias/cidad es/229943/1 …";;;;"1001592848272248832";https://twitter.com/sertaoeventos1/status/1001592848272248832
blogdoroberiosa;2018-05-29 16:20;0;0;"Kaio Maniçoba perde apoio no Sertão do Pajeú para filho de Guilherme Uchoa http:// roberiosa.com.br/kaio-manicoba- perde-apoio-no-sertao-pajeu-para-filho-de-guilherme-uchoa/ … pic.twitter.com/bi4qlDMAt9";;;;"1001543924836642817";https://twitter.com/blogdoroberiosa/status/1001543924836642817
blogdoroberiosa;2018-05-28 21:58;0;0;"Kaio Maniçoba conquista apoios em Betânia para reeleição http:// roberiosa.com.br/kaio-manicoba- conquista-apoios-em-betania-para-reeleicao/ … pic.twitter.com/3ua5GSR3A3";;;;"1001266481584320514";https://twitter.com/blogdoroberiosa/status/1001266481584320514
