username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
carlosbritto1;2018-06-04 13:35;0;0;"Petrolina receberá neste domingo (10) a pré-candidata a presidente da República pelo PCdoB, Manuela D’Ávila. Acompanhada da deputada federal Luciana Santos ,... https://www. carlosbritto.com/manuela-davila -lancara-candidatura-a-presidencia-da-republica-em-petrolina-neste-domingo/ …";;;;"1003676552628928513";https://twitter.com/carlosbritto1/status/1003676552628928513
ivonepita;2018-06-04 09:28;1;6;"Ciro articula apoio de PSB e do PCdoB de Manuela D’Ávila no 1º turno Presidente do PCdoB, deputada Luciana Santos admite que partido pode desistir de candidatura própria para unificar a esquerda. https://www. huffpostbrasil.com/2018/06/04/cir o-articula-apoio-de-psb-e-do-pcdob-de-manuela-d-avila-no-1o-turno_a_23448997/ …";;;;"1003614562233528320";https://twitter.com/ivonepita/status/1003614562233528320
huffpostbrasil;2018-06-04 09:08;52;268;"Presidente do PCdoB, deputada Luciana Santos admite que partido pode desistir de candidatura própria para unificar a esquerda. http:// huffp.st/ySALkRX";;;;"1003609406171475969";https://twitter.com/huffpostbrasil/status/1003609406171475969
Trocades65;2018-05-30 16:41;0;0;"A presidenta nacional do PCdoB, deputada Luciana Santos (PE) e o deputado Givaldo Vieira (PCdoB-ES), participaram da reunião da Comissão Geral realizada no Plenário da... https:// renatorabelo.blog.br/2018/05/30/pet robras-bancada-na-camara-cobra-mudanca-na-politica-de-precos/ …";;;;"1001911402922168321";https://twitter.com/Trocades65/status/1001911402922168321
portalvermelho;2018-05-29 23:30;4;8;"Durante debate em comissão geral realizada pela Câmara nesta terça-feira (29), a presidente nacional do PCdoB, deputada Luciana Santos (PE), foi categórica: ou a Petrobras serve ao mercado, como impõe Pedro Parente, ou se entende de uma... http:// vermelho.org.br/noticia/311552 -1 …";;;;"1001651968786489344";https://twitter.com/portalvermelho/status/1001651968786489344
PCdoBnaCamara;2018-05-29 19:13;1;3;"A presidente nacional do PCdoB, deputada Luciana Santos , pontuou que uma decisão precisa ser tomada: ou se leva a estatal para o mercado de valores ou se entende que ela serve ao Brasil e que deve defender... http:// pcdobnacamara.org.br/site/texto.asp ?id=690994446769956125379495 …";;;;"1001587252026212352";https://twitter.com/PCdoBnaCamara/status/1001587252026212352
PCdoBnaCamara;2018-05-29 09:57;0;0;"#AoVo : Comissão Geral para debater saídas para a crise dos combustíveis no Brasil. Presidente nacional do PCdoB - Partido Comunista do Brasil, deputada Luciana Santos , falará em nome da legenda. https://www. facebook.com/pcdobnacamara/ videos/848182428707319/ …";;;#AoVo;"1001447421422067714";https://twitter.com/PCdoBnaCamara/status/1001447421422067714
portalvermelho;2018-05-24 20:30;6;10;"A presidenta nacional do PCdoB e deputada federal, Luciana Santos (PE), denunciou a política antinacional e entreguista do governo de Michel Temer, durante discurso no plenário da Câmara dos Deputados, nesta quarta-feira (23). Confira no vídeo: http:// vermelho.org.br/noticia/311390 -1 …";;;;"999794734280327168";https://twitter.com/portalvermelho/status/999794734280327168
DeCidaPedrosa;2018-05-24 16:50;2;1;"Nossa deputada Luciana Santos denunciou que esse é o segundo apagão no país ocasionado pela gestão entreguista e antinacional de Pedro Parente. Com FHC ficamos sem energia, com Temer o que falta é combustível.... https://www. facebook.com/cidappedrosa/v ideos/2189069814671431/ …";;;;"999739441043263488";https://twitter.com/DeCidaPedrosa/status/999739441043263488
PCdoBnaCamara;2018-05-24 09:11;0;0;"Orlando Silva salienta que essa é uma forma de encontrar recursos que permitam compensar a redução de tributos para combustíveis. A presidente nacional do PCdoB, deputada Luciana Santos , pontuou que a... http:// pcdobnacamara.org.br/site/texto.asp ?id=428267445842683498106768 …";;;;"999623817852055552";https://twitter.com/PCdoBnaCamara/status/999623817852055552
