username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
EdmarLyra;2018-06-11 15:34;0;0;"Marinaldo Rosendo participa de ato de Armando https://www. edmarlyra.com/marinaldo-rose ndo-participa-de-ato-de-armando/ … pic.twitter.com/19e83bwdha";;;;"1006243251647545345";https://twitter.com/EdmarLyra/status/1006243251647545345
blogdoelielson;2018-06-11 12:21;0;0;"Marinaldo Rosendo participa de evento da oposição representando o PP http://www. blogdoelielson.com.br/2018/06/marina ldo-rosendo-participa-de-evento-da-oposicao-representando-o-pp/ …";;;;"1006194741120323585";https://twitter.com/blogdoelielson/status/1006194741120323585
eduardonino;2018-06-11 10:22;0;0;"Retweeted eduardo ( @eduardonino ): @VAuiar Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;@eduardonino @VAuiar;;"1006164742430449664";https://twitter.com/eduardonino/status/1006164742430449664
eduardonino;2018-06-10 22:27;2;2;"Retweeted eduardo ( @eduardonino ): -Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;@eduardonino;;"1005984805434155013";https://twitter.com/eduardonino/status/1005984805434155013
eduardonino;2018-06-10 21:46;5;6;"Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974426075189250";https://twitter.com/eduardonino/status/1005974426075189250
eduardonino;2018-06-10 21:45;3;3;"-Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974256776171520";https://twitter.com/eduardonino/status/1005974256776171520
eduardonino;2018-06-10 21:44;1;0;"Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974085732626433";https://twitter.com/eduardonino/status/1005974085732626433
MarinaldoRosend;2018-06-08 19:30;1;0;"O deputado federal Marinaldo Rosendo parabeniza a mesa diretora da Câmara Municipal de Igarassu, eleita na quinta-feira, 07 de junho de 2018, para o período 2019/2020. No próximo ano, em janeiro, o vereador Ademar de... http://www. paulistaatualizado.com.br/2018/06/teste. html?m=1 …";;;;"1005215452962938880";https://twitter.com/MarinaldoRosend/status/1005215452962938880
blogdejamildo;2018-06-07 15:04;0;1;"Marinaldo Rosendo , do PP, vai para o evento da oposição a Paulo Câmara https:// goo.gl/LrmP8L pic.twitter.com/OA5LswaJMR";;;;"1004786085845663745";https://twitter.com/blogdejamildo/status/1004786085845663745
blogdoelielson;2018-06-03 19:51;0;0;"Em Timbaúba, Marinaldo Rosendo recebe representantes do Sintraf e líderes políticos da região http://www. blogdoelielson.com.br/2018/06/em-tim bauba-marinaldo-rosendo-recebe-representantes-do-sintraf-e-lideres-politicos-da-regiao/ …";;;;"1003408817646755840";https://twitter.com/blogdoelielson/status/1003408817646755840
