username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LeiaJaOnline;2018-06-11 16:45;2;2;"Pastor Eurico : “Não tenho rabo preso com ninguém”. http:// leiaja.me/EVDPk3 #TánoLeiaJá pic.twitter.com/SYZT3X141h";;;#T;"1006261266174959621";https://twitter.com/LeiaJaOnline/status/1006261266174959621
edvaldomoraispe;2018-06-08 21:39;0;0;"Rosa Weber nega seguimento a queixa-crime contra Pastor Eurico http://www. juniorcampos.net/noticia/18204/ 18204 …";;;;"1005247942847057921";https://twitter.com/edvaldomoraispe/status/1005247942847057921
carmemsantos55;2018-06-08 20:43;0;0;"Rosa Weber nega seguimento a queixa-crime contra Pastor Eurico http://www. folhape.com.br/politica/polit ica/blog-da-folha/2018/06/07/BLG,6592,7,509,POLITICA,2419-ROSA-WEBER-NEGA-SEGUIMENTO-QUEIXA-CRIME-CONTRA-PASTOR-EURICO.aspx …";;;;"1005233901424533506";https://twitter.com/carmemsantos55/status/1005233901424533506
DanAdjuto;2018-06-08 13:28;7;24;"O min. Luiz Fux marcou depoimento do dep. Pastor Eurico como testemunha de defesa de Jair Bolsonaro na ação em que ele é réu por injúria e incitação ao crime de estupro. Pastor Eurico será ouvido no dia 28/08 às 11h.";;;;"1005124291330035712";https://twitter.com/DanAdjuto/status/1005124291330035712
vascomunistas;2018-06-08 01:38;0;0;"Rosa Weber nega seguimento a queixa-crime contra Pastor Eurico http:// dlvr.it/QWZgYg";;;;"1004945762411687936";https://twitter.com/vascomunistas/status/1004945762411687936
partidoPEN51;2018-06-07 11:39;0;0;"Cabo Daciolo e Pastor Eurico fazem pronunciamento a favor dos caminhoneiros: http:// youtu.be/nxg7d4TK6Vo?a via @YouTube";;@YouTube;;"1004734521898651649";https://twitter.com/partidoPEN51/status/1004734521898651649
marcknho;2018-06-04 13:08;0;0;"Pode? @BolsonaroSP @BolsonaroSP @Francischini_ @alberto_fraga @PastorEurico @marcofeliciano @lincoln_portela @flavinhocn @IzalciLucas @onyxlorenzoni @marcknho @anaamelialemos @ronaldocaiado @lasiermartins @MagnoMalta https:// twitter.com/o_antagonista/ status/1003664217189339137 …";;@BolsonaroSP @BolsonaroSP @Francischini_ @alberto_fraga @PastorEurico @marcofeliciano @lincoln_portela @flavinhocn @IzalciLucas @onyxlorenzoni @marcknho @anaamelialemos @ronaldocaiado @lasiermartins @MagnoMalta;;"1003669917315543041";https://twitter.com/marcknho/status/1003669917315543041
RenatinhoNeto;2018-06-03 20:16;6;38;"Valdir só tá lá porque fez campanha para Eurico , inclusive arregimentando muitos sócios em Campo Grande. Mas na única vez que foi testado foi bem e é ídolo do clube, inegavelmente. Ainda acho que vem um medalhão para segurar a barra do Pastor .";;;;"1003415155521327107";https://twitter.com/RenatinhoNeto/status/1003415155521327107
51pauloroberto;2018-06-01 19:49;0;0;"Na tarde desta sexta-feira (1º), estivemos recebendo a visita do deputado federal e presidente do Patriota, Pastor Eurico . Junto a ele, participamos de bate-papo na Rádio Tabocas FM sobre o cotidiano e a... https://www. facebook.com/paulorobertoPR oficial/posts/2080501348906078 …";;;;"1002683581729210369";https://twitter.com/51pauloroberto/status/1002683581729210369
igandradee;2018-05-30 22:04;0;0;"Pqp alguém manda um padre ou pastor ir lá em sj pelo amor de deus até um pai de santo qualquer coisa pra tira essa macumba do Eurico";;;;"1001992859321622528";https://twitter.com/igandradee/status/1001992859321622528
eduardonino;2018-05-28 20:10;5;4;"Retweeted eduardo ( @eduardonino ): Deputados de PE que votaram pra entregar petróleo do Pré sal para empresas estrangeiras (shell, ExxonMobil, Total...etc) 1. Cadoca PDT 2. Pastor Eurico PHS 3. Jarbas Vasconcelos MDB 4. Kaio maniçoba MDB 5.... https://www. facebook.com/eduardo.silvas ouza/posts/1807456639276211 …";;@eduardonino;;"1001239355942424579";https://twitter.com/eduardonino/status/1001239355942424579
eduardonino;2018-05-28 17:29;16;16;"Deputados de PE que votaram pra entregar petróleo do Pré sal para empresas estrangeiras (shell, ExxonMobil, Total...etc) 1. Cadoca PDT 2. Pastor Eurico PHS 3. Jarbas Vasconcelos MDB 4. Kaio maniçoba MDB 5.... https://www. facebook.com/eduardo.silvas ouza/posts/1807456639276211 …";;;;"1001198716903133192";https://twitter.com/eduardonino/status/1001198716903133192
GildazioMouraPT;2018-05-28 13:05;0;0;"Deputados de PE que votaram pra entregar petróleo do Pré sal para empresas estrangeiras (shell, Exxon, Mobil, Total...etc) Podem me informar onde estão esses caras agora? 1. Cadoca PDT 2. Pastor Eurico PHS 3.... https://www. facebook.com/gildaziomoura/ posts/10209090753746426 …";;;;"1001132368680271872";https://twitter.com/GildazioMouraPT/status/1001132368680271872
Paivasil;2018-05-28 12:36;0;0;"Deputados de PE que votaram pra entregar petróleo do Pré sal para empresas estrangeiras (shell, ExxonMobil, Total...etc) 1. Cadoca PDT 2. Pastor Eurico PHS 3. Jarbas Vasconcelos MDB 4. Kaio maniçoba MDB 5. Fernando Monteiro PP 6. Dudu da Fonte PP 7. Creuza pereira PSB";;;;"1001124998403248129";https://twitter.com/Paivasil/status/1001124998403248129
djincidental;2018-05-28 12:05;0;0;"Faz o printi aí >>>>> Deputados de PE que votaram pra entregar petróleo do Pré sal para empresas estrangeiras (shell, Exxon Mobil, etc) 1. Cadoca PDT 2. Pastor Eurico PHS 3. Jarbas Vasconcelos MDB 4. Kaio maniçoba... https://www. facebook.com/djincidental/p osts/10213997807354154 …";;;;"1001117271559831552";https://twitter.com/djincidental/status/1001117271559831552
nibiru201545;2018-05-27 18:21;0;0;"... Jorge Silva ES Não Marcelo Aro MG Sim Marcelo Matos RJ Sim Pastor Eurico PE Sim Total PHS: 6 *PMB* Weliton Prado MG Não Total PMB: 1 *MDB* Alceu Moreira RS Sim Alexandre Serfiotis RJ Sim Altineu Côrtes RJ Sim André Amaral PB Sim Aníbal Gomes CE Sim Baleia Rossi SP...";;;;"1000849380050653184";https://twitter.com/nibiru201545/status/1000849380050653184
nibiru201545;2018-05-27 18:20;0;0;"... 2 *PHS* Carlos Andrade RR Sim Diego Garcia PR Sim Dr. Jorge Silva ES Não Marcelo Aro MG Sim Marcelo Matos RJ Sim Pastor Eurico PE Sim Total PHS: 6 *PMB* Weliton Prado MG Não Total PMB: 1 *MDB* Alceu Moreira RS Sim Alexandre Serfiotis RJ Sim Altineu Côrtes RJ Sim André...";;;;"1000849213956214784";https://twitter.com/nibiru201545/status/1000849213956214784
rutelira;2018-05-27 10:24;0;0;"Pastor Eurico Inácio de Lima, nosso pastor e amigo, que Deus abençoe sempre a sua vida, com bençãos sem medidas, agradecemos a Deus pela sua vida";;;;"1000729395429105665";https://twitter.com/rutelira/status/1000729395429105665
opbbrasil;2018-05-26 21:01;0;0;"Adicionei um vídeo a uma lista de reprodução do @YouTube http:// youtu.be/ccLpmqnfwBM?a DEP PASTOR EURICO E OPB CONTRA PEC 287";;@YouTube;;"1000527374772068352";https://twitter.com/opbbrasil/status/1000527374772068352
michellypolyana;2018-05-20 11:23;0;0;"Essa galera de Sirinhaém vive reclamando do prefeito e esquecem dos deputados que também prometeram e nada cumpriram... Vou começar pelo o querido pastor Eurico pois foi nele que votei e até agora não vi nenhum... https://www. facebook.com/MichellePolian na/posts/1967962803246034 …";;;;"998207693004341248";https://twitter.com/michellypolyana/status/998207693004341248
Nill_Junior;2018-05-16 16:52;0;0;"Pastor Eurico visita Hospital Regional Emília Câmara http:// nilljunior.com.br/pastor-eurico- visita-hospital-regional-emilia-camara/ … pic.twitter.com/w4DGa5dCWo";;;;"996840720232202240";https://twitter.com/Nill_Junior/status/996840720232202240
vascomunistas;2018-05-15 12:36;0;1;"Pastor Eurico reclama da obstrução dos partidos de esquerda na Câmara http:// dlvr.it/QSxTTH";;;;"996414121523404800";https://twitter.com/vascomunistas/status/996414121523404800
blogdejamildo;2018-05-15 11:58;0;1;"Pastor Eurico reclama da obstrução dos partidos de esquerda na Câmara https:// goo.gl/nqpCYB pic.twitter.com/vg2hD5kAvA";;;;"996404548574044160";https://twitter.com/blogdejamildo/status/996404548574044160
jairogaraujo;2018-05-15 07:58;0;0;""Eu não tenho nada a ver com esse governo que está ai, para mim ele faz parte do governo anterior''. afirma pastor Eurico http://www. blogdojairogomes.com/2018/05/eu-nao -tenho-nada-ver-com-esse-governo.html?spref=fb …";;;;"996343940751265792";https://twitter.com/jairogaraujo/status/996343940751265792
jairogaraujo;2018-05-15 07:57;0;0;"O deputado federal Pastor Eurico (PEN-PE), durante entrevista concedida á Filadelfia FM, falou sobre sua luta junto ao movimento emancipacionista em Brasília, além de comentar a importância da dignidade na política, sobretudo, com a proximidade das... http://www. blogdojairogomes.com/2018/05/eu-nao -tenho-nada-ver-com-esse-governo.html?spref=fb …";;;;"996343921990094848";https://twitter.com/jairogaraujo/status/996343921990094848
fabiocoutsilva;2018-05-09 11:15;1;0;"Boa parte dos parlamentares do PHS tem base eleitoral entre os fiéis da Assembleia de Deus e de outras denominações evangélicas. Neste ano, a "Assembleia de Deus" quer lançar Pastor Eurico ao Senado pela legenda.";;;;"994219199244496906";https://twitter.com/fabiocoutsilva/status/994219199244496906
marcknho;2018-05-06 18:30;0;0;"@BolsonaroSP @Francischini_ @deltanmd @EderMauroPA @delegado_waldir @alberto_fraga @onyxlorenzoni @marcofeliciano @DepSostenes @MarcosRogerio @IzalciLucas @lincoln_portela @JanainaDoBrasil @PastorEurico @PastorMalafaia @aguinaldaosilva @roxmo @rogeriosmarinho https:// twitter.com/jandira_feghal i/status/993185156507799552 …";;@BolsonaroSP @Francischini_ @deltanmd @EderMauroPA @delegado_waldir @alberto_fraga @onyxlorenzoni @marcofeliciano @DepSostenes @MarcosRogerio @IzalciLucas @lincoln_portela @JanainaDoBrasil @PastorEurico @PastorMalafaia @aguinaldaosilva @roxmo @rogeriosmarinho;;"993241506919211008";https://twitter.com/marcknho/status/993241506919211008
Pref_Eldorado;2018-05-05 13:12;0;0;"FEIRA DE ADOÇÃO! Realizada na Praça Pastor Eurico da Silva (praça central), a ação da Secretaria Municipal do Meio Ambiente - Smam ocorrerá até às 16h. Venha participar e dê um lar para um... https://www. facebook.com/prefeldoradodo sul/videos/1675149105896847/ …";;;;"992799161564229632";https://twitter.com/Pref_Eldorado/status/992799161564229632
pedro_eurico_;2018-05-04 21:18;0;0;"Quando o pastor faz referência ao vivo pra cazuza";;;;"992559007972904960";https://twitter.com/pedro_eurico_/status/992559007972904960
EuricoAraujo;2018-05-04 11:05;0;0;"O Senhor é nosso Pastor e nada nos faltará ! Ô Glória ... aleluia !!! Eurico Araújo https://www. facebook.com/EuricoAraujo/v ideos/1761958033861903/ …";;;;"992404954399854592";https://twitter.com/EuricoAraujo/status/992404954399854592
partidoPEN51;2018-05-03 10:37;0;0;"Deputado Pastor Eurico presta solidariedade ao Vereador Dr. Rodrigo de Lagoa de Itaenga/PE: http:// youtu.be/VKsKDFJwlhE?a via @YouTube";;@YouTube;;"992035509877854208";https://twitter.com/partidoPEN51/status/992035509877854208
eurico_ces;2018-04-29 17:04;0;0;"Por isso que o pais é o que é...as pessoas querem brigar com a imagem, ganhar na imoralidade, falta-lhes caráter ...a bola amorteceu na mão do pastor ...nem ele reclamou!";;;;"990683170122104832";https://twitter.com/eurico_ces/status/990683170122104832
arthurquares;2018-04-25 23:02;1;0;"existem três tipos de criminosos que merecem tudo de ruim, a pior pena possível. Político corrupto, Pastor explorador e Cartola corrupto. O q a corja de corruptos fazem com o Brasil, o q Edir Macedo faz com os fiéis e o q Eurico e Campello fazem c o Vasco É IMPERDOÁVEL PORRA";;;;"989323774829920258";https://twitter.com/arthurquares/status/989323774829920258
ONG_GABRASIL;2018-04-23 13:26;0;0;"CCJ aprova projeto que amplia subsídio para energia na agricultura irrigada e aquicultura Pastor Eurico ... http:// www2.camara.leg.br/camaranoticias /noticias/AGROPECUARIA/556076-CCJ-APROVA-PROJETO-QUE-AMPLIA-SUBSIDIO-PARA-ENERGIA-NA-AGRICULTURA-IRRIGADA-E-AQUICULTURA.html …";;;;"988454026940428288";https://twitter.com/ONG_GABRASIL/status/988454026940428288
AlineRicardo88;2018-04-22 10:10;0;0;"Pastor Jacinto Manto ( Tô Solto - Vinícius Rodrigues) #YouTube #TôSolto em Eurico de Aguiar… https://www. instagram.com/p/Bh37faCnPnb/";;;#YouTube #T;"988042346385281025";https://twitter.com/AlineRicardo88/status/988042346385281025
Matt_BR_Nicacio;2018-04-21 21:11;0;0;"—tu pode pegar a "pista nova" (do lado do feitosa Rua Desembargador Hélio Cabral, do lado do Jaça Rua Pastor Eurico Calheiros) passando pelo Sitío's Bar... —tu pode ir pela leste-oeste (deserto) —tu pode ir pelo Piabas (mais perigoso q o 1º) —tu pode ir pelo conjunto bariloche";;;;"987846402817568769";https://twitter.com/Matt_BR_Nicacio/status/987846402817568769
joaohenrique100;2018-04-20 17:33;0;0;"Pastor Eurico - Declara sua solideriedade à Seca no Sertão Pernambucano.: http:// youtu.be/_TxLR0kA-LQ?a via @YouTube";;@YouTube;;"987429059541000193";https://twitter.com/joaohenrique100/status/987429059541000193
partidoPEN51;2018-04-18 16:44;0;0;"Pastor Eurico presta solidariedade às vítimas de enchentes no sertão pernambucano: http:// youtu.be/VTflxm-Lr9I?a via @YouTube";;@YouTube;;"986692015176998913";https://twitter.com/partidoPEN51/status/986692015176998913
jorgersm;2018-04-18 15:58;0;1;"Deputado pastor Eurico fala na Câmara do crime que a Gleisi Hoffman cometeu, ao pedir ajuda de terroristas. Nos representou. #GleisiNaCadeia";;;#GleisiNaCadeia;"986680365241823232";https://twitter.com/jorgersm/status/986680365241823232
fabianosmith123;2018-04-14 14:59;0;0;"Hoje fazendo uma homenagem ao meu melhor amigo, paizão e pastor Eurico ... Feliz aniversário meu… https://www. instagram.com/p/Bgw_hfXFSLE/";;;;"985216090442788864";https://twitter.com/fabianosmith123/status/985216090442788864
