username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
daniteo;2018-06-10 19:03;23;177;"Ricardo Oliveira - Na gaveta pic.twitter.com/7HlGvnv0Pe";;;;"1005933593112260609";https://twitter.com/daniteo/status/1005933593112260609
MarcioQueen;2018-06-08 21:11;0;0;"7o dia de audiências da CPI do LimoPrev é marcado pelo depoimento do Deputado Federal Ricardo Teobaldo http:// dlvr.it/QWh62p pic.twitter.com/MrVziEUiRv";;;;"1005240817986912257";https://twitter.com/MarcioQueen/status/1005240817986912257
podemos_19;2018-05-28 15:46;2;6;"A presidente nacional do Podemos e dep. federal @RenataAbreuDep (SP) e o dep. federal Ricardo Teobaldo (PE), receberam representantes da Polícia Rodoviária Federal dos estados de GO, RJ e SP. Durante o encontro ocorreram várias filiação ao Podemos! Bem-vindos! #Podemos19 pic.twitter.com/wYys8hu8bU";;@RenataAbreuDep;#Podemos19;"1001172961456459776";https://twitter.com/podemos_19/status/1001172961456459776
Paivasil;2018-05-28 12:36;0;0;"8. Gonzaga Patriota PSB 9. Joao F. Coutinho PSB 10.Marivaldo roendo PSB 11.Tadeu Alencar PSB 12.Andre de Paula PSD 13.Betinho Gomes PSDB 14.Daniel Coelho PSDB 15. Ricardo Teobaldo PODEMOS FONTE: CONGRESSO EM FOCO";;;;"1001125002593357829";https://twitter.com/Paivasil/status/1001125002593357829
nibiru201545;2018-05-27 18:20;0;0;"... TO Sim Dr. Sinval Malheiros SP Sim Ezequiel Teixeira RJ Sim Francisco Chapadinha PA Sim Jozi Araújo AP Sim Luiz Carlos Ramos RJ Sim Ricardo Teobaldo PE Sim Total PTN: 11 *PV* Evair Vieira de Melo ES Sim Evandro Gussi SP Sim Total PV: 2 *Rede* Alessandro Molon RJ Não João...";;;;"1000849252946513921";https://twitter.com/nibiru201545/status/1000849252946513921
nibiru201545;2018-05-27 18:19;0;0;"... Sim Aluisio Mendes MA Sim Bacelar BA Não Carlos Henrique Gaguim TO Sim Dr. Sinval Malheiros SP Sim Ezequiel Teixeira RJ Sim Francisco Chapadinha PA Sim Jozi Araújo AP Sim Luiz Carlos Ramos RJ Sim Ricardo Teobaldo PE Sim Total PTN: 11 *PV* Evair Vieira de Melo ES...";;;;"1000849087170859012";https://twitter.com/nibiru201545/status/1000849087170859012
blogdoelielson;2018-05-17 22:39;0;0;"Joaquim Lapa deixará de votar em Ricardo Teobaldo e apoiará Júnior Uchoa para federal http://www. blogdoelielson.com.br/2018/05/joaqui m-lapa-deixara-de-votar-em-ricardo-teobaldo-e-apoiara-junior-uchoa-para-federal/ …";;;;"997290422060937216";https://twitter.com/blogdoelielson/status/997290422060937216
blogdoelielson;2018-05-16 14:14;0;0;"Em nota, Compesa responde críticas do deputado Ricardo Teobaldo sobre reunião em Guadalajara http://www. blogdoelielson.com.br/2018/05/em-not a-compesa-responde-criticas-do-deputado-ricardo-teobaldo-sobre-reuniao-em-guadalajara/ …";;;;"996801080322215936";https://twitter.com/blogdoelielson/status/996801080322215936
blogdoelielson;2018-05-15 17:18;0;0;"Ricardo Teobaldo classifica como ‘campanha’ e ‘ilusão’ evento da Compesa em Guadalajara http://www. blogdoelielson.com.br/2018/05/ricard o-teobaldo-classifica-como-campanha-e-ilusao-evento-da-compesa-em-guadalajara/ …";;;;"996484900734681088";https://twitter.com/blogdoelielson/status/996484900734681088
BarretoEcbf;2018-05-09 22:16;0;0;"PE: Adalberto Cavalcanti/André de Paula/Augusto Coutinho/Betinho Gomes/Bruno Araújo/Eduardo Cadoca/Daniel Coelho/ Fernando Coelho Filho/Fernando Monteiro/Jarbas Vasconcelos/ João Fernando Coutinho/Jorge Côrte Real/Kaio Maniçoba/Marinaldo Rosendo/Mendonça Filho/ Ricardo Teobaldo .";;;;"994385769363136512";https://twitter.com/BarretoEcbf/status/994385769363136512
catarinacanzone;2018-05-09 19:26;0;0;"Ricardo Teobaldo : O PL DO ABORTODUTO PODE SER PAUTADO A QUALQUER MOMENTO - Sign: http://www. citizengo.org/pt-br/lf/11985 4-o-pl-do-abortoduto-pode-ser-pautado-qualquer-momento?tc=tw&tcid=43581028 …";;;;"994342984471797760";https://twitter.com/catarinacanzone/status/994342984471797760
Margot_C1956;2018-05-09 08:00;1;2;"Alexandre Morais manda p 1º grau processos contra Aécio Neves, Roberto Góes (PDT-AP), Cesar Halum (PRB-TO) e Carlos Henrique Amorim(DEM-TO), Luis Nishimori (PR-PR), Betinho Gomes (PSDB-PE), Rossoni (PSDB-PR) e Ricardo Teobaldo (Pode-PE). https://www. conjur.com.br/2018-mai-08/al exandre-moraes-manda-primeiro-grau-inquerito-aecio …";;;;"994170266363232256";https://twitter.com/Margot_C1956/status/994170266363232256
EdmarLyra;2018-05-08 15:36;0;0;"Ricardo Teobaldo enaltece os 10 anos do blog https://www. edmarlyra.com/ricardo-teobal do-enaltece-os-10-anos-do-blog/ … pic.twitter.com/4ygqAjFhHZ";;;;"993922714464239616";https://twitter.com/EdmarLyra/status/993922714464239616
blogdoelielson;2018-05-07 16:36;0;0;"Em Buenos Aires, José Humberto e Ricardo Teobaldo prestigia promovida por ex-prefeito http://www. blogdoelielson.com.br/2018/05/em-bue nos-aires-jose-humberto-e-ricardo-teobaldo-prestigia-promovida-por-ex-prefeito/ …";;;;"993575379917983744";https://twitter.com/blogdoelielson/status/993575379917983744
edsonreatoalves;2018-05-03 16:40;0;0;"Os deputados que votaram a favor da reforma Trabalhista: Jarbas Vasconcelos, Eduardo da Fonte, Fernando Monteiro, Andre de Paula, Betinho Gomes, Daniel Coelho, Adalberto Cavalcanti, Ricardo Teobaldo e Augusto Coutinho Esses deputados votaram contra o trabalhador. Lembre-se PE.";;;;"992126757183676416";https://twitter.com/edsonreatoalves/status/992126757183676416
severinonaweb;2018-05-02 07:41;0;0;"Hoje o vereador Alexandre De Biu de Laro participou na prefeitura de bom jardim o asteamento da Bandeira, em homenagem aos trabalhadores juntos com prefeito João lira ,deputado Federal Ricardo Teobaldo e Joaquim... https://www. facebook.com/severino007/po sts/1360139820799554 …";;;;"991628866476179457";https://twitter.com/severinonaweb/status/991628866476179457
severinonaweb;2018-05-02 07:40;0;0;"Hoje 01 de maio a vereadora Lene Cadete participou na prefeitura de bom jardim o asteamento da Bandeira, em homenagem aos trabalhadores juntos com prefeito João lira ,deputado Federal Ricardo Teobaldo e Joaquim lira... https://www. facebook.com/severino007/po sts/1360138934132976 …";;;;"991628545289019393";https://twitter.com/severinonaweb/status/991628545289019393
severinonaweb;2018-05-02 07:38;0;0;"Hoje 01 de maio o vereador Donato Ferreira participou na prefeitura de bom jardim o asteamento da Bandeira, em homenagem aos trabalhadores juntos com prefeito João lira ,deputado Federal Ricardo Teobaldo e Joaquim... https://www. facebook.com/severino007/po sts/1360136144133255 …";;;;"991628015649075200";https://twitter.com/severinonaweb/status/991628015649075200
Joaquim_Lira;2018-05-01 21:31;0;1;"Dia de solenidade em homenagem ao trabalhador em Bom Jardim. Hoje pela manhã, junto ao prefeito João Lira, do vice Ivonete, vereadores e ao deputado federal Ricardo Teobaldo , hasteamos o pavilhão nacional e participamos das comemorações.";;;;"991475189677461505";https://twitter.com/Joaquim_Lira/status/991475189677461505
DatoJaguar;2018-04-25 21:52;0;1;"Anotaron en DOS o más partidos seguidos en Jaguares ➔ Eder Ricardo Steer 3 partidos ➔ Ray Vanegas 2 partidos ➔ Harold Rivera 2 partidos ➔ Teobaldo Torres 2 partidos ➔ William Zapata 2 partidos ➔ Martón Arzuaga 2... https://www. facebook.com/DatoJaguar/pos ts/1878527202222462 …";;;;"989306115132461057";https://twitter.com/DatoJaguar/status/989306115132461057
monicaeloy;2018-04-24 14:11;0;0;"Pernambuc! pedimos a ajuda de todos vcs p/ *enterrar a carreira política dos Dep Fed q votaram a favor da Reform Trabalh: Cadoca,Jarbas Vasc,Eduardo da Fonte,Fernando Mont,André de Paula,Betinho Gomes,Daniel Coelho,Guilherme Coelho,Adalberto Cavalcanti, Ricardo Teobaldo e Aug Cou";;;;"988827674310250496";https://twitter.com/monicaeloy/status/988827674310250496
tparanhos;2018-04-24 12:07;6;4;"Dep. Fed. a favor da Reforma Trabalhista #NãoVotar Cadoca, Jarbas Vasconcelos, Eduardo da Fonte, Fernando Monteiro, André de Paula, Betinho Gomes, Daniel Coelho, Guilherme Coelho, Adalberto Cavalcanti, Ricardo Teobaldo e Augusto Coutinho";;;#N;"988796458102153216";https://twitter.com/tparanhos/status/988796458102153216
honorio_daniel;2018-04-23 12:45;0;0;"Ricardo Teobaldo : O PL DO ABORTODUTO PODE SER PAUTADO A QUALQUER MOMENTO - Sign: http:// citizengo.org/pt-br/lf/11985 4-o-pl-do-abortoduto-pode-ser-pautado-qualquer-momento?tc=tw&tcid=47536531 …";;;;"988443754209185793";https://twitter.com/honorio_daniel/status/988443754209185793
catarinacanzone;2018-04-18 10:20;0;0;"Ricardo Teobaldo : O PL DO ABORTODUTO PODE SER PAUTADO A QUALQUER MOMENTO - Sign: http://www. citizengo.org/pt-br/lf/11985 4-o-pl-do-abortoduto-pode-ser-pautado-qualquer-momento?tc=tw&tcid=43581028 …";;;;"986595270908628992";https://twitter.com/catarinacanzone/status/986595270908628992
profjoba;2018-04-17 22:11;0;1;"Vem carregado com Marcos Feliciano, Ricardo Teobaldo e outras raposas. O partido é o Podemos.";;;;"986411846168137728";https://twitter.com/profjoba/status/986411846168137728
jairogaraujo;2018-04-08 12:51;0;0;"Deputado Ricardo Teobaldo garante emenda no orçamento da união, a pedido do Vereador João Eugenio, para obras de infra-estrutura em Taquaritinga do Norte https://www. facebook.com/blogdojairogom es/posts/2012998435583847 …";;;;"983009508925505537";https://twitter.com/jairogaraujo/status/983009508925505537
mgarit;2018-04-07 03:20;97;116;"#TalDiaComoHoy 7 abril 1234 Muere en Tudela el rey SANCHO VII EL FUERTE a los 80 años Era viernes y “hubo muchos llantos y lutos en Navarra” Hijo d Sancho VI el Sabio Hermano d Berenguela(== Ricardo Corazón d León) y d Blanca (== Teobaldo III d Champaña) Cuento algo d su vida: pic.twitter.com/yB3FM0vG0f";;;#TalDiaComoHoy;"982503237810089989";https://twitter.com/mgarit/status/982503237810089989
jairogaraujo;2018-03-25 13:16;0;0;"O pré-candidato a deputado estadual José Augusto Maia teve um sábado com agenda cheia. Reuniu-se com sua equipe pela manhã e a tarde recebeu o deputado federal Ricardo Teobaldo . As... http://www. blogdojairogomes.com/2018/03/ze-aug usto-prestigia-festa-de-sao-jose.html?spref=fb …";;;;"977942205850619904";https://twitter.com/jairogaraujo/status/977942205850619904
