username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
prnacamara;2018-06-08 15:34;1;1;"Começa agora a sessão solene em homenagem aos 45 anos da @infraero , o deputado Sebastião Oliveira é um dos autores do requerimento para a realização da solenidade. pic.twitter.com/Oes1wIU2Xv";;@infraero;;"1005156142828457986";https://twitter.com/prnacamara/status/1005156142828457986
BLOGDOMAGNO;2018-06-07 13:27;0;0;"Pernambuco recebe mais de R$ 20 milhões em recursos O presidente estadual do Partido da República, deputado Sebastião Oliveira , assegurou o repasse, por parte do Ministério, de R$ 22,5 milhões extras para Pernambuco. [...] Confira na íntegra aqui: http://www. blogdomagno.com.br/ver_post.php?i d=190884 …";;;;"1004761819641204738";https://twitter.com/BLOGDOMAGNO/status/1004761819641204738
osecretariopovo;2018-06-07 09:40;0;0;"Deputado Sebastião Oliveira anuncia R$ 20 milhões para Pernambuco e avanços no Aeroporto de Serra Talhada http:// osecretariodopovo.com/deputado-sebas tiao-oliveira-anuncia-r-20-milhoes-para-pernambuco-e-avancos-no-aeroporto-de-serra-talhada/ … pic.twitter.com/hd6F8BWRxd";;;;"1004704755451510786";https://twitter.com/osecretariopovo/status/1004704755451510786
MarcoRaposo28;2018-06-06 20:44;1;1;"Deputado Sebastião Oliveira , sempre defendendo os interesses do povo Pernambucano pic.twitter.com/2RpOU6JCe8";;;;"1004509302781079556";https://twitter.com/MarcoRaposo28/status/1004509302781079556
BLOGDOMAGNO;2018-05-11 16:54;0;1;"Aeroporto do Recife continuará ampliando voos Artigo do deputado federal Sebastião Oliveira . [...] Confira na íntegra aqui: http:// blogdomagno.com.br/ver_post.php?i d=189837 …";;;;"995029375434264577";https://twitter.com/BLOGDOMAGNO/status/995029375434264577
celioborges2012;2018-05-05 01:42;0;0;"O Prefeito de São Vicente Ferrer Flávio Regis com sua equipe, recebe a ilustre visita do seu Deputado Federal Sebastião Oliveira do PR ex Secretário Estadual de Transportes no município nesta sexta - feira... https://www. facebook.com/celioborgesbom jardimpe/posts/2198599773499779 …";;;;"992625669426335744";https://twitter.com/celioborges2012/status/992625669426335744
joaopauloe40;2018-04-23 11:33;0;0;"Na última sexta-feira dia (20) vinte, acompanhamos o Deputado Federal Sebastião Oliveira em visita ao Serc, onde fomos recebidos pela colaboradora Maria Das Dores Brito que explanou o trabalho da referida... https://www. facebook.com/joaopaulodelem os40/posts/445620042518762 …";;;;"988425621322784768";https://twitter.com/joaopauloe40/status/988425621322784768
estenioelbainy;2018-03-16 12:43;0;0;"Sebastião Machado Oliveira , mais conhecido como Sibá Machado, deputado (Acre) do partido dos "guerreiros" diria que os atuais acontecimentos é obra da CIA?";;;;"974672616584830976";https://twitter.com/estenioelbainy/status/974672616584830976
osecretariopovo;2018-03-01 14:56;0;0;"Nota do deputado Federal Sebastião Oliveira sobre a morte de Geni Pereira http:// osecretariodopovo.com/nota-do-deputa do-federal-sebastiao-oliveira-sobre-a-morte-de-geni-pereira/ …";;;;"969270044780892162";https://twitter.com/osecretariopovo/status/969270044780892162
blogdoroberiosa;2018-02-10 06:34;0;0;"O prefeito de Serra Talhada, Luciano Duque (PT), voltou a provocar o deputado Sebastião Oliveira (PR), que... https:// fb.me/SxexyqY3";;;;"962243426782728192";https://twitter.com/blogdoroberiosa/status/962243426782728192
blogdoroberiosa;2018-02-01 14:04;0;0;"O deputado licenciado e secretário de transportes, Sebastião Oliveira (PR), realmente passou por uma metamorfose... https:// fb.me/1sxnHdn6m";;;;"959095168476606465";https://twitter.com/blogdoroberiosa/status/959095168476606465
blogdoroberiosa;2018-02-01 12:40;0;0;"O prefeito Luciano Duque (PT) devolveu o recado do deputado Sebastião Oliveira (PR), que ao lançar um bloco... https:// fb.me/7mgpArv2r";;;;"959074055621144576";https://twitter.com/blogdoroberiosa/status/959074055621144576
blogdoroberiosa;2018-01-29 15:22;0;0;"Na primeira semana de janeiro deste ano, o deputado licenciado e secretário de transportes, Sebastião Oliveira ... https:// fb.me/2wwa9yeqw";;;;"958027478295089153";https://twitter.com/blogdoroberiosa/status/958027478295089153
blogdoroberiosa;2018-01-29 14:26;0;1;"Na primeira semana de janeiro deste ano, o deputado licenciado e secretário de transportes, Sebastião Oliveira ... https:// fb.me/2NLyqlT97";;;;"958013467646201857";https://twitter.com/blogdoroberiosa/status/958013467646201857
blogdoroberiosa;2018-01-26 17:57;0;0;"O deputado federal licenciado e secretário de transportes, Sebastião Oliveira (PR), juntamente com o Ministro... https:// fb.me/2w7lb1ZWH";;;;"956979447139307520";https://twitter.com/blogdoroberiosa/status/956979447139307520
