username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PajeuAM;2018-06-11 10:41;0;0;"Ao vivo: deputado Sílvio Costa participa agora no Debate das Dez; acompanhe - http://www. radiopajeu.com.br/portal/ao-vivo -deputado-silvio-costa-participa-agora-no-debate-das-dez-acompanhe/ … pic.twitter.com/cP18umVVM1";;;;"1006169540160614402";https://twitter.com/PajeuAM/status/1006169540160614402
prb10pe;2018-06-08 11:57;0;1;"No governo Paulo Câmara, já são mais de 15,5 mil assassinatos, denuncia Silvio Costa Filho. O deputado segue cobrando respostas sobre os altos índices de violência! Confira outros detalhes https:// bit.ly/2xQxjzI pic.twitter.com/ZpkH7cRIYh";;;;"1005101416363552769";https://twitter.com/prb10pe/status/1005101416363552769
jorgeandrejobim;2018-06-07 19:40;0;0;"DEPUTADO SÍLVIO COSTA APONTA SEMELHANÇAS ENTRE LULA E MANDELA https://www. facebook.com/10000839970368 7/videos/1905455043077801/?t=0 …";;;;"1004855542467219457";https://twitter.com/jorgeandrejobim/status/1004855542467219457
ubaldobarbosa;2018-06-05 21:53;0;0;"'Tenho pena de quem vota em Bolsonaro', diz deputado Silvio Costa https:// youtu.be/IE0vO-Wv12I via @YouTube";;@YouTube;;"1004164355724906499";https://twitter.com/ubaldobarbosa/status/1004164355724906499
BLOGDOMAGNO;2018-06-04 17:49;0;0;"Silvio: Desequilíbrio do Estado compromete serviços De acordo com o deputado Silvio Costa Filho (PRB), o relatório fiscal de execução orçamentária joga luz sobre essa realidade. [...] Confira na íntegra aqui: http://www. blogdomagno.com.br/ver_post.php?i d=190787 …";;;;"1003740648447578113";https://twitter.com/BLOGDOMAGNO/status/1003740648447578113
cct1949;2018-06-04 03:53;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003530076514856960";https://twitter.com/cct1949/status/1003530076514856960
normamassa1;2018-06-03 20:50;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003423735876026368";https://twitter.com/normamassa1/status/1003423735876026368
terezaneuman1;2018-06-03 15:55;1;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003349583966232576";https://twitter.com/terezaneuman1/status/1003349583966232576
IbarakiJapao;2018-06-03 12:19;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003295143091318784";https://twitter.com/IbarakiJapao/status/1003295143091318784
rochapires2;2018-06-03 11:47;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003286952085458944";https://twitter.com/rochapires2/status/1003286952085458944
verabrilhante1;2018-06-03 11:15;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003278979313176576";https://twitter.com/verabrilhante1/status/1003278979313176576
VagnerBrito4;2018-06-03 10:23;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003265841020985344";https://twitter.com/VagnerBrito4/status/1003265841020985344
marcelofilosof4;2018-06-03 10:00;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003260052600426497";https://twitter.com/marcelofilosof4/status/1003260052600426497
RECICLADORII;2018-06-03 09:30;1;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela http:// reciclador2.blogspot.com/2018/06/deputa do-silvio-costa-aponta.html …";;;;"1003252689910759424";https://twitter.com/RECICLADORII/status/1003252689910759424
leonardocossio;2018-06-03 09:14;0;0;"I liked a @YouTube video http:// youtu.be/BZM1nMfY3Yg?a Deputado Silvio Costa aponta semelhanças entre Lula e Mandela";;@YouTube;;"1003248658798776320";https://twitter.com/leonardocossio/status/1003248658798776320
damolas;2018-06-03 05:49;0;1;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003196918653181952";https://twitter.com/damolas/status/1003196918653181952
BRADO_MIA_FL;2018-06-03 04:02;0;0;"RT brasil247 " Deputado Silvio Costa aponta semelhanças entre Lula e Mandela: http:// youtu.be/BZM1nMfY3Yg?a via YouTube"";;;;"1003170001887617024";https://twitter.com/BRADO_MIA_FL/status/1003170001887617024
MarcosDesignart;2018-06-03 01:59;0;0;"I liked a @YouTube video http:// youtu.be/BZM1nMfY3Yg?a Deputado Silvio Costa aponta semelhanças entre Lula e Mandela";;@YouTube;;"1003139195827834880";https://twitter.com/MarcosDesignart/status/1003139195827834880
frjunioradv;2018-06-03 00:20;1;1;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https://www. youtube.com/attribution_li nk?a=qUds6H-l0a8&u=%2Fwatch%3Fv%3DBZM1nMfY3Yg%26feature%3Dshare …";;;;"1003114049360547840";https://twitter.com/frjunioradv/status/1003114049360547840
SATrending;2018-06-02 23:15;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela http:// southafrica.trendolizer.com/2018/06/deputa do-silvio-costa-aponta-semelhancas-entre-lula-e-mandela.html … pic.twitter.com/DYcbmX3Xm5";;;;"1003097713636990979";https://twitter.com/SATrending/status/1003097713636990979
eliezerrocha4;2018-06-02 23:09;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003096354648883200";https://twitter.com/eliezerrocha4/status/1003096354648883200
ArmandoPrado7;2018-06-02 23:01;1;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003094165146750976";https://twitter.com/ArmandoPrado7/status/1003094165146750976
valdecirribei16;2018-06-02 22:54;1;0;"Deputado Silvio Costa visita lula e da entrevista em curitiba ! https:// youtu.be/TASrOp_YmyQ via @YouTube";;@YouTube;;"1003092418189807616";https://twitter.com/valdecirribei16/status/1003092418189807616
deliriumdelia;2018-06-02 22:52;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003092018715914242";https://twitter.com/deliriumdelia/status/1003092018715914242
esnefiro632;2018-06-02 22:40;0;0;"DEPUTADO SILVIO COSTA RESPONDE AOS SEUS CRÍTICOS https:// youtu.be/Ru5FKeCwhwE via @YouTube";;@YouTube;;"1003089080828289024";https://twitter.com/esnefiro632/status/1003089080828289024
esnefiro632;2018-06-02 22:37;0;0;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela https:// youtu.be/BZM1nMfY3Yg via @YouTube";;@YouTube;;"1003088235487088640";https://twitter.com/esnefiro632/status/1003088235487088640
brasil247;2018-06-02 21:24;38;46;"Deputado Silvio Costa aponta semelhanças entre Lula e Mandela: http:// youtu.be/BZM1nMfY3Yg?a via @YouTube";;@YouTube;;"1003069910464040960";https://twitter.com/brasil247/status/1003069910464040960
ErikahdaSilva;2018-06-02 20:45;0;0;"Gostei de um vídeo @YouTube http:// youtu.be/IE0vO-Wv12I?a' Eu … tenho pena de quem vota em Bolsonaro', diz deputado Silvio Costa";;@YouTube;;"1003060100590862336";https://twitter.com/ErikahdaSilva/status/1003060100590862336
chicanjos;2018-06-02 19:31;0;0;"FALA DO DEPUTADO SILVIO COSTA APÓS VISITA AO PRESIDENTE LULA. https:// youtu.be/8KGAoJj95M8 via @YouTube";;@YouTube;;"1003041336264622080";https://twitter.com/chicanjos/status/1003041336264622080
Bandasomlaser;2018-06-02 18:24;0;0;"FALA DO DEPUTADO SILVIO COSTA APÓS VISITA AO PRESIDENTE LULA. https://www. facebook.com/ermailsonmaced ojesuseocaminho/posts/1503577486421361 …";;;;"1003024605148114945";https://twitter.com/Bandasomlaser/status/1003024605148114945
