username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jairogaraujo;2018-06-11 18:22;0;0;"Tadeu Alencar reforça agenda de prefeitos com o governador Paulo Câmara http://www. blogdojairogomes.com/2018/06/tadeu- alencar-reforca-agenda-de.html?spref=fb …";;;;"1006285592081129472";https://twitter.com/jairogaraujo/status/1006285592081129472
jairogaraujo;2018-06-11 18:22;0;0;"O deputado Tadeu Alencar , líder do PSB na Câmara, reforça sua atuação em favor municípios do Estado onde mantém fortes laços políticos. O parlamentar intermediou audiências de prefeitos com... http://www. blogdojairogomes.com/2018/06/tadeu- alencar-reforca-agenda-de.html?spref=fb …";;;;"1006285575664623617";https://twitter.com/jairogaraujo/status/1006285575664623617
Nill_Junior;2018-06-11 16:51;0;0;"Tadeu Alencar reforça agenda de prefeitos com o governador Paulo Câmara http:// nilljunior.com.br/tadeu-alencar- reforca-agenda-de-prefeitos-com-o-governador-paulo-camara/ … pic.twitter.com/Q6IQQGwCSr";;;;"1006262689612664834";https://twitter.com/Nill_Junior/status/1006262689612664834
eduardonino;2018-06-11 10:22;0;0;"Retweeted eduardo ( @eduardonino ): @VAuiar Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;@eduardonino @VAuiar;;"1006164742430449664";https://twitter.com/eduardonino/status/1006164742430449664
eduardonino;2018-06-10 22:27;2;2;"Retweeted eduardo ( @eduardonino ): -Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;@eduardonino;;"1005984805434155013";https://twitter.com/eduardonino/status/1005984805434155013
eduardonino;2018-06-10 21:46;5;6;"Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974426075189250";https://twitter.com/eduardonino/status/1005974426075189250
eduardonino;2018-06-10 21:45;3;3;"-Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974256776171520";https://twitter.com/eduardonino/status/1005974256776171520
eduardonino;2018-06-10 21:44;1;0;"Deputados do PSB/PE que votaram a favor do golpe Danilo Cabral Fernando Coelho Filho Gonzaga Patriota João Fernando Coutinho Marinaldo Rosendo Tadeu Alencar";;;;"1005974085732626433";https://twitter.com/eduardonino/status/1005974085732626433
tadeu_alves;2018-06-09 21:56;0;2;"A Farsa a Jato e' Lawfare escancarado - Kennedy Alencar : se emails para Odebrecht fossem de Lula e não de FHC, seria acusado de chefiar organização criminosa https://www. diariodocentrodomundo.com.br/kennedy-alenca r-se-emails-para-odebrecht-fossem-de-lula-e-nao-de-fhc-seria-acusado-de-chefiar-organizacao-criminosa/ …";;;;"1005614757527908352";https://twitter.com/tadeu_alves/status/1005614757527908352
tadeu_alves;2018-06-07 23:04;2;0;"Kennedy Alencar sobre Moro: rei do camarote e juiz ostentação https:// luizmuller.com/2018/06/05/ken nedy-alencar-sobre-moro-rei-do-camarote-e-juiz-ostentacao/ …";;;;"1004907022863740928";https://twitter.com/tadeu_alves/status/1004907022863740928
Nill_Junior;2018-06-07 09:30;0;0;"Evandro Valadares tem audiência com Tadeu Alencar http:// nilljunior.com.br/evandro-valada res-tem-audiencia-com-tadeu-alencar/ … pic.twitter.com/yJiPTRDjT1";;;;"1004702103015526400";https://twitter.com/Nill_Junior/status/1004702103015526400
prefeitura_sje;2018-06-07 08:37;0;0;"PREFEITO DE SÃO JOSÉ DO EGITO TEM ENCONTRO COM DEPUTADO TADEU ALENCAR EM BRASÍLIA O parlamentar que assumiu essa semana a liderança do Partido Socialista Brasileiro na câmara federal, recebeu Evandro... https://www. facebook.com/prefeiturasaoj osedoegito/posts/397251847443013 …";;;;"1004688760838197248";https://twitter.com/prefeitura_sje/status/1004688760838197248
ParlaTube;2018-06-06 21:04;1;0;"Tadeu Alencar registra o posicionamento do PSB sobre o projeto que trata da criação de municípios https:// youtu.be/3mOwsDPxA0w";;;;"1004514424642785280";https://twitter.com/ParlaTube/status/1004514424642785280
ParlaTube;2018-06-06 21:04;1;1;"@psbnacamara Tadeu Alencar registra o posicionamento do PSB sobre o projeto que trata da criação de municípios https:// youtu.be/3mOwsDPxA0w";;@psbnacamara;;"1004514399766437889";https://twitter.com/ParlaTube/status/1004514399766437889
