username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Gravatanamidia;2018-05-23 04:47;0;0;"#COMPARTILHE ! Política PE - Wolney Queiroz participará de 'Ato do PDT' em Gravatá nesta Sexta-feira (25) http://www. politicape.com.br/wolney-queiroz -participara-de-ato-do-pdt-em-gravata-nesta-sexta-feira-25/ …";;;#COMPARTILHE;"999195194280071169";https://twitter.com/Gravatanamidia/status/999195194280071169
blogdafolha;2018-05-07 12:22;0;1;"Participam da reunião o senador Humberto Costa (PT), os deputados federais Silvio Costa (Avante), Bruno Araújo (PSDB), Wolney Queiroz (PDT), Danilo Cabral (PSB), Tadeu Alencar (PSB), Jorge Côrte Real (PTB) e André de Paula (PSD) http:// bit.ly/2FTUvvA http:// bit.ly/2FTUvvA";;;;"993511402898944002";https://twitter.com/blogdafolha/status/993511402898944002
bernardo_wolney;2018-04-29 10:44;0;1;"ppp nanna queiroz — Desconheço https:// curiouscat.me/Bernardo_Wolne y/post/437469443?1525009443 …";;;;"990587518180581376";https://twitter.com/bernardo_wolney/status/990587518180581376
NoeliaBrito2013;2018-04-12 18:56;0;1;"Durante esse suposto almoço do Danilo Cabral e do Wolney Queiroz com o Zé Dirceu em que eles teriam pediram pra o petista se meter na eleição de Pernambuco pra que o PT em vez de lançar a candidatura da nossa... https://www. facebook.com/noeliabritoblo g/posts/1841204882570341 …";;;;"984550759978037249";https://twitter.com/NoeliaBrito2013/status/984550759978037249
NoeliaBrito2013;2018-04-12 18:39;1;5;"O PSB e Paulo Câmara estariam tão desesperados para tirar a candidatura da nossa futura governadora Marília Arraes que segundo os Blogs do Edmar Lyra e da Folha, teriam mandado Danilo Cabral e Wolney Queiroz ... https://www. facebook.com/noeliabritoblo g/posts/1841194372571392 …";;;;"984546585756381184";https://twitter.com/NoeliaBrito2013/status/984546585756381184
MikeTorres221b;2018-04-12 16:47;0;0;"Wolney Queiroz ... meu deus";;;;"984518358019297280";https://twitter.com/MikeTorres221b/status/984518358019297280
edysant87904473;2018-04-07 20:28;0;0;"faço minhas as suas palavras deputado Wolney Queiroz https://www. facebook.com/edileuzas2/pos ts/2093193944042337 …";;;;"982762101860130816";https://twitter.com/edysant87904473/status/982762101860130816
DominiumRelGov;2018-04-04 11:15;0;2;"Eleitos na Comissão de Trabalho, de Administração e Serviço Público (CTASP), os deputados: Ronaldo Nogueira (PTB/RS), presidente; Deley (PTB/RJ), 1º vice; Lucas Vergílio (SD/GO), 2º vice; e Wolney Queiroz (PDT/PE), 3º Vice. pic.twitter.com/xPR18pCrDK";;;;"981535698237952001";https://twitter.com/DominiumRelGov/status/981535698237952001
bernardo_wolney;2018-03-25 11:03;0;0;"ppp gi queiroz — Passo https:// curiouscat.me/Bernardo_Wolne y/post/369925615?1521986594 …";;;;"977908839923281921";https://twitter.com/bernardo_wolney/status/977908839923281921
frjunioradv;2018-03-11 14:40;0;0;"Retweeted Wolney _ Queiroz ( @WolneyQueirozM ): Hoje pela manhã, estivemos em Tacaimbó, visitando as obras da... https:// fb.me/1CFtn1IZh";;@WolneyQueirozM;;"972890043009372161";https://twitter.com/frjunioradv/status/972890043009372161
