username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Nill_Junior;2018-06-09 10:25;0;0;"Deputado Zeca Cavalcanti tem agenda em Santa Maria da Boa Vista e Orocó http:// nilljunior.com.br/deputado-zeca- cavalcanti-tem-agenda-em-santa-maria-da-boa-vista-e-oroco/ … pic.twitter.com/hkDiKjZg0O";;;;"1005440682918440961";https://twitter.com/Nill_Junior/status/1005440682918440961
EdmarLyra;2018-06-08 14:17;0;1;"Zeca Cavalcanti tem agenda no Sertão de Itaparica neste fim de semana https://www. edmarlyra.com/zeca-cavalcant i-tem-agenda-no-sertao-de-itaparica-neste-fim-de-semana/ … pic.twitter.com/QvIk71x7LK";;;;"1005136779769507840";https://twitter.com/EdmarLyra/status/1005136779769507840
Nill_Junior;2018-06-08 07:34;0;0;"Zeca Cavalcanti cumpre agenda no Sertão de Itaparica http:// nilljunior.com.br/zeca-cavalcant i-cumpre-agenda-no-sertao-de-itaparica/ … pic.twitter.com/SknnzBCyeq";;;;"1005035402540011520";https://twitter.com/Nill_Junior/status/1005035402540011520
PTBnaCamara;2018-06-07 08:37;0;0;"Dep. Zeca Cavalcanti afirma: mudanças propostas pela #Anvisa nos rótulos de alimentos e bebidas são importantes para quem tem doenças como #Diabetes e #Hipertensão . Alerta sobre teor de sal, açúcar e gordura será claro e linguagem, simples e direta. Ouça: http:// hearthis.at/2062067/";;;#Anvisa #Diabetes #Hipertens;"1004688846708146176";https://twitter.com/PTBnaCamara/status/1004688846708146176
PTBnaCamara;2018-06-06 11:58;1;1;"O deputado e médico Zeca Cavalcanti aprovou a mudança nos #Rótulos de alimentos e bebidas que a #Anvisa pretende fazer. A ideia é tornar a informação sobre teores de sal, açúcar e gordura mais simples para o consumidor. http:// goo.gl/1N38pJ pic.twitter.com/jDNGTtnWZN";;;#R #Anvisa;"1004376990709886977";https://twitter.com/PTBnaCamara/status/1004376990709886977
ptb14;2018-05-29 15:28;0;1;"Zeca Cavalcanti pede mais equilíbrio na divisão de recursos para os municípios | Leia mais: https:// bit.ly/2slrO6d pic.twitter.com/TNnTChbgej";;;;"1001530684324876290";https://twitter.com/ptb14/status/1001530684324876290
PTBnaCamara;2018-05-28 17:41;1;2;"Deputado Zeca Cavalcanti defende o aumento no #FPM , o Fundo de Participação dos Municípios. Esse foi um dos temas da #MarchaDosPrefeitos a Brasília. Os prefeitos conheceram o que pensam alguns pré-candidatos a #Presidência . Ouça: http:// hearthis.at/2020243/";;;#FPM #MarchaDosPrefeitos #Presid;"1001201848299216896";https://twitter.com/PTBnaCamara/status/1001201848299216896
PTBnaCamara;2018-05-22 17:19;1;1;"#Saúde Em entrevista à Rádio PTB, o deputado e médico Zeca Cavalcanti defende projeto que obriga #hospitais públicos e privados a notificarem casos de #Câncer e malformações congênitas. A proposta já foi aprovada pela Câmara e aguarda votação pelo Senado: https:// hearthis.at/2011899/";;;#Sa #hospitais #C;"999021847420325888";https://twitter.com/PTBnaCamara/status/999021847420325888
PTBnaCamara;2018-05-17 18:09;1;1;"O deputado Zeca Cavalcanti defende a notificação obrigatória de casos de #câncer e de #malformações congênitas ao #Ministério da #Saúde . A proposta já foi aprovada pela Câmara Dos Deputados e será votada no Senado Federal. http:// goo.gl/uztkcC pic.twitter.com/7NLVwsqfEv";;;#c #malforma #Minist #Sa;"997222533110878208";https://twitter.com/PTBnaCamara/status/997222533110878208
Nill_Junior;2018-05-17 15:29;0;0;"Em nota, Zeca Cavalcanti afirma que ‘não cometeu ato em desconformidade com a lei’ http:// nilljunior.com.br/em-nota-zeca-c avalcanti-afirma-que-nao-cometeu-ato-em-desconformidade-com-a-lei/ … pic.twitter.com/li4ezfm6xT";;;;"997182239157964801";https://twitter.com/Nill_Junior/status/997182239157964801
