text	TextBlob	OpLexicon
geraldo alckmin reeleito governador sao paulo ja ta decidido dilma vai pro segundo turno contra aecio neves aeciodevirada	negativo	positivo
dilma rousseff pt aecio neves psdb vao disputar turno	neutro	negativo
voces idolatrando aecio minimo nao sabem nada sobre governo so vao status odiar dilma parabens galera	negativo	neutro
coisa nordestino votar dilma so causa bolsa familia mentira aqui trabalhador gentr q acorda cedo pra trabalha	positivo	neutro
unica coisa n queria alckmin governador dilma aceito	neutro	positivo
aaaargh odio desse povo brasileiro faz protesto faz caralho quatro pra chegar hoje votar dilma	negativo	negativo
toma porra to revoltada pais retardado q vota dilma meoooo	negativo	positivo
dilma pegou pais ja estabilizado sistema pt anos ja pt facil assim nao	positivo	positivo
verdade vamos ver marina outros vao apoiar dilma atacou marina vamos ver agora ne	neutro	neutro
dilma aecio segundo turno voces sao otarios	neutro	positivo
culpa nao dilma vc trouxa ir la protesto falar mal dps votar mesma	negativo	negativo
mae mae petista feio ta querendo cumer mae bua bua so fiinho di papai maie bua bua dilma feia vai ganhar di novo bua bua	negativo	negativo
falou vai votar dilma ancia d vomito	neutro	negativo
acredito q eleitores marina tb vao pra dilma sei la ne	positivo	negativo
muda brasil dilma barbudo safado	neutro	negativo
dilma vai ganhar gente infelizmente	positivo	neutro
muy buena votacion del democrata neves solo dilma supera el dif voto obligatorio vuelve muy incierta la vuelta	positivo	neutro
visto infelizmente vou ter votar dilma segundo turno	negativo	negativo
hrs dilma ganhar pq roubado ganhar apoio mega protesto foradilma likelike share	positivo	negativo
dilma nao menos aecio nao eita povo lerdo	positivo	negativo
dilma jair pedro protesto ja nao ninguem joao paulo rene patriota edilson silva	neutro	positivo
tambem nao recebo bolsa familia deixem votar dilma	neutro	negativo
voces votaram dilma esperando faca algo bom vao ficar esperando porque algo nao fez fara	positivo	neutro
rt so dica dilma cair servidor cai tambem viu concurso so kakakak	neutro	positivo
tbm n leq aecio ganhar acabou pais esperanca porra toda dilma fdp melhor deixar dilma	positivo	positivo
vou votar nulo segundo turno recuso votar dilma aecio	neutro	negativo
povo pra rua protestar meteu pau dilma pra hoje ta ai primeiro lugar povo hipocrita	positivo	negativo
definido dilma aecio votos vao segundo turno	neutro	negativo
alguem conhece alguem algo ganhar eleicao aecio nao gosto dilma nao	neutro	neutro
gente dilma ganhar aecio cu rolaaaaa	positivo	neutro
urnas apuradas dilma rousseff pt aecio neves psdb vao disputar segundo turno eleicoes presidenciais	negativo	negativo
dilma aecio turno ai cu dilma nao pode ganhar galero	negativo	neutro
aecio ganhar ferrou tudo prefiro x tia dilma	neutro	neutro
