Text,Sentiment
dilma rousseff pt aecio neves psdb vao disputar turno,Negative
aaaargh odio desse povo brasileiro faz protesto faz caralho quatro pra chegar hoje votar dilma,Negative
culpa nao dilma vc trouxa ir la protesto falar mal dps votar mesma,Negative
mae mae petista feio ta querendo cumer mae bua bua so fiinho di papai maie bua bua dilma feia vai ganhar di novo bua bua,Negative
falou vai votar dilma ancia d vomito,Negative
acredito q eleitores marina tb vao pra dilma sei la ne,Negative
muda brasil dilma barbudo safado,Negative
visto infelizmente vou ter votar dilma segundo turno,Negative
hrs dilma ganhar pq roubado ganhar apoio mega protesto foradilma likelike share,Negative
dilma nao menos aecio nao eita povo lerdo,Negative
tambem nao recebo bolsa familia deixem votar dilma,Negative
vou votar nulo segundo turno recuso votar dilma aecio,Negative
povo pra rua protestar meteu pau dilma pra hoje ta ai primeiro lugar povo hipocrita,Negative
definido dilma aecio votos vao segundo turno,Negative
urnas apuradas dilma rousseff pt aecio neves psdb vao disputar segundo turno eleicoes presidenciais,Negative
so vendo tml gente vota citando protestos ano passado pra dilma,Negative
nao to acreditando vou ter ter trabalho sair casa pra poder votar dilma aecio,Negative
agora vou ser obrigado votar dilma,Negative
gente aecio dilma nivel problema agora ver menos pior,Negative
dilma poupou aecio turno derrubar marina agora vai enfrentar politico profissional boa,Negative
pau cu destroi metade brasil justica clica porra maquina numero dilma vao fode,Negative
moral anos reclamando falando brasil lixo pra chegar hoje votar dentuca dilma,Negative
voce acha nao poderia ficar pior dilma aecio segundo turno,Negative
vai burro dilma eleita faco video preciso externar raiva q desse povo,Negative
brasileiro povo burro dilma indo pro segundo turno ganhando ainda,Negative
li gente falando tentou votar aecio apareceu dilma tao trovando nao existe democracia agora,Negative
aecio q vencer dilma novo nao,Negative
dilma aecio vao disputar segundo turno,Negative
dilma vai ganhar povo tudo burro nao serve pra votar,Negative
nao sei pior dilma aecio affz ninguem merece,Negative
vcs falando dilma permitiu comprar casa amiga permitiu tanto imposto pessoa morre pagando casa carro acordem,Negative
engracado argumento povo ai vcs ruas ano passado p votar dilma hoje querida presidente nao governa sozinho,Negative
oqq cabeca pessoa p votar dilma pezao,Negative
votou marina vai votar dilma votou namelia vai votar sartori omg,Negative
dilma rousseff aecio neves definidos turno vou pensa votar,Negative
genteeeee to chaaaaao destruido vai ser aecio dilma ne putos,Negative
dilma aecio segundo turno nao sei pior,Negative
dilma aecio vao disputar segundo turno,Negative
tudo pra chegar votar dilma,Negative
