text,sentiment
hegemonismo pt pode levar esquerda ter votar geraldo alckmin segundo turno,Neutral
conversando eleitor inteligente,Positive
a proposito geraldo pedgio presdio alckmin partideco provinciano marginal rio tiete e pior viu,Neutral
fique longe santo nos conhecemos politica merda o psdb vai dar graca pra estrangeiros,Negative
a melhor maneira proteger consumidor cidadaos contribuintes e privatizar tudo nobre presidente faca,Negative
todas telefonia aviacao rodagens,Neutral
ah manovai dormir vai,Neutral
irresponsabilidade tucaninho marginal rio tiete,Negative
o problema e politicos pensam pequeno nao planejamento fazem diferenca nao investem educacao os pesquisadores indo embora falta recursos,Neutral
quqe,Neutral
precisamos e gente pense diferente investir combustiveis fosseis menos poluentes insistem salvar moribunda ativo principal e propina acabararm etanol biodisel veiculos eletricos fala e atrasados mundo,Neutral
escolhida trilha sonora candidatura geraldo alckmin youtubewatchvkvmh xalwfeatureshare,Neutral
uma pessoa q nasce sertao nordestino casa barro meio nada mesmas condicoes q varias outras pessoas nao egoista dinheiro q sustenta tds politicos assessores p tratar todos pobres pais,Negative
e apoiadores geraldo alckmin alckimistas,Neutral
estudei escola publica formei univ particular empresa acho absurdo tanto impostos pago nao preciso governo p nada pg escola p filho pg plano saude pg seguro carros acho q governo deva ajudar q precise,Negative
acho melhor esquerda marxista jair conscientizando mobilizando pra votar logo primeiro turno voto til pra correr risco ajudar bolso ganhar  o digo centro esquerda direita,Neutral
valeu amiguinho,Neutral
eu votarei,Neutral
socorro,Neutral
cala boca bandido cade moro pega,Negative
no desgoverno geraldoalckmin rodoanel sobrepreco r  mi aponta tcu brasilptsp  forapsdb modotucano psdbnuncamais foraalckmin esquerdistasseguemesquerdistas,Negative
e rouboanel a merenda escolar vai explicar,Neutral
sade em primeiro lugar alckmin,Neutral
falou disse populismo e pratica repudiante,Neutral
quem no deve no teme isso a meu candidato,Neutral
o povo quer corte despesas todos cansados plenario custa milhoes todos meses falar salarios beneficios milhonarios deputados senadores,Negative
geraldopresidente,Neutral
quanto estacao aacdservidor prometida para  de junho esqueci geraldo alckmin direcao metro palavra carater,Neutral
consistente,Negative
eles tentam inventar fake news denegrir imagem alckmin,Neutral
falou disse,Neutral
o brasil favor,Neutral
excelente posicionamento presidente,Neutral
parabns geraldo,Neutral
eu quero corte despesas,Neutral
e todo apoio geraldo,Neutral
falou disse presidente,Neutral
alckmin,Neutral
parabens,Neutral
como governo corta despesas mesmos criam vai enxugar gelo brasil cair decadencia politicos quebrarem brasil ai quero ver pais pegar fogo falta verba,Neutral
linda foto,Neutral
forcageraldo,Negative
liberdade define geraldo,Neutral
vamos geraldo alckmin,Neutral
geraldo,Negative
poxa falar falta remedio causa greve e erro fatal problema hospitais e greve sim dinheiro deveria ser usado saude vai bolco politico senadores deputados gastam perdicao brasil,Neutral
