username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
SirK74271006,2018-06-02 22:42,0,0,Hmm...estou sentindo cheiro de Bots para atacar outras pessoas.,,,,1.00308946286221E+018,https://twitter.com/SirK74271006/status/1003089462862204929,,
VerTomazCampos,2018-06-02 22:32,0,0,"Hegemonismo do PT, pode levar a esquerda a ter que votar no Geraldo Alckmin no segundo turno.",,,,1.00308700565016E+018,https://twitter.com/VerTomazCampos/status/1003087005650161664,,
STARTOVERBRAZIL,2018-06-02 22:32,0,0,Conversando com um eleitor inteligente dele!,,,,1.00308687520316E+018,https://twitter.com/STARTOVERBRAZIL/status/1003086875203162112,,
fwm1000,2018-06-02 22:08,0,0,"A propósito, Geraldo PEDÁGIO PRESÍDIO Alckmin, o seu PARTIDECO provinciano da marginal do ""rio"" Tietê é PIOR, viu ?",,,,1.00308083241906E+018,https://twitter.com/fwm1000/status/1003080832419057666,,
euclidesbarbosa,2018-06-02 22:07,0,0,@MichelTemer @LulapeloBrasil @AecioNeves @geraldoalckmin @LFPezao @gilmarmendes @Eunicio @RodrigoMaia @romerojuca @blogdojefferson @gilbertogil @robertocarlos @caetanoveloso @chico_pinheiro @ivetesangalo @ClaudiaLeitte @zcloficial @luansantana @RedeGlobo @showdavida !!! https:// twitter.com/isauradesouza7 /status/1003022385992425472 …,,@MichelTemer @LulapeloBrasil @AecioNeves @geraldoalckmin @LFPezao @gilmarmendes @Eunicio @RodrigoMaia @romerojuca @blogdojefferson @gilbertogil @robertocarlos @caetanoveloso @chico_pinheiro @ivetesangalo @ClaudiaLeitte @zcloficial @luansantana @RedeGlobo @showdavida,,1.00308077376576E+018,https://twitter.com/euclidesbarbosa/status/1003080773765758976,,
entidadefenix,2018-06-02 22:07,0,0,Fique longe dela Santo. Nós conhecemos a sua política. É uma merda!!!! O PSDB vai dar de graça pra estrangeiros.,,,,1.00308075777303E+018,https://twitter.com/entidadefenix/status/1003080757773029376,,
Carlos1FHC,2018-06-02 22:07,0,0,"A melhor maneira de proteger o consumidor e os cidadãos contribuintes é privatizar tudo, nobre presidente! Faça isso por nós!",,,,1.00308068564778E+018,https://twitter.com/Carlos1FHC/status/1003080685647777799,,
Carlos1FHC,2018-06-02 22:04,0,0,"Todas! Telefonia, aviação, rodagens...",,,,1.00308002770823E+018,https://twitter.com/Carlos1FHC/status/1003080027708231680,,
ch81wilson,2018-06-02 22:03,0,0,Ah mano..vai dormir vai,,,,1.00307971686836E+018,https://twitter.com/ch81wilson/status/1003079716868362245,,
fwm1000,2018-06-02 21:58,0,0,"Irresponsabilidade, tucaninho da marginal do ""rio"" Tietê ?",,,,1.00307845570831E+018,https://twitter.com/fwm1000/status/1003078455708307456,,
roverperfeito,2018-06-02 21:51,0,0,"O problema é que vocês politicos pensam pequeno. Não tem planejamento, não fazem a diferença. Não investem em educacão. Os pesquisadores estão indo embora por falta de recursos.",,,,1.00307675784982E+018,https://twitter.com/roverperfeito/status/1003076757849821185,,
globo_cancer_BR,2018-06-02 21:48,0,0,pic.twitter.com/tpqpp8qUqe,,,,1.0030759615151E+018,https://twitter.com/globo_cancer_BR/status/1003075961515102209,,
roverperfeito,2018-06-02 21:47,0,0,"Precisamos é de gente que pense diferente. Investir em combustíveis não fósseis e menos poluentes. insistem em salvar uma moribunda, que o ativo principal é a propina. Acabararm com o etanol, o biodisel. Veículos elétricos nem se fala, é um dos mais atrasados do mundo.",,,,1.00307573813488E+018,https://twitter.com/roverperfeito/status/1003075738134876160,,
_DeFeCe,2018-06-02 21:38,0,0,Escolhida a trilha sonora da candidatura Geraldo Alckmin ... https://www. youtube.com/watch?v=KV38MH X4ALw&feature=share …,,,,1.00307347365107E+018,https://twitter.com/_DeFeCe/status/1003073473651068928,,
