text	sentiment
hegemonismo pt pode levar esquerda ter votar geraldo alckmin segundo turno	['negativo']
conversando eleitor inteligente	['neutro']
a proposito geraldo pedgio presdio alckmin partideco provinciano marginal rio tiete e pior viu	['positivo']
fique longe santo nos conhecemos politica merda o psdb vai dar graca pra estrangeiros	['neutro']
a melhor maneira proteger consumidor cidadaos contribuintes e privatizar tudo nobre presidente faca	['neutro']
todas telefonia aviacao rodagens	['negativo']
ah manovai dormir vai	['negativo']
irresponsabilidade tucaninho marginal rio tiete	['neutro']
o problema e politicos pensam pequeno nao planejamento fazem diferenca nao investem educacao os pesquisadores indo embora falta recursos	['neutro']
quqe	['negativo']
precisamos e gente pense diferente investir combustiveis fosseis menos poluentes insistem salvar moribunda ativo principal e propina acabararm etanol biodisel veiculos eletricos fala e atrasados mundo	['neutro']
escolhida trilha sonora candidatura geraldo alckmin youtubewatchvkvmh xalwfeatureshare	['neutro']
uma pessoa q nasce sertao nordestino casa barro meio nada mesmas condicoes q varias outras pessoas nao egoista dinheiro q sustenta tds politicos assessores p tratar todos pobres pais	['neutro']
e apoiadores geraldo alckmin alckimistas	['neutro']
estudei escola publica formei univ particular empresa acho absurdo tanto impostos pago nao preciso governo p nada pg escola p filho pg plano saude pg seguro carros acho q governo deva ajudar q precise	['negativo']
acho melhor esquerda marxista jair conscientizando mobilizando pra votar logo primeiro turno voto til pra correr risco ajudar bolso ganhar  o digo centro esquerda direita	['neutro']
valeu amiguinho	['negativo']
eu votarei	['neutro']
socorro	['neutro']
cala boca bandido cade moro pega	['neutro']
no desgoverno geraldoalckmin rodoanel sobrepreco r  mi aponta tcu brasilptsp  forapsdb modotucano psdbnuncamais foraalckmin esquerdistasseguemesquerdistas	['neutro']
e rouboanel a merenda escolar vai explicar	['negativo']
sade em primeiro lugar alckmin	['negativo']
falou disse populismo e pratica repudiante	['neutro']
quem no deve no teme isso a meu candidato	['neutro']
o povo quer corte despesas todos cansados plenario custa milhoes todos meses falar salarios beneficios milhonarios deputados senadores	['neutro']
geraldopresidente	['neutro']
quanto estacao aacdservidor prometida para  de junho esqueci geraldo alckmin direcao metro palavra carater	['negativo']
consistente	['neutro']
eles tentam inventar fake news denegrir imagem alckmin	['neutro']
falou disse	['negativo']
o brasil favor	['neutro']
excelente posicionamento presidente	['neutro']
parabns geraldo	['neutro']
eu quero corte despesas	['neutro']
e todo apoio geraldo	['neutro']
falou disse presidente	['neutro']
alckmin	['neutro']
parabens	['neutro']
como governo corta despesas mesmos criam vai enxugar gelo brasil cair decadencia politicos quebrarem brasil ai quero ver pais pegar fogo falta verba	['neutro']
linda foto	['neutro']
forcageraldo	['neutro']
liberdade define geraldo	['neutro']
vamos geraldo alckmin	['negativo']
geraldo	['neutro']
poxa falar falta remedio causa greve e erro fatal problema hospitais e greve sim dinheiro deveria ser usado saude vai bolco politico senadores deputados gastam perdicao brasil	['neutro']
todos batem pesado olha afif sobre alckmin voce e docinho coco enjoei temeroiluminado	['negativo']
o e cara pau sugerir aumento impostos estes politicos vergonha twitterspitfireansta tus	['neutro']
tem razao geraldo alckmin	['neutro']
vai dar geraldo	['negativo']
falou disse geraldopresidente	['neutro']
vai ganhar pois e preparado	['negativo']
tenho certeza tudo passa fofoca espalhada pessoas querem destruir imagem alckmin	['neutro']
geraldoalckmin	['negativo']
parabens excelente trabalho pm sp	['neutro']
falou disse geraldopresidente	['neutro']
so pode ser piada ver senhor falar gracas deus nao chance ganhar isso sim tranquiliza	['neutro']
raquel dodge pede gilmar envie inquerito serra justica sp eu explico porque o procuradorgeral gianpaolo smanio analisa casos nomeado tucano geraldo alckmin foi engavetou caso alckmin inclusive	['negativo']
eu apoio geraldo alckmin euapoiogeraldoalckminbr	['neutro']
vc twita celular preco acessivel porque teles firam privatizadas	['neutro']
o cara ta aqui internet usando celular computador programa gratuito criticando privatizacao brincadeira	['neutro']
dou risada desses fakes merda sabem pensar acham pobre deve pedir esmola depender governo estudei escola publica formei universidade publica fiz mestrado universidade publica publiquei universidade europeia sem cota esforco merito	['negativo']
divida  bilhoes adiantou lucro nnpzysh	['neutro']
quahgsq	['positivo']
pq privatizar qr	['neutro']
junto do povo geraldopresidente	['neutro']
conhecimento	['neutro']
falou e disse geraldo	['neutro']
linda atitude	['neutro']
falou disse	['negativo']
alckmin presidente	['neutro']
para tornar endividada falei nao aditivo ganhar e gastar 	['negativo']
geraldo presidente	['neutro']
k	['neutro']
presidente senador	['neutro']
entao reveja posicao sobre mexer politica precos petrobras qualquer coisa diferente livre mercado	['neutro']
meu voto geraldo alckmin	['neutro']
linda homenagem	['neutro']
parabens presidente	['neutro']
virou pt	['negativo']
ja ganhou geraldopresidente	['neutro']
parabens geraldo futuro presidente	['neutro']
