username	date	retweets	favorites	text	geo	mentions	hashtags	id	permalink	Unnamed: 10	Unnamed: 11
SirK74271006	2018-06-02 22:42	0	0	hmmsentindo cheiro bots atacar outras pessoas				1.00308946286221E+018	https://twitter.com/SirK74271006/status/1003089462862204929		
VerTomazCampos	2018-06-02 22:32	0	0	hegemonismo pt pode levar esquerda ter votar geraldo alckmin segundo turno				1.00308700565016E+018	https://twitter.com/VerTomazCampos/status/1003087005650161664		
STARTOVERBRAZIL	2018-06-02 22:32	0	0	conversando eleitor inteligente				1.00308687520316E+018	https://twitter.com/STARTOVERBRAZIL/status/1003086875203162112		
fwm1000	2018-06-02 22:08	0	0	a propsito geraldo pedgio presdio alckmin partideco provinciano marginal rio tiet pior viu				1.00308083241906E+018	https://twitter.com/fwm1000/status/1003080832419057666		
euclidesbarbosa	2018-06-02 22:07	0	0	twitterisauradesouza7 status1003022385992425472		@MichelTemer @LulapeloBrasil @AecioNeves @geraldoalckmin @LFPezao @gilmarmendes @Eunicio @RodrigoMaia @romerojuca @blogdojefferson @gilbertogil @robertocarlos @caetanoveloso @chico_pinheiro @ivetesangalo @ClaudiaLeitte @zcloficial @luansantana @RedeGlobo @showdavida		1.00308077376576E+018	https://twitter.com/euclidesbarbosa/status/1003080773765758976		
entidadefenix	2018-06-02 22:07	0	0	fique longe santo ns conhecemos poltica merda o psdb vai dar grapra estrangeiros				1.00308075777303E+018	https://twitter.com/entidadefenix/status/1003080757773029376		
Carlos1FHC	2018-06-02 22:07	0	0	a melhor maneira proteger consumidor cidadcontribuintes privatizar tudo nobre presidente fans				1.00308068564778E+018	https://twitter.com/Carlos1FHC/status/1003080685647777799		
Carlos1FHC	2018-06-02 22:04	0	0	todas telefonia avia rodagens				1.00308002770823E+018	https://twitter.com/Carlos1FHC/status/1003080027708231680		
ch81wilson	2018-06-02 22:03	0	0	ah manovai dormir vai				1.00307971686836E+018	https://twitter.com/ch81wilson/status/1003079716868362245		
fwm1000	2018-06-02 21:58	0	0	irresponsabilidade tucaninho marginal rio tiet				1.00307845570831E+018	https://twitter.com/fwm1000/status/1003078455708307456		
roverperfeito	2018-06-02 21:51	0	0	o problema vocs politicos pensam pequeno nplanejamento nfazem diferen ninvestem educac os pesquisadores estindo embora falta recursos				1.00307675784982E+018	https://twitter.com/roverperfeito/status/1003076757849821185		
globo_cancer_BR	2018-06-02 21:48	0	0	8quqe				1.0030759615151E+018	https://twitter.com/globo_cancer_BR/status/1003075961515102209		
roverperfeito	2018-06-02 21:47	0	0	precisamos gente pense diferente investir combustveis nfsseis menos poluentes insistem salvar moribunda ativo principal propina acabararm etanol biodisel veculos eltricos fala atrasados mundo				1.00307573813488E+018	https://twitter.com/roverperfeito/status/1003075738134876160		
_DeFeCe	2018-06-02 21:38	0	0	escolhida trilha sonora candidatura geraldo alckmin youtubewatchvkv38mh x4alwfeatureshare				1.00307347365107E+018	https://twitter.com/_DeFeCe/status/1003073473651068928		
Fer__Martin	2018-06-02 21:34	0	0	uma pessoa q nasce sertnordestino casa barro meio nada nmesmas condies q vrias outras pessoas negosta dinheiro q sustenta tds polticos assessores p tratar todos pobres pas				1.00307250063969E+018	https://twitter.com/Fer__Martin/status/1003072500639690752		
andrecatapan	2018-06-02 21:33	0	1	e apoiadores geraldo alckmin alckimistas				1.00307220684124E+018	https://twitter.com/andrecatapan/status/1003072206841237510		
Fer__Martin	2018-06-02 21:30	0	0	estudei escola pblica formei univ particular empresa acho absurdo tanto impostos pago npreciso governo p nada pg escola p filho pg plano sade pg seguro carros acho q governo ndeva ajudar q precise				1.00307130311977E+018	https://twitter.com/Fer__Martin/status/1003071303119769600		
vanessastellzer	2018-06-02 21:25	0	0	acho melhor esquerda marxista jair conscientizando mobilizando pra votar logo primeiro turno voto til pra ncorrer risco ajudar bolso ganhar 1 o digo centro esquerda direita		@geraldoalckmin		1.00307010175366E+018	https://twitter.com/vanessastellzer/status/1003070101753655297		
Florsertanja	2018-06-02 21:18	0	1	valeu amiguinho				1.00306838674879E+018	https://twitter.com/Florsertanja/status/1003068386748792832		
Ihamma_1	2018-06-02 21:14	0	1	eu j votarei		@geraldoalckmin		1.00306742899209E+018	https://twitter.com/Ihamma_1/status/1003067428992094208		
thepatricao	2018-06-02 21:13	2	3	socorro		@ANAMARIABRAGA @LucianoHuck @anaamelialemos @josemaranhaopb @RaimundoLiraPB @jairbolsonaro @joaoamoedonovo @geraldoalckmin @RodrigoMaia @lobaoeletrico @Collor @gen_paulosergio @janderson_evans @protesteoficial @mvortopedia @Florsertanja @PBiaL @GloboNews @rejanevalones	#SOCORRO	1.00306723120132E+018	https://twitter.com/thepatricao/status/1003067231201320960		
AnaKaouri	2018-06-02 21:08	0	0	cala boca bandido cad moro npega				1.00306582071135E+018	https://twitter.com/AnaKaouri/status/1003065820711354369		
hugobbezerra	2018-06-02 21:04	0	0	no desgoverno geraldoalckmin rodoanel sobreprer 55 mi aponta tcu brasil247pt247sp2473 56864 forapsdb modotucano psdbnuncamais foraalckmin esquerdistasseguemesquerdistas			#GeraldoAlckmin #ForaPSDB #ModoTucano #PSDBnuncaMais #ForaAlckmin #EsquerdistasSeguemEsquerdistas	1.00306485194885E+018	https://twitter.com/hugobbezerra/status/1003064851948851201		
