username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bruno_acciona;2018-06-02 22:35;0;0;"Olha, todos os paises da OCDE tributam lucros e dividendos MENOS o Brasil, e os EUA tributam até 40% de heranças e doações. Considera os EUA comunistas tb? A questão é que o no Brasil rico nao paga nada e pobre tudo. O @cirogomes quer te ajudar, Jovem Iletrado.";;@cirogomes;;"1003087672720568320";https://twitter.com/bruno_acciona/status/1003087672720568320
eltonbrunobp;2018-06-02 22:34;0;0;"Gente, tem artista "sem noção" apoiando #CiroGomes para presidente da República. Povo sem memória. É grave, #Brasil .";;;#CiroGomes #Brasil;"1003087620329693186";https://twitter.com/eltonbrunobp/status/1003087620329693186
AriSirius;2018-06-02 22:34;0;1;"Nem tem voto . Bonita é mesmo, tanto que os machistas da Odebrecht a chamavam de Avião";;;;"1003087457380859905";https://twitter.com/AriSirius/status/1003087457380859905
FaleiPraEsseKra;2018-06-02 22:32;0;0;"Também vai pagar a dívida em reais... Populismos puro... O Brasil precisa se Modernizar, reformar todas as políticas.";;;;"1003086931415175170";https://twitter.com/FaleiPraEsseKra/status/1003086931415175170
edersonjseder;2018-06-02 22:32;0;0;"Detalhe: todos os partidos de esquerda apóiam essa organização, alguns fazem parte dela: PT, PCB, PCdoB, PSB, PDT. Todos os candidatos de esquerda apóiam essa organização, alguns fazem parte dela: Manuela D'avila, Boulos e Ciro Gomes . Alguém quer ver o Brasil virar Venezuela?";;;;"1003086886787829760";https://twitter.com/edersonjseder/status/1003086886787829760
kahdiass;2018-06-02 22:32;0;0;"Muito boa a entrevista com o Ciro Gomes no Roda Viva. Assisti pelo canal do youtube. Achei ele muito firme e coerente nas respostas.Vou tentar assistir todas as entrevistas com os pré-candidatos à Presidência da República.";;;;"1003086876838891520";https://twitter.com/kahdiass/status/1003086876838891520
Jomendes20;2018-06-02 22:31;0;1;"Ela e Boulos juntos não chegam a 1% e nem todo petista votaria em Ciro Gomes , alguns deles detestam Ciro Gomes . A esquerda tá perdida e nós muito felizes por isso!";;;;"1003086798455746560";https://twitter.com/Jomendes20/status/1003086798455746560
PitoNonato;2018-06-02 22:31;0;0;"@cirogomes Ciro Gomes é pro aborto, deixou isto Claro no programa Roda Viva! Egoísta , Safado, tenha vergonha, negociando voto pelo sangue dos inocentes!";;@cirogomes;;"1003086633154080768";https://twitter.com/PitoNonato/status/1003086633154080768
1957fm;2018-06-02 22:30;0;1;"Voto Ciro. Só tem ele para governar o país.";;;;"1003086365205123072";https://twitter.com/1957fm/status/1003086365205123072
marciocoffe;2018-06-02 22:28;0;0;"O sr. esqueceu de informar que a Venezuela não possui uma economia tão diversificada como a do Brasil, com todos os problemas dos quais sabemos. Olha senador, faça umas aulas com @cirogomes sobre os impactos dos juros da dívida pública brasileira no orçamento brasileiro. Que tal?";;@cirogomes;;"1003086094965960704";https://twitter.com/marciocoffe/status/1003086094965960704
