"","text","comment_id","sentiment"
"1","se n nenhuma vergonha ser pobre n e motivo p vergonha ser soberbo achar melhor q outro e",1,-1
"2","justica trabalho porque e proibido lei no e falsa pauta esquerda manipular idiotas",3,1
"3","bolsonaro e inevitavel melhor jair acostumando",5,1
"4","programa dedicado",9,1
"5","nao vc votar",10,-1
"6","eu votaria mais ai igual todos",12,0
"7","esperando mito manifestar sobre economia pq entao aborta falhas gestoes anteriores bom motivo spring bolsonaro",13,1
"8","a deve milhoes milhoes receita se ganhar outras estarao ferradas ele aceita propina o desespero batendo forte cofres por todo domingo discurso",15,1
"9","lula bom jair acostumando twitterfolhastatus ",17,1
"10","esses fdp vao tudo tomar rabo pois jair bolsonaro e novo presidente republica brasil duvida nenhuma disso",18,-1
"11","simples assim",19,0
"12","legal ainda provar",21,1
"13","nao preciso ficar listando empresa faz converse pessoas rua olhe pesquisas empatia e bom nao precisa ficar discursos prontos internet mostra ai",22,1
"14","nao preciso ficar listando empresa faz converse pessoas rua olhe pesquisas empatia e bom nao precisa ficar discursos prontos internet mostra ai",23,1
"15","se cara vencer eleicoes voto nunca",24,-1
"16","fica firme boraaa",25,1
"17","ninguem e seguidor cego bolsonaro aquiveja video onde e feita pergunta bolsonaro sobre mulher receber menos homem diz msm qd mulher engravida no deve receber menos procure informar",34,0
"18","dupla forte",41,1
"19","gosta passar vergonha artista decadente e assim melhor ja ir acostumando twittergutbyrastatus ",42,0
"20","sim voto ninguem pq acostumado migalhas cachorro lamber sobras caem boca donos sou pessoa tao dotada capacidade pensar discernir qto vc diferenca e q faco questao agir tal vc",44,0
"21","meu voto definido ainda o discurso jair bolsonaro e bastante agressivo q imprensa tendenciosos relacao por favor atenham noticias deixem pessoas tirarem conclusoes voces medo q",45,-1
"22","muito subjetivo ja acusar alguem estuprador fez defensora bandidos e crime mas justica seletiva aparelhada importa alias unico goza prerrogativa imunidade parlamentar parece ser bolsonaro esquerdalha pode cuspir nele",49,0
"23","dei fontes vc iniciar pesquisa ampla respeito politica pais vc preocupado conheco vc e ainda usa tal conhecimento atacar realmente vc e superficial raso tb ignorante",50,0
"24","em devo votar  jair bolsonaro youtubewatchvrmf ijris youtubewatchvrmf ijris",51,-1
"25","tudo ainda e especulativo bolsonaro veio formacao estatizante mostrou nitidamente ineficaz agora defende livre iniciativa estado minimo fiscalizador sera passo cada vez",52,-1
"26","bolsonaro esqueceu psdb governa quase  decadas sao paulo",53,1
"27","os artistas querem lula livre pra continuar roubando lula e robin woods artistas",57,0
"28","atitude louvavel tentou combater merda viria durante anos seguintes a realidade ai",59,1
"29","sao tao covardes policia chegou cessaram ato",67,1
"30","mas ai no final video diz eu no empregaria com o mesmo salrio no final refere terceiros se e relevante vai cada youtuberstrfagjqyy",72,1
"31","chamando intervencionista infiltrados desmentindo paralizacao caminhoneiros",73,0
"32","moderado e cassete nesse pais ser exatamente e forca capitao bolsonaropresidente",76,1
"33","responda onde tirou lula tirou  milhoes miseria ajudou pobre vida quem contou metira dessas",77,-1
"34","mas ai no final video diz eu no empregaria com o mesmo salrio se e relevante vai cada youtuberstrfagjqyy",78,1
"35","a foice sao paulo lixo jornal cansa passar vergonha aqui interior ba hoje  pessoas todos clientes   querem votar eleitor dedos  sabem votar querem votar honesto n conhecem bolsonaro",84,-1
"36","nao queremos moderado queremos radical twitterfolhastatus ",86,1
"37","meus pais diziam fazer algo errado pois ficava esquerdo era e verdade vao negar",87,-2
"38","mr processada o ruim e vc aceitar lider cometeu crime",90,-1
"39","a incrivel recepcao jair bolsonaro bahia bolsonaropresidente youtubewatchvfauegi leqlg",92,1
"40","programa faustao ta batendo pena candidatura bolsonaro e ruim pra globo entao e bom pro povo",94,0
"41","perguntinha basica quando vao expulsar aecio",95,-2
"42","mas e fanfarrao p bandido estimacao vai morar cadeia junto aliados diversos partidos presidente republica primeiro turno",97,-2
"43","sabe vou votar bolsonaro porque defende maioria brasileiros pensam querem xjkgols",100,-1
"44","sabe vou votar bolsonaro porque defende maioria brasileiros pensam querem xjkgols",101,-1
"45","nazista e",108,-1
"46","esses muculmanos q chanceler deixou entrar brasil ser todo instante abordados pm gm se armado leva preso padre esfaqueado belem pq repreendendo assedio mulheres youtubefrhwcc",112,-1
"47","esse imbecil boksonaro falou merda ouvi nao precisou deturpar deturpa sozinho",113,-2
"48","preocupado perder votos eleitores menor renda presidenciavel jair bolsonaro prepara carta principios comprometera manter bolsa familia osulbrpreocupado naoperdervotoseleitoresmenorrendapresidenciaveljairbolsonaropreparacartaprincipioscomprometeramanterbolsafamilia bolsafamilia eleicoes jairbolsonaro pesquisas preocupacao dxeogr",114,-1
"49","complicado ainda acontece alguem familia proximo",117,-1
"50","bresil lula en tete des intentions vote avec  des intentions selon le sondage linstitut vox populi publie le  mai suivent jair bolsonaro parti social liberal avec  des iv marina silva parti rede avec  des intentions vote telesurtvnetnewslulalide raintencionvotospresidenciabrasilhtml",119,0
"51","com diretas patetico estao querendo induzir telespectador votar nele nao adianta fechado mito",120,-3
"52","simtrabalho area seguranca fico pouco revoltado isso",121,-1
"53","fato e generais enfiaram brasil divida externa excomunal lula pagou ainda emprestou dinheiro fmi cala boca bolsonaro e burro bravata",122,-1
"54","queria ver faixa acriancamilitarexiste ja estaria preso k",123,-1
"55","que tranquilo e colocarmos candidatos x candidatos podemos escrever livro bizarrices questao seguranca precisa mudar populacao e refem",125,4
"56","na capital vitoria es escola partido vai entrar pauta camara municipal seculodiariobrprojet escolapartidopoderairvotacaocamaravitoriaproximomes",132,-1
"57","tem preocupado sim chama",135,0
"58","para slogan bom mas questao e combinar candidato",139,1
"59","se colocar app vai ver procede acompanho direto faca",142,0
"60","qualquer candidato sa consciencia sabe da pra acabar vez nao vejo problema nisso menos mostrou flexivel",143,1
"61","faustao diz adianta votar salvador patria clara referencia mas gente votar nele sobra ciro alvaro marina a altura campeonato elegendo candidato honesto estaremos lucro bolsonaro",157,-1
"62","novamente atacando ne masoquequeeisso por tabela querendo atacar tao previsiveis nao vao conseguir manchar nome ffaa aco",158,-1
"63","retweeted marksenkdvlb paulo guedes possivel ministro fazenda precandidato jair bolsonaro declarou entrevista eu nada falar alckmin o alckmin e irrelevante eu acho facebookdermevposts ",162,-1
"64","isaac mostrando ser candidato populista oportunistas se deseja realmente continuarmos reformas agenda ponderada privatizacoes correto e votar meirelles deixe lado populistas vamos unir brasil",164,-1
"65","jair bolsonaro vira participar sao joao patos recebido dinaldinho diz jornalista dlvritqwjfd",168,1
"66","ta bom  moradias luxo voce sp significam patrao",170,1
"67","jair bolsonaro acostumando lixo grupo globo colocandolugar apropriado sinta realmente e twittergaviaoxsta tus",171,1
"68","jair bolsonaro vira participar sao joao patos recebido dinaldinho diz jornalista dlvritqwjb jnvlx",172,1
"69","bha diz ai livrou brasileiros famigerado fmi",175,0
"70","bha diz ai livrou brasileiros famigerado fmi",176,0
"71","bolsonaro e socialista verde oliva sempre votou pt aumento proprio salario e favor proprios privilegios maioria projetos sao inuteisnacionalista e incompetente aprovou  projetos toda vida parlamentar twittergruinavalltst atus",177,0
"72","mas ai no final video programa luciana diz eu no empregaria com o mesmo salrio se e relevante vai cada",181,1
"73","sabe vou votar a grande midia atacando toda hora entao caminho certo",182,0
"74","vc acabou dar motivo votar obrigado",183,-2
