Text,Sentiment
se n nenhuma vergonha ser pobre n e motivo p vergonha ser soberbo achar melhor q outro e,Negative
nao vc votar,Negative
esses fdp vao tudo tomar rabo pois jair bolsonaro e novo presidente republica brasil duvida nenhuma disso,Negative
se cara vencer eleicoes voto nunca,Negative
meu voto definido ainda o discurso jair bolsonaro e bastante agressivo q imprensa tendenciosos relacao por favor atenham noticias deixem pessoas tirarem conclusoes voces medo q,Negative
em devo votar  jair bolsonaro youtubewatchvrmf ijris youtubewatchvrmf ijris,Negative
tudo ainda e especulativo bolsonaro veio formacao estatizante mostrou nitidamente ineficaz agora defende livre iniciativa estado minimo fiscalizador sera passo cada vez,Negative
responda onde tirou lula tirou  milhoes miseria ajudou pobre vida quem contou metira dessas,Negative
a foice sao paulo lixo jornal cansa passar vergonha aqui interior ba hoje  pessoas todos clientes   querem votar eleitor dedos  sabem votar querem votar honesto n conhecem bolsonaro,Negative
meus pais diziam fazer algo errado pois ficava esquerdo era e verdade vao negar,Negative
mr processada o ruim e vc aceitar lider cometeu crime,Negative
perguntinha basica quando vao expulsar aecio,Negative
mas e fanfarrao p bandido estimacao vai morar cadeia junto aliados diversos partidos presidente republica primeiro turno,Negative
sabe vou votar bolsonaro porque defende maioria brasileiros pensam querem xjkgols,Negative
sabe vou votar bolsonaro porque defende maioria brasileiros pensam querem xjkgols,Negative
nazista e,Negative
esses muculmanos q chanceler deixou entrar brasil ser todo instante abordados pm gm se armado leva preso padre esfaqueado belem pq repreendendo assedio mulheres youtubefrhwcc,Negative
esse imbecil boksonaro falou merda ouvi nao precisou deturpar deturpa sozinho,Negative
preocupado perder votos eleitores menor renda presidenciavel jair bolsonaro prepara carta principios comprometera manter bolsa familia osulbrpreocupado naoperdervotoseleitoresmenorrendapresidenciaveljairbolsonaropreparacartaprincipioscomprometeramanterbolsafamilia bolsafamilia eleicoes jairbolsonaro pesquisas preocupacao dxeogr,Negative
complicado ainda acontece alguem familia proximo,Negative
com diretas patetico estao querendo induzir telespectador votar nele nao adianta fechado mito,Negative
simtrabalho area seguranca fico pouco revoltado isso,Negative
fato e generais enfiaram brasil divida externa excomunal lula pagou ainda emprestou dinheiro fmi cala boca bolsonaro e burro bravata,Negative
queria ver faixa acriancamilitarexiste ja estaria preso k,Negative
na capital vitoria es escola partido vai entrar pauta camara municipal seculodiariobrprojet escolapartidopoderairvotacaocamaravitoriaproximomes,Negative
faustao diz adianta votar salvador patria clara referencia mas gente votar nele sobra ciro alvaro marina a altura campeonato elegendo candidato honesto estaremos lucro bolsonaro,Negative
novamente atacando ne masoquequeeisso por tabela querendo atacar tao previsiveis nao vao conseguir manchar nome ffaa aco,Negative
retweeted marksenkdvlb paulo guedes possivel ministro fazenda precandidato jair bolsonaro declarou entrevista eu nada falar alckmin o alckmin e irrelevante eu acho facebookdermevposts ,Negative
isaac mostrando ser candidato populista oportunistas se deseja realmente continuarmos reformas agenda ponderada privatizacoes correto e votar meirelles deixe lado populistas vamos unir brasil,Negative
vc acabou dar motivo votar obrigado,Negative
safi vamos votar mito tudo resolvera acho alem politico e magico ne zero projetos solucionara tudo espero tia bem,Negative
comeco achar esquerda iria preferir im nesse momento ter arriscar perder jair bolsonaro voto tudo tumultuar eleicoes vez implementar vitimismo gritar e gopi,Negative
do jeito midia e bolsonaro vencer eleicoes vai dizer intervencao militar,Negative
diante desse lixo pais pt deixou aumenta vontade eleito primeiro turno obrigado informar tem manter viu twitterfolhastatus ,Negative
obrigado noblat duvidas sobre voto ver comunista nivel lixo falar tanto farei campanha graca obrigado twitterblogdonoblats tatus,Negative
vem aq agredir otario quero ensinar q mulher pode fazer cara vc otario bolsonaro sim orgulho,Negative
todos pre candidatos agora plano governo quais metas vao melhorar pais,Negative
isso mesmo corrupo traz mortes assassinatos silenciosos por omisso de serviosatendimentos corrupo genocdio sim meio milho morreram silenciosamente decorrente dessa corrupo genocida assassinos,Negative
dingdong faustao globolixo vaitomarnocuglobo ou lelo entra ai cara seja homem sustente fala boila pode pegar tela telefone covarde so poderia ser defensor tv bobo perigo cerebro jbh,Negative
