Text,Sentiment,free
voces idolatrando aecio minimo nao sabem nada sobre governo so vao status odiar dilma parabens galera,Neutral,Negative
coisa nordestino votar dilma so causa bolsa familia mentira aqui trabalhador gentr q acorda cedo pra trabalha,Neutral,Neutral
verdade vamos ver marina outros vao apoiar dilma atacou marina vamos ver agora ne,Neutral,Positive
dilma vai ganhar gente infelizmente,Neutral,Neutral
muy buena votacion del democrata neves solo dilma supera el dif voto obligatorio vuelve muy incierta la vuelta,Neutral,Neutral
voces votaram dilma esperando faca algo bom vao ficar esperando porque algo nao fez fara,Neutral,Negative
alguem conhece alguem algo ganhar eleicao aecio nao gosto dilma nao,Neutral,Negative
gente dilma ganhar aecio cu rolaaaaa,Neutral,Neutral
dilma aecio turno ai cu dilma nao pode ganhar galero,Neutral,Neutral
aecio ganhar ferrou tudo prefiro x tia dilma,Neutral,Negative
tambem ja viu escolas alguns lugares sao enfim ta sacanagem votar dilma,Neutral,Neutral
chupaaaa dilma trouxa aecio vai ganhar uhull,Neutral,Neutral
aecio ganhar ate marina serve dilma filha capeta naooooo,Neutral,Neutral
en un resultado inesperado dilma y aecio neves van segunda vuelta en brasil,Neutral,Neutral
governo dilma passou longe perfeito outros candidatos poderia ser menos pior nao acha,Neutral,Negative
sei la vcs nao acha estranho dilma ajudar paises comunistas,Neutral,Neutral
aecio ganhar porra vcs votarem dilma brasil vai continuar msm n adianta reclamar,Neutral,Negative
nao sei eh pior aecio dilma brasil excelente candidatos d smp p smp,Neutral,Neutral
aecio q ganhar anos dilma deus meee livre,Neutral,Neutral
serio gente mineira to falando dilma aecio fiquem dilma,Neutral,Neutral
dilma nao pode ganhar serio,Neutral,Neutral
prefiro marina aecio tbm parece ser pior dilma agr pqp votou dilma q tomar n cu bonito desculpaaemae,Neutral,Negative
votou agora luciana pra apoiar sabia ia ter segundo turno vai votar dilma,Neutral,Negative
contar q governo dilma deixou inflacao completamente abalada ainda age normal,Neutral,Neutral
acho q ate bom aecio ganhar vcs perceberem q dilma n ruim comparado outros anos p vcs perceberem tudo,Neutral,Neutral
serio dilma vai ganhar bosta novo to acompanhando eleicoes merda,Neutral,Neutral
serio alguem ficou surpreso dilma aecio segundo turno,Neutral,Neutral
confirmado dilma aecio vao pro segundo turno diferenca ridicula otimo,Neutral,Negative
la campaanti dilma fue bestial aprovecharon grandes escenarios ir en su contra,Neutral,Neutral
vai social vota dilma vai lado economico aecio,Neutral,Neutral
acha certo votar dilma fdp,Neutral,Negative
pessoas votaram marina falando mal votaram dilma mesma coisa sujo falando mal lavado,Neutral,Neutral
dilma partido malandro pode ate ganhar maioria congresso sentindo aliviada,Neutral,Neutral
nao acredito dilma vai ganhar,Neutral,Neutral
vamos ser realistas ne mores dilma vai ganhar pq infelizmente maioria vota nela,Neutral,Neutral
tanto faz ganhar dilma aecio so espero facam alguma coisa melhore brasil servicos publicos,Neutral,Neutral
entao gente tchau segundo turno aecio dilma confirmados pode deitar chao chorar ja,Neutral,Neutral
quantos estados existem brasil ne so causa nordeste dilma vai ganhar perder nao querido,Neutral,Neutral
porra nao acredito dilma vai ganhar novo,Neutral,Neutral
amor deus tarso dilma precisam ganhar senao certeza q pai troco,Neutral,Neutral
globo news afirma marina sao paulo segundo turno nao irao dilma petistas estao falando vou contestar,Neutral,Neutral
vei dilma ganhar brasil ta fudido,Neutral,Neutral
erro ibope comprado ontem dilma hoje ontem aecio hoje ontem marina hoje ontem veiga hoje,Neutral,Neutral
dilma marina ainda alguma chance marina ganhar vai ser aecio dilma,Neutral,Negative
to vendo ja dilma vai ganhar sa bosta,Neutral,Neutral
der dilma novo mudo p egito,Neutral,Neutral
votei marina infelizmente dilma vai ganhar fizeram tanto protesto pra nada,Neutral,Negative
caramba dilma nao pode ganhar vez,Neutral,Neutral
dilma aecio boa sensacao ganhar prazo,Neutral,Neutral
so come muita merda pra preferir aecio dilma,Neutral,Negative
aecio dilma segundo turno serio,Neutral,Neutral
pfvr vao falando varios motivos pq dilma melhor aecio pq to dando menina nao acredita mim,Neutral,Negative
dilma aecio serio serio,Neutral,Neutral
nao curto dilma nao sei pq tbm dizer nao fez nada mano ai tbm eh demais ne,Neutral,Negative
chance tinhamos alguem diferente poder ficou resumindo dilma arrematara votos nordeste sera reeleitapalpite,Neutral,Neutral
dilma ganhar mato muie sata,Neutral,Neutral
dilma aecio segundo turno nada obvio,Neutral,Neutral
sim acho fim,Neutral,Negative
uns casos fortaleza urna tava problema ashuhusahusa tava indo direto pro numero dilma oh putaria,Neutral,Neutral
deploravel regiao onde analfabetos dependentes bolsa familia responsavel levar dilma,Neutral,Neutral
dilma vai ganhar nao,Neutral,Neutral
dilma ganhar nunca acredito nesses protestos brasil inteiro tava fazendo,Neutral,Negative
podia ser pior podia ter dado dilma marina segundo turno estariamos correndo serio risco pais governado malafaia,Neutral,Neutral
dilma aecio vao disputar segundo turno siga vivo globophcpsy eleicoesglobonews,Neutral,Positive
aecio ganhar dilma segundo turno fujo desse pais,Neutral,Neutral
visto idiotas brasil incluo fizeram burrada dnv caralha dilma vai ganhar aecio,Neutral,Neutral
menos conforta saber segundo turno dilma nao ira ganhar porque acredito assim,Neutral,Neutral
dilma ganhar preparem pro inferno,Neutral,Neutral
vou arrumar adesivo vou passar frente daqueles filho puta ficam fazendo campanha pra dilma frente catedral,Neutral,Neutral
nao entendo logica povo brasileiro protestaram ate nao poder hoje votaram dilma sera gigante acordou,Neutral,Negative
dilma ganhar dnv brasil vai dever cartaz protesto,Neutral,Neutral
ai povo faz tudo pra final votar dilma brasileiro merece sofrer,Neutral,Negative
sim dilma aecio marina ja dilma agora acho luciana otima vdd socialismo mt radical,Neutral,Neutral
pede mudanca fala q gigante acordou porem vota dilma,Neutral,Neutral
dilma precisa ganhar porra,Neutral,Neutral
odeio dilma odeio aecio dois melhor deixar merda instavel jeito ta ha anos,Neutral,Neutral
quero ver rolar debate aecio vai destruir dilma,Neutral,Neutral
gigante acordou votou dilma voltou dormir agora anos preparando malas paris to chegando,Neutral,Neutral
gnt nao queira dilma vai ganhar aceitem doi menos,Neutral,Neutral
sinceramente dilma aecio vo vota dilma qualquer dois ganhar vai mesma merda,Neutral,Negative
engracado vc veio falar nordeste causa dilma mente tao pequena tao futil parece q nao sabe,Neutral,Neutral
dilma vai ganhar obaaaa ja sabia podem chamar qualquer coisa dilma,Neutral,Neutral
sei melhor vc votar dilma,Neutral,Negative
ai mae diz q diolma ganhar vai ver mudarmos p outro pais vai dilma,Neutral,Neutral
nao votei dilma,Neutral,Negative
so quero ver gente sofrer anos causa varios retardados votaram dilma emabiggestfansjustinbieber,Neutral,Neutral
velha politica wins rt polarizou esquerda contra direita trabalhador contra burgues pt contra psdb dilma contra aecio dilma,Neutral,Neutral
bom segundo turno dilma x aecio todos votantes racionais outros candidatos iriam votar aecio,Neutral,Negative
pode mudar ser apertado etcacho turno sera tipo lula x alckmin dilma vai ganhar muita margem sobre aecio,Neutral,Neutral
povo falo tanto mal dilma voto nela novo vai ganhar ainda,Neutral,Negative
cara vaia dilma faz espetaculo todo quebrando banco caralho quatro agora vem votar dilma vcs sao tudo falsa,Neutral,Negative
nordestino burro pq votou dilma paulista inteligente pq votou aecio poupe,Neutral,Negative
tudo menos dilma cara serio,Neutral,Negative
dilma deveria ganhar so acho,Neutral,Neutral
