username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KikaFranklin;2018-06-02 22:26;0;0;"Marina Silva so aparece de 4 em 4 anos";;;;"1003085602097631233";https://twitter.com/KikaFranklin/status/1003085602097631233
thalesdio;2018-06-02 22:21;0;0;"a nossa sorte é q o Bandeira so tem olhos pra Marina Silva agora...";;;;"1003084262495739905";https://twitter.com/thalesdio/status/1003084262495739905
BrGil39;2018-06-02 22:09;0;0;"Saída De Parente Mostra Falta De Credibilidade Do Governo Temer, Diz Marina Silva ; SAIBA! https:// clickpolitica.com.br/saida-de-paren te-mostra-falta-de-credibilidade-do-governo-temer-diz-marina-silva-saiba/ …";;;;"1003081166109511681";https://twitter.com/BrGil39/status/1003081166109511681
Alexssandroama4;2018-06-02 22:09;0;0;"E verdade marina um governo sem etica e respeito com o povo.";;;;"1003081135096778752";https://twitter.com/Alexssandroama4/status/1003081135096778752
EnquetesBoladas;2018-06-02 22:07;2;2;"#Eleições2018 - Intenção de votos para a Presidência da República #AlvaroDias #CiroGomes #JairBolsonaro #MarinaSilva";;;#Elei #AlvaroDias #CiroGomes #JairBolsonaro #MarinaSilva;"1003080746423201793";https://twitter.com/EnquetesBoladas/status/1003080746423201793
sergiusdourado;2018-06-02 21:57;0;1;"Eu até falava q se tocavam no fim do arco-íris, mas uma coisa é vc intuir e outra é ver diretamente... Foi decepcionante...";;;;"1003078272069132288";https://twitter.com/sergiusdourado/status/1003078272069132288
politicasemfato;2018-06-02 21:56;0;0;"Marina Silva está de malas prontas para desembarcar no Podemos.";;;;"1003077871064186886";https://twitter.com/politicasemfato/status/1003077871064186886
FariasJosivania;2018-06-02 21:55;0;0;"Ô dó! . Este país precisa entender que precisamos de metrô e não de mais carros. Os governantes parecem jamais entender isso. Daí as expansões das vias marginais... . Somos uma capital de mundo bem brega @Gov_DF @MichelTemer @RollembergPSB @MarinaSilva";;@Gov_DF @MichelTemer @RollembergPSB @MarinaSilva;;"1003077627836583936";https://twitter.com/FariasJosivania/status/1003077627836583936
cmbguerra1972;2018-06-02 21:52;0;0;"Nunca se decepcionou por que ela nunca foi eleita presidente. Não vai se decepcionar dessa vez. Nascida e criada no PT, quando faz essas declarações, não consigo acreditar.";;;;"1003076977618714624";https://twitter.com/cmbguerra1972/status/1003076977618714624
sergiusdourado;2018-06-02 21:52;0;2;"Eita: chuta o balde, mesmo... Kk";;;;"1003076915052384258";https://twitter.com/sergiusdourado/status/1003076915052384258
Vozdatarde;2018-06-02 21:51;1;2;"";;;;"1003076557433262080";https://twitter.com/Vozdatarde/status/1003076557433262080
KavmanCWB;2018-06-02 21:50;0;2;"Não vamos se iludir gente, no puteiro puta virgem não existe, se pode achar uma ou outra menos arrombada!";;;;"1003076328428630016";https://twitter.com/KavmanCWB/status/1003076328428630016
sen_hyp;2018-06-02 21:49;0;0;"Interpretação de texto grátis: No msm tweet, Marina não bateu de frente com o mercado e não bateu de frente com os brasileiros q defendem a redução de preço dos combustíveis de forma artificial. Eu gostaria mto de votar na sra. p/ presidente, mas preciso de motivos pra isso";;;;"1003076191090290689";https://twitter.com/sen_hyp/status/1003076191090290689
Vozdatarde;2018-06-02 21:49;2;3;"Nós não temos liderança. Kkkk repara q os agressivos estão todos interligados e com o mesmo discurso. Estes tem dono e ele faz questão de obediência. Nosso ideal de política se baseia no respeito a opinião do outro. É o pouco de democracia q nós temos.";;;;"1003076165555441666";https://twitter.com/Vozdatarde/status/1003076165555441666
sergiusdourado;2018-06-02 21:46;0;2;"pic.twitter.com/ZvKcQqFvoh";;;;"1003075398509449216";https://twitter.com/sergiusdourado/status/1003075398509449216
sen_hyp;2018-06-02 21:45;0;0;"Depois do que o PT e Lula fez com ela em 2014, se fosse comigo eu apoiaria até o Bolsonaro kkkk";;;;"1003075069273366528";https://twitter.com/sen_hyp/status/1003075069273366528
sen_hyp;2018-06-02 21:42;0;0;"Uma anta taxando os outros de anta. Você não sabe utilizar o mínimo das regras de pontuação de forma adequada para tornar seu tweet inteligível, rapaz! Baixa a bola!";;;;"1003074463448084481";https://twitter.com/sen_hyp/status/1003074463448084481
sergiusdourado;2018-06-02 21:41;1;2;"Desde adolescente acompanho essa zorra, mas pelo q temos o BR pode, merece e deve ser mais... O resto a gente releva, como disse o @Gabrielmg_teo77 rs E tem outros aqui, vc inclusive, q aprecio ouvir. Eu só posso agradecer.";;@Gabrielmg_teo77;;"1003074101857214465";https://twitter.com/sergiusdourado/status/1003074101857214465
Vozdatarde;2018-06-02 21:35;0;2;"Se você acredita, esta tudo certo. Você é educado para mostrar sua opinião. Diferente daqueles uns lá.";;;;"1003072633519464449";https://twitter.com/Vozdatarde/status/1003072633519464449
