username	date	retweets	favorites	text	geo	mentions	hashtags	id	permalink	score	sentiment
MarcoBandeira	05/10/2014 20:59	4	1	quem faz um projeto anticorrupcao depois de  anos no poder faz uma confissao publica  brasilsempt		@AecioNeves	#BrasilSemPT	5,19E+17	https://twitter.com/MarcoBandeira/status/518913517068750849	0.0	Neutro
refiga	05/10/2014 20:59	0	0	 parabens aos marineiros vamos juntos com aecioneves para dar um basta no pt aeciovaivencernosegundoturno aeciopresidente		@the_alle	#Marineiros #AecioNeves #AecioVaiVencerNoSegundoTurno #AecioPresidente	5,19E+17	https://twitter.com/refiga/status/518913501080080384	0.0	Neutro
PT_NUNCA	05/10/2014 20:59	3	1	valeu povo decente  valeu povo que nao acreditou em ibope e em pesquisas compradas pelo pt aecioneves aeciodevirada			#AecioNeves #AECIOdeVirada	5,19E+17	https://twitter.com/PT_NUNCA/status/518913476258185216	0.25555555555555554	Positivo
TarcisioMende	05/10/2014 20:59	0	0	 eu votei em vc que venha o segundo turno vc sera o nosso presidente.		@AecioNeves		5,19E+17	https://twitter.com/TarcisioMende/status/518913442632450048	-0.1	Negativo
geancarlobc	05/10/2014 20:59	0	0	 tivemos apoio a pequena empresa atraves do bnb q no governo do psdb foi isso foi para meia duzia de empresas do ce  bnb tasso 		@AecioNeves		5,19E+17	https://twitter.com/geancarlobc/status/518913431140073472	-0.20833333333333331	Negativo
Max_Cavalcanti	05/10/2014 20:59	0	1	prezado  por favor nao ande de aviao  ass tancredo neves		@AecioNeves		5,19E+17	https://twitter.com/Max_Cavalcanti/status/518913420385849345	0.0	Neutro
WarlleyCEC	05/10/2014 20:59	0	0	 de nada 		@AecioNeves		5,19E+17	https://twitter.com/WarlleyCEC/status/518913414836785152	0.8	Positivo
macdemarcela	05/10/2014 20:59	8	2	i knew you were trouble when you walked in 		@AecioNeves		5,19E+17	https://twitter.com/macdemarcela/status/518913414136332288	-0.2	Negativo
Rednekked_	05/10/2014 20:59	0	0	rousseff set  face brazil run off aecioneves dilmarousseff marinasilva minimumwage outrightvictory  			#AecioNeves #DilmaRousseff #MarinaSilva #minimumwage #outrightvictory	5,19E+17	https://twitter.com/Rednekked_/status/518913389678968832	0.0	Neutro
cADu_MAiA	05/10/2014 20:59	0	0	rumo a vitoria    fortes para o o turno    aecionevesoficial aecioneves mudabrasil psdb  			#aecioneves #mudabrasil #psdb	5,19E+17	https://twitter.com/cADu_MAiA/status/518913387757985792	0.4333333333333333	Positivo
soninhacidreira	05/10/2014 20:59	0	0	 o presidente da razao em harmonia com o coracao  o presidente da paz e conciliacao tocomaecioenaoabro pic.twitter.com/judnzaqw		@AecioNeves	#T	5,19E+17	https://twitter.com/soninhacidreira/status/518913385082413056	0.0	Neutro
Peter_Lyra	05/10/2014 20:59	1	1	votei hoje em  e votarei novamente n segundo turno   tera os votos dos racistas homofobicos e preconceituosos gostam dele		@dilmabr @AecioNeves		5,19E+17	https://twitter.com/Peter_Lyra/status/518913377130012672	-0.1	Negativo
Val_Ce1	05/10/2014 20:59	1	0	e agora  vai apoiar    boa noite		@Sen_Cristovam @aecioneves		5,19E+17	https://twitter.com/Val_Ce1/status/518913374311419904	0.7	Positivo
Wtiger50	05/10/2014 20:59	0	0	 haga su maximo esfuerzo para la da vuelta  los venezolanos le estaremos agradecidos  		@AecioNeves @eduMAW2013		5,19E+17	https://twitter.com/Wtiger50/status/518913369739636736	0.0	Neutro
equilibriumbr	05/10/2014 20:59	0	0	 parabens  parabens brasil   		@AecioNeves @AecioNeves		5,19E+17	https://twitter.com/equilibriumbr/status/518913360038232066	0.0	Neutro
Uma_Brasileira	05/10/2014 20:59	2	2	    tive problemas tambem...mas  como provar  temos que pensar agora no ÃÂ° turno.		@olelias @AecioNeves @infraton @jorge_bira		5,19E+17	https://twitter.com/Uma_Brasileira/status/518913359652356096	0.0	Neutro
nhansenroses	05/10/2014 20:59	0	0	bien la candidatura d centroizquierda n brasil d aecioneves y la politica d fdo h cardoso  q fue  gran presidente  ojala triunfe n balotaj				51891334701s9104257	https://twitter.com/nhansenroses/status/518913347019104257	0.8	Positivo
welderrlima	05/10/2014 20:59	0	0	  e o poder de compra dos aposentados do inss c + d  sal minimo  como recuperar esses  anos de declinio 		@dilmabr @AecioNeves		5,19E+17	https://twitter.com/welderrlima/status/518913338525638657	0.0	Neutro
fernandeznelson	05/10/2014 20:59	2	2	ahora  comienza otra eleccion con   escrutado x             		@ricpei @TSEjusbr @dilmabr @AecioNeves @silva_marina		5,19E+17	https://twitter.com/fernandeznelson/status/518913332523593729	0.0	Neutro
carl_densing	05/10/2014 20:59	0	0	"   with     of votes counted  has    and  with   brazildecides "" "		@StephanietlSUR @dilmabr @AecioNeves @habramyan	#BrazilDecides	5,19E+17	https://twitter.com/carl_densing/status/518913331122278400	0.0	Neutro
deiwyd	05/10/2014 20:59	0	0	   e uai		@Regesmaia @marconiperillo @AecioNeves		5,19E+17	https://twitter.com/deiwyd/status/518913323312906240	0.1	Positivo
LuisGaloRocha	05/10/2014 20:59	0	0	   e eu tambem 		@Ronaldo @Pollinatural @AecioNeves		5,19E+17	https://twitter.com/LuisGaloRocha/status/518913303926800384	0.0	Neutro
FFCsempre	05/10/2014 20:59	0	0	  decio  agora somos todos contra o pt  vamos votar no 		@DecioNeves @alvarodias_ @AecioNeves		5,19E+17	https://twitter.com/FFCsempre/status/518913299984154625	0.0	Neutro
sergiorocas	05/10/2014 20:59	0	0	agora eu vou de  para presidente vamos juntos vencer a 		@AecioNeves @dilmabr		5,19E+17	https://twitter.com/sergiorocas/status/518913298595864576	0.8	Positivo
_TuTraga	05/10/2014 20:58	0	0	vo ter que votar no  fazer oq   pt nunca    		@AecioNeves		5,19E+17	https://twitter.com/_TuTraga/status/518913262059257856	0.0	Neutro
sisprila	05/10/2014 20:58	0	1	 estamoscomaecio eu  meu pai minha mae e minhas duas irmas menores.a familia inteira   vamojuntos soujatene brasil		@AecioBlog @AecioNeves	#EstamosComAecio #Vamojuntos #soujatene #Brasil	5,19E+17	https://twitter.com/sisprila/status/518913253372878848	0.1	Positivo
BoletinRD	05/10/2014 20:58	0	0	dilmarousseff y aecioneves iran a la segunda vuelta en brasil  boletindominicano.com/enviar.php id   ÃÂ			#DilmaRousseff #A #Brasil	5,19E+17	https://twitter.com/BoletinRD/status/518913252986609664	-0.1	Negativo
ltcalderoni	05/10/2014 20:58	0	0	  parabens resultado primeiro turno   sugiro impugnacao da dilma por crime eleitoral   propag irreg via correios.		@AecioNeves @AecioNeves		5,19E+17	https://twitter.com/ltcalderoni/status/518913247269765120	0.25	Positivo
RaAguia1	05/10/2014 20:58	0	0	 ate brasilia presidente 		@AecioNeves		5,19E+17	https://twitter.com/RaAguia1/status/518913246209011713	0.0	Neutro
twinter_net	05/10/2014 20:58	1	0	com   dos votos apurados   tem    e  com    estao no segundo turno.		@dilmabr @AecioNeves		5,19E+17	https://twitter.com/twinter_net/status/518913228865552384	-0.1	Negativo
cleniltonsc	05/10/2014 20:58	2	0	contrariando todas as pesquisas  faz mais de   e vai fortalecido para o  turno aecioconfirma aeciodevirada		@AecioNeves	#Aecio45Confirma #AECIOdeVirada	5,19E+17	https://twitter.com/cleniltonsc/status/518913216186163203	0.5	Positivo
RealBennytheDog	05/10/2014 20:58	8	12	parabens   pic.twitter.com/tzhtfkwvgu		@AecioNeves		5,19E+17	https://twitter.com/RealBennytheDog/status/518913214038687745	0.0	Neutro
McDemiSelena	05/10/2014 20:58	0	0	 a campanha do  que foi fraca  pelo menos aqui  aonde a maioria das coligacoes sao confusas e todas estao com pt		@felipeneto @AecioNeves		5,19E+17	https://twitter.com/McDemiSelena/status/518913207340376064	-0.14375000000000002	Negativo
MarcoBandeira	05/10/2014 20:58	5	2	nao queremos um governo com a cupula na papuda  brasilsempt		@AecioNeves	#BrasilSemPT	5,19E+17	https://twitter.com/MarcoBandeira/status/518913206149185536	0.0	Neutro
LordFaria	05/10/2014 20:58	0	0	sao tres semanas para que o brasil possa iniciar a mudanca  e o candidato mais preparado.		@AecioNeves		5,19E+17	https://twitter.com/LordFaria/status/518913199417344000	0.5	Positivo
marinacor91	05/10/2014 20:58	0	0	  brasildecide | tse  y  son los candidatos que iran a segunda vuelta el  de octubre  		@teleSURtv @dilmabr @AecioNeves	#BrasilDecide	5,19E+17	https://twitter.com/marinacor91/status/518913181507661825	-0.1	Negativo
LucianaVenanci3	05/10/2014 20:58	0	0	 estamos com vc 		@AecioNeves		5,19E+17	https://twitter.com/LucianaVenanci3/status/518913180379385856	0.0	Neutro
laisarabelo	05/10/2014 20:58	0	0	   seja coerente e apoiando o  .		@silva_marina @AecioNeves		5,19E+17	https://twitter.com/laisarabelo/status/518913179146260480	0.5	Positivo
joaopaulom	05/10/2014 20:58	0	3	com   dos votos apurados   tem    e  com    estao no segundo turno.		@dilmabr @AecioNeves		5,19E+17	https://twitter.com/joaopaulom/status/518913172137594883	-0.1	Negativo
ArthurArenari	05/10/2014 20:58	0	1	aecio  a forca que o brasil precisa 		@AecioNeves	#Aecio45	5,19E+17	https://twitter.com/ArthurArenari/status/518913158447370241	0.0	Neutro
Slackie_	05/10/2014 20:58	0	0	euvoteimarina e nao quero  em cima do muro  ela deve apoiar o  se possivel hoje  a mudanca de poder e urgente    		@silva_marina @AecioNeves	#EuVoteiMarina40	5,19E+17	https://twitter.com/Slackie_/status/518913132019081216	0.0	Neutro
admwleitem	05/10/2014 20:58	0	0	   vamos aecio		@oserginho @dilmabr @AecioNeves		5,19E+17	https://twitter.com/admwleitem/status/518913102214352896	0.0	Neutro
CRFAnderson97	05/10/2014 20:58	0	0	 parabens   votei na dilma mas vc merece		@AecioNeves		5,19E+17	https://twitter.com/CRFAnderson97/status/518913100750536708	0.0	Neutro
RENATOABREU32	05/10/2014 20:58	1	1	 vamos la seu aecio neves  ÃÂº turno e com a gente  chega pt..  estamos com voce ...		@AecioNeves		5,19E+17	https://twitter.com/RENATOABREU32/status/518913100066861056	0.0	Neutro
edwardluz	05/10/2014 20:58	0	0	 o que e uma boa noticia pra quem espera um brasil melhor com  e com 		@regina_nh @AecioNeves @Rede45		5,19E+17	https://twitter.com/edwardluz/status/518913095767691264	0.6	Positivo
revistavoto	05/10/2014 20:58	2	1	com   dos votos apurados   tem    e  com    estao no segundo turno.		@dilmabr @AecioNeves		5,19E+17	https://twitter.com/revistavoto/status/518913092156407810	-0.1	Negativo
OctavianoTatau	05/10/2014 20:58	0	0	 cci.mit.edu  mit center for collective intelligence   brasil sustentavel 		@AecioNeves @silva_marina		5,19E+17	https://twitter.com/OctavianoTatau/status/518913078252273664	-0.1	Negativo
EuAleAzevedo	05/10/2014 20:58	1	0	parabens aos marineiros vamos juntos com aecioneves para dar um basta no pt aeciovaivencernosegundoturno aeciopresidente			#Marineiros #AecioNeves #AecioVaiVencerNoSegundoTurno #AecioPresidente	5,19E+17	https://twitter.com/EuAleAzevedo/status/518913073235509248	0.0	Neutro
inteligpublica	05/10/2014 20:58	0	0	  debate band dia  de outubro divulgue  abraco		@MarcoBandeira @AecioNeves		5,19E+17	https://twitter.com/inteligpublica/status/518913056861343746	0.0	Neutro
marrymeluan_	05/10/2014 20:58	0	0	 fumar umas maconhas de leve ne   		@AecioNeves		5,19E+17	https://twitter.com/marrymeluan_/status/518913045117284352	0.0	Neutro
freddyzur	05/10/2014 20:58	0	0	ÃÂ   ojo; el porcentaje que saco aecioneves no es  sino    un piso enorme para la da vuelta puede ganar .		@TUrgelles	#AecioNeves	5,19E+17	https://twitter.com/freddyzur/status/518913041585684480	0.6000000000000001	Positivo
FERRIMARKUS	05/10/2014 20:58	0	0	 parabens forca para o segumdo turno aqui em sao paulo estatemos junto na luta.		@AecioNeves		5,19E+17	https://twitter.com/FERRIMARKUS/status/518913040201568256	0.0	Neutro
