username	date	retweets	favorites	text	geo	mentions	hashtags	id	permalink	score	sentiment
JulioLimaPT	24/10/2014 21:59	0	0	olha a onda de dilma tarso dilma tarso dilma tarso dilma tarso dilma ..  fb.me/qfgngax				5,26E+17	https://twitter.com/JulioLimaPT/status/525798893284360192	0.0	Neutro
liorcino	24/10/2014 21:59	0	0	fazer o que   aecio tem a midia e a elite economica dilma tem os trabalhadores  aposentados  pobres e a classe media todossomosdilma			#TodosSomosDilma	5,26E+17	https://twitter.com/liorcino/status/525798890373910528	-0.06666666666666667	Negativo
mariosabinof	24/10/2014 21:59	38	23	"veja fracassara no intento criminoso""  tuitou dilma  ""a vitoria da criminosa dilma sera o fracasso do brasil""  tuito eu."""				5,26E+17	https://twitter.com/mariosabinof/status/525798886787784705	-0.37222222222222223	Negativo
banquitions	24/10/2014 21:59	0	0	gostei de um video  de   youtu.be/naotglywp a debate dilma vs aecio		@YouTube @parafernalha		5,26E+17	https://twitter.com/banquitions/status/525798883750723584	0.6	Positivo
DirceGenoinaSoa	24/10/2014 21:59	31	9	dilma   orgulho nosso que coragem  a primeira aencarar a midia olho no olho em rede nacional somostodosdilma			#SomosTodosDilma	5,26E+17	https://twitter.com/DirceGenoinaSoa/status/525798881406504960	0.525	Positivo
indig_naldo	24/10/2014 21:59	0	0	dilma  apuracao das denuncias de corrupcao psdb engavetador geral da republica que arquiva todas somostodosdilma			#SomosTodosDilma	5,26E+17	https://twitter.com/indig_naldo/status/525798880903172096	0.05000000000000002	Positivo
maarcelocabral	24/10/2014 21:59	0	2	"debatenaglobo dilma  aecio suas obras nao sao comparadas a de gaudi  famoso arquiteto catalao"""""			#debatenaglobo	5,26E+17	https://twitter.com/maarcelocabral/status/525798880345341952	0.5	Positivo
JUBIRACY	24/10/2014 21:59	0	0	 bateu o desespero no pt milicias chavistas da dilma picham sede da veja  coturnonoturno.blogspot.com///bateu  o desespero no pt milicias.html ÃÂ ÃÂ		@coroneldoblog		5,26E+17	https://twitter.com/JUBIRACY/status/525798879049306113	0.0	Neutro
darkbates	24/10/2014 21:59	0	1	"gente imagina se proibem a dilma de falar no que se refere"" no debate seria tipo tirar o meu ""gente"" do comeco dos tweets nao sairia + nada"""				5,26E+17	https://twitter.com/darkbates/status/525798876130050049	0.0	Neutro
FATIMASSAURO	24/10/2014 21:59	0	0	so olhar cara da dilma vemosmentira e prevaricacao e corrupcao contrapartida olhe p/aecio e veja honestidade/competencia aeciopelobrasil			#Aecio45PeloBrasil	5,26E+17	https://twitter.com/FATIMASSAURO/status/525798875572232192	0.0	Neutro
Ed_Oliiver	24/10/2014 21:59	0	0	ficaram devendo.. dilma e aecio nao consultam indios e adotam propostas contrarias aos seus direitos..  fb.me/nlxhr				5,26E+17	https://twitter.com/Ed_Oliiver/status/525798875094077440	0.0	Neutro
KriciaCLC	24/10/2014 21:59	0	0	" ridiculo o psdb usar a materia da veja como argumento contra dilma   agora fica mais que provado a farsa  somostodosdilma rt"""		@ReSorrah	#SomosTodosDilma	5,26E+17	https://twitter.com/KriciaCLC/status/525798872799797248	-0.07777777777777778	Negativo
dudu_charamba	24/10/2014 21:59	0	0	 jaja tem dilma vs aecio no octogono da globo		@dan5604renata		5,26E+17	https://twitter.com/dudu_charamba/status/525798871403081728	0.0	Neutro
Diegofsg2014	24/10/2014 21:59	0	0	aecie neves eleito gov em minas com mais de   reeleito com   e o senador mais votado elogiado pela dilma ..  fb.me/binlvkll				5,26E+17	https://twitter.com/Diegofsg2014/status/525798866348933120	0.5	Positivo
Georgemartins08	24/10/2014 21:59	0	0	"willian bonner ai  sai dilma "" debatenaglobo votoaeciopelobril pic.twitter.com/gbcspnkwn"""			#DebateNaGlobo #VotoAecioPeloBR45IL	5,26E+17	https://twitter.com/Georgemartins08/status/525798865132605440	0.0	Neutro
luferreiraaac	24/10/2014 21:59	0	0	doido e quem vota na dilma   de rocha				5,26E+17	https://twitter.com/luferreiraaac/status/525798859294142464	-0.6	Negativo
DeiseBranndao	24/10/2014 21:59	0	0	aecio depoimento de doleiro indica caixa dois na campanha de dilma  fb.me/knpgtw				5,26E+17	https://twitter.com/DeiseBranndao/status/525798855909339136	0.0	Neutro
nmotajr	24/10/2014 21:59	0	0	nao tenho nada contra aecio e nada contra dilma  apenas tenho criterio pra decidir meu voto.				5,26E+17	https://twitter.com/nmotajr/status/525798853388546048	0.0	Neutro
