username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento
blogdoedvaldo;2018-06-04 13:07;0;1;em sendo indicado grupo raquel joao lyra lula torres podera dobrar deputado federal bruno araujo ;;;;1003669698066591745;https://twitter.com/blogdoedvaldo/status/1003669698066591745;['positivo']
paulofarias55;2018-05-23 06:54;0;1;a pressao elias gomes betinho gomes bruno araujo candidato senador todo custo e intencional betinho e ex deputado sonha bases bruno salvar;;;;999227039394795520;https://twitter.com/paulofarias55/status/999227039394795520;['negativo']
joaquimprefeito;2018-05-19 23:04;0;1;mais edicao sucesso trilha bacurau evento consolidado faz parte agenda todo trilheiro regiao ao lado deputado federal bruno araujo vereadores secretarios amigos facebookjoaquimneto45posts1265486066920312 ;;;;998021507380072450;https://twitter.com/joaquimprefeito/status/998021507380072450;['positivo']
jairogaraujo;2018-05-19 18:27;0;0;na noite desta sextafeira prefeito edson vieira santa cruz capibaribe entregou seis pracas avenida padre zuzinha o evento contou presenca deputado federal bruno araujo injetou emendas quase milhoes reais blogdojairogomes201805entreg pracasmarcamsextafeira18htmlspref;;;;997951955489185792;https://twitter.com/jairogaraujo/status/997951955489185792;['negativo']
paulofarias55;2018-05-14 20:28;0;1;em pernambuco elegera bruno araujo betinho gomes e ex deputado exercicio mandato tera metade votacao pai comprou prefeito jaboatao;;;;996170359031455751;https://twitter.com/paulofarias55/status/996170359031455751;['negativo']
Gravatanamidia;2018-05-07 12:15;0;0;politica pe deputado exministro bruno araujo relembra apoio psb impeachment ministrobrunoaraujorelembraapoiopsbimpeachment;;;#COMPARTILHE;993509598479896576;https://twitter.com/Gravatanamidia/status/993509598479896576;['negativo']
FernandinoNeto;2018-05-04 19:49;0;1;o deputado bruno araujo publicando carta psb apoiando impeachment dilma e incoerente imoral ele esqueceu apoiou golpe tudo presidente golpista feito contra pobres nesse pais;;;;992536731504214017;https://twitter.com/FernandinoNeto/status/992536731504214017;['negativo']
giromatanorte;2018-05-04 16:21;0;0;o deputado bruno araujo psdb relembrou nesta sextafeira redes sociais carta psb pernambuco divulgada vespera votacao impeachment eresidente dilma  ujorelembraapoiopsbimpeachment;;;;992484379812335618;https://twitter.com/giromatanorte/status/992484379812335618;['positivo']
aeniadanieli;2018-05-03 18:15;0;0;deputado federal bruno araujo avisa povo brasileiro outro absurdo  ;;;;992150596345004032;https://twitter.com/aeniadanieli/status/992150596345004032;['negativo']
blogdacomunida1;2018-04-30 01:12;0;0;o pre candidato deputado estadual avante belarmino silva parceria exministro cidades bruno araujo consegue verba cento noventa milhoes saneamento basico jaboatao guararapes 3zy9z;;;;990805955393806336;https://twitter.com/blogdacomunida1/status/990805955393806336;['positivo']
jairogaraujo;2018-04-21 22:17;0;0;pecachave golpe parlamentar voto decisivo impeachment presidente eleita dilma rousseff exministro deputado federal bruno araujo psdbpe disse blogdojairogomes201804pecac haveimpeachmentbrunoaraujohtmlspref;;;;987862926106218496;https://twitter.com/jairogaraujo/status/987862926106218496;['negativo']
MBRAndrea;2018-04-21 15:59;2;2;ser insuportavel desde faculdade pecachave voto decisivo golpe resultou impeachment presidente eleita dilma rousseff exministro deputado federal bruno araujo psdbpe ha inferno serpentario  uco247351990pecachaveimpeachmentbrunoaraujodizpsbtramouderrubardilma  ;;;;987767832720105473;https://twitter.com/MBRAndrea/status/987767832720105473;['negativo']
MarcioQueen;2018-04-21 12:47;0;0;paulo camara diz deputado bruno araujo deveria preocupar partido pernambuco ;;;;987719595661246469;https://twitter.com/MarcioQueen/status/987719595661246469;['negativo']
kkdesouza;2018-04-21 08:25;0;1;nota do governador e vicepresidente nacional do psb paulo cmara o deputado bruno araujo deveria preocupar partido pernambuco esvaziou sob comando nunca faceboo10212069227991793 ;;;;987653513042972672;https://twitter.com/kkdesouza/status/987653513042972672;['positivo']
