username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento
edufonte;2018-06-11 20:10;0;0;neymar na estreia;;;;1006312655873863680;https://twitter.com/edufonte/status/1006312655873863680;['negativo']
IsraelL54568187;2018-06-11 13:56;0;0;mais problema briga funcionario paulo informacao dada eduardo meneses problema pessoal outra fonte falou parece e doenca familia seria cabeca pra jogar futebol afastado libertacao diretoria;;;;1006218676406800391;https://twitter.com/IsraelL54568187/status/1006218676406800391;['negativo']
luizbiluca;2018-06-11 10:29;0;0;oposicao lanca chapa majoritaria armando monteiro mendonca filho icarecife20180611nws713277745politica2193oposicaolancachapamajoritariacomarmandomonteiromendonca  filhoaspx um cara eduardo da fonte pretender ser candidato senado e ser louco em pernambuco cidadao vai conseguir ficar quarto lugar;;;;1006166590021390337;https://twitter.com/luizbiluca/status/1006166590021390337;['negativo']
edufonte;2018-06-10 21:57;0;1;curioso desde;;;;1005977179992322049;https://twitter.com/edufonte/status/1005977179992322049;['neutro']
EdmarLyra;2018-06-10 20:45;0;1;sebastiao oliveira eduardo fonte jantam ettore labanca decidem apoio conjunto edmarlyrasebastiaooliv eiraeduardofontejantamettorelabancadecidemapoioseraconjunto ;;;;1005959246050136067;https://twitter.com/EdmarLyra/status/1005959246050136067;['negativo']
edu_78;2018-06-10 09:06;0;1;quem barralotadalembro pizzaria micheluccio fila esperahabeasbar manga rosabaita cao tantos outroshoje ta parecendo fonte novagrande obra fisica popular;;;;1005783364299878400;https://twitter.com/edu_78/status/1005783364299878400;['neutro']
SMendesEduardo;2018-06-09 22:54;0;0;tem partidos politicos esquerda presidentes desses partidos valendo falta informacao pessoas humildes enganar descaradamente populacao a fonte principal qualquer lei e interpretacao  engano acreditar nisso;;;;1005629344071454721;https://twitter.com/SMendesEduardo/status/1005629344071454721;['neutro']
gotikosuave;2018-06-09 12:31;0;2;queria tirar leite diretamente fonte 8rqqfpt;;;;1005472355429306368;https://twitter.com/gotikosuave/status/1005472355429306368;['negativo']
blogdoelielson;2018-06-08 23:53;0;0;camara analisara projeto eduardo fonte pede suspensao bandeiras tarifarias conta luz analisaraprojetoeduardofontepedesuspensaobandeirastarifariascontaluz;;;;1005281799017324544;https://twitter.com/blogdoelielson/status/1005281799017324544;['neutro']
wagneroliveiraf;2018-06-08 18:19;1;6;carlos eduardo atacante goias sendo negociado eintracht frankfurt alemanha atacante pode fechar negocio proximas semanas fonte blog ora bolas;;;;1005197685320765440;https://twitter.com/wagneroliveiraf/status/1005197685320765440;['negativo']
