username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento
maurobonna;2018-06-11 19:04;0;4;jarbas vasconcelos precandidato pv senado estara hoje h argumento rba ;;;;1006296105477341185;https://twitter.com/maurobonna/status/1006296105477341185;['negativo']
maurobonna;2018-06-11 09:11;0;16;o advogado jarbas vasconcelos conselheiro federal oab precandidato pv senado estara hoje h argumento rba;;;;1006147021672206336;https://twitter.com/maurobonna/status/1006147021672206336;['negativo']
RenaldyOliveira;2018-06-10 14:21;0;1;o bolsa familia e segundo deputado jarbas vasconcelos tratamaior programa compra votos brasil;;;;1005862495763001344;https://twitter.com/RenaldyOliveira/status/1005862495763001344;['negativo']
izaelcavalc;2018-06-09 19:25;0;0;vou comecar ri ;;;;1005576604058255360;https://twitter.com/izaelcavalc/status/1005576604058255360;['neutro']
MarceloBacana;2018-06-09 11:44;0;1;jarbas vasconcelos prestigia edmilson rodrigues  2;;;;1005460695528493056;https://twitter.com/MarceloBacana/status/1005460695528493056;['negativo']
CaixaBrita;2018-06-08 22:08;3;5;o deputado jarbas vasconcelos dois mandatos governador perdeu duas vezes disputa cargo as eleicoes pernambucanas pauta politica traduzida aqui caixa brita   6dmijsbwf3;;;;1005255210158252033;https://twitter.com/CaixaBrita/status/1005255210158252033;['negativo']
dinizgf;2018-06-08 10:33;0;0;senadorzinho acha partido quadrilha enquanto defende traste jarbas vasconcelos mendonca filho focados campanha novos senadores pernambuco;;;;1005080307618451462;https://twitter.com/dinizgf/status/1005080307618451462;['negativo']
cesarmaia;2018-06-08 08:03;1;3;pernambuco pesquisamultiplasenador jarbas vasconcelos 8 humberto costa pt 7 mendonca filho 8 terceiro andre ferreira psc 1;;;;1005042560287543296;https://twitter.com/cesarmaia/status/1005042560287543296;['negativo']
jairogaraujo;2018-06-07 21:37;0;0;no levantamento realizado multipla senado deputado jarbas vasconcelos mdb lidera 8 intencoes voto seguido senador humberto costa pt 7 blogdojairogomes201806jarbas liderasenadohumbertohtmlspref;;;;1004885158057652224;https://twitter.com/jairogaraujo/status/1004885158057652224;['positivo']
Piteira;2018-06-07 16:39;0;0;jarbas vasconcelos entrevistado jornalista mauro bonna programa argumento proximo dia junho tv rba imperdivel facebookjmpiteirapost s10211720998835920 ;;;;1004809999447666688;https://twitter.com/Piteira/status/1004809999447666688;['negativo']
MarceloBacana;2018-06-07 14:54;0;1;jarbas vasconcelos bom relacionamento politico inicio candidatura  30oti9;;;;1004783605472808960;https://twitter.com/MarceloBacana/status/1004783605472808960;['positivo']
