username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento
sertaoeventos1;2018-06-02 08:26;0;0;kaio manicoba fala sobre obras florestape es2301851 ;;;;1002874101403389952;https://twitter.com/sertaoeventos1/status/1002874101403389952;['negativo']
sertaoeventos1;2018-06-02 08:11;0;0;kaio manicoba fala sobre obras florestape youtubeattributionli nk9pef9m4qu2fwatch3fv3dw4haxrsbrvu26feature3dshare ;;;;1002870257407623168;https://twitter.com/sertaoeventos1/status/1002870257407623168;['negativo']
SERTAOEVENTOS;2018-06-02 08:11;0;0;kaio manicoba fala sobre obras florestape http;;@YouTube;;1002870206933426176;https://twitter.com/SERTAOEVENTOS/status/1002870206933426176;['negativo']
SERTAOEVENTOS;2018-06-02 08:02;0;0;kaio manicoba fala sobre obras florestape http;;@YouTube;;1002868044719448064;https://twitter.com/SERTAOEVENTOS/status/1002868044719448064;['negativo']
blogdoroberiosa;2018-05-30 08:21;0;0;kaio manicoba amplia presenca recife apoio romerinho jatoba  3isuz;;;;1001785547067715585;https://twitter.com/blogdoroberiosa/status/1001785547067715585;['neutro']
EdmarLyra;2018-05-29 19:51;0;0;kaio manicoba amplia presenca recife apoio romerinho jatoba edmarlyrakaiomanicoba ampliapresencarecifeapoioromerinhojatoba 6gtqpv;;;;1001596889001807873;https://twitter.com/EdmarLyra/status/1001596889001807873;['neutro']
sertaoeventos1;2018-05-29 19:41;0;0;deputado federal kaio manicoba 2299441 ;;;;1001594281302396933;https://twitter.com/sertaoeventos1/status/1001594281302396933;['negativo']
sertaoeventos1;2018-05-29 19:35;0;0;kaio manicoba recebe apoio betaniape es2299431 ;;;;1001592848272248832;https://twitter.com/sertaoeventos1/status/1001592848272248832;['positivo']
blogdoroberiosa;2018-05-29 16:20;0;0;kaio manicoba perde apoio sertao pajeu filho guilherme uchoa  4qldmat9;;;;1001543924836642817;https://twitter.com/blogdoroberiosa/status/1001543924836642817;['positivo']
blogdoroberiosa;2018-05-28 21:58;0;0;kaio manicoba conquista apoios betania reeleicao  3ua5gsr3a3;;;;1001266481584320514;https://twitter.com/blogdoroberiosa/status/1001266481584320514;['positivo']
eduardonino;2018-05-28 20:10;5;4;retweeted eduardo deputados pe votaram pra entregar petroleo pre sal empresas estrangeiras shell exnmobil totaletc cadoca pdt pastor eurico phs jarbas vasconcelos mdb kaio manicoba mdb facebookeduardosilvas ouzaposts1807456639276211 ;;@eduardonino;;1001239355942424579;https://twitter.com/eduardonino/status/1001239355942424579;['positivo']
eduardonino;2018-05-28 17:29;16;16;deputados pe votaram pra entregar petroleo pre sal empresas estrangeiras shell exnmobil totaletc cadoca pdt pastor eurico phs jarbas vasconcelos mdb kaio manicoba mdb facebookeduardosilvas ouzaposts1807456639276211 ;;;;1001198716903133192;https://twitter.com/eduardonino/status/1001198716903133192;['positivo']
EdmarLyra;2018-05-28 16:27;0;0;kaio manicoba recebe apoio betania edmarlyrakaiomanicoba recebeapoiobetania 0pr6frcoc;;;;1001183265070505984;https://twitter.com/EdmarLyra/status/1001183265070505984;['positivo']
Paivasil;2018-05-28 12:36;0;0;deputados pe votaram pra entregar petroleo pre sal empresas estrangeiras shell exnmobil totaletc cadoca pdt pastor eurico phs jarbas vasconcelos mdb kaio manicoba mdb fernando monteiro pp dudu fonte pp creuza pereira psb;;;;1001124998403248129;https://twitter.com/Paivasil/status/1001124998403248129;['positivo']
djincidental;2018-05-28 12:05;0;0;faz printi ai  deputados pe votaram pra entregar petroleo pre sal empresas estrangeiras shell exn mobil etc cadoca pdt pastor eurico phs jarbas vasconcelos mdb kaio manicoba facebookdjincidentalp osts10213997807354154 ;;;;1001117271559831552;https://twitter.com/djincidental/status/1001117271559831552;['negativo']
nibiru201545;2018-05-27 18:20;0;0;mg sim fabio reis se sim flaviano melo ac sim hermes parcianello pr sim hildo rocha ma sim hugo motta pb nao jarbas vasconcelos pe sim joao arruda pr nao jones martins rs sim jose fogaca rs sim jose priante pa sim josi nunes to sim kaio manicoba pe sim laura carneiro rj;;;;1000849370428960773;https://twitter.com/nibiru201545/status/1000849370428960773;['positivo']
nibiru201545;2018-05-27 18:20;0;0;to sim kaio manicoba pe sim laura carneiro rj sim lelo coimbra es sim lucio vieira lima ba sim manoel junior pb sim marcelo castro pi sim marcos rotta am sim marinha raupp ro sim mauro lopes mg sim mauro mariani sc sim mauro pereira rs sim moses rodrigues ce sim osmar;;;;1000849199846567936;https://twitter.com/nibiru201545/status/1000849199846567936;['positivo']
blogdoroberiosa;2018-05-26 09:40;0;0;filho eduardo campos rouba apoio kaio manicoba acirra disputa belmonte  2tjbeodfsb;;;;1000356113085288448;https://twitter.com/blogdoroberiosa/status/1000356113085288448;['positivo']
sertaoeventos1;2018-05-17 11:47;0;0;deputado federal kaio manioba cao2292251 ;;;;997126435318980608;https://twitter.com/sertaoeventos1/status/997126435318980608;['negativo']
BarretoEcbf;2018-05-09 22:16;0;0;pe adalberto cavalcantiandre paulaaugusto coutinhobetinho gomesbruno araujoeduardo cadocadaniel coelhofernando coelho filhofernando monteirojarbas vasconcelosjoao fernando coutinhojorge corte realkaio manicoba marinaldo rosendomendonca filhoricardo teobaldo;;;;994385769363136512;https://twitter.com/BarretoEcbf/status/994385769363136512;['negativo']
sertaoeventos1;2018-05-09 08:27;0;0;kaio manioba es2287531 ;;;;994177019033374720;https://twitter.com/sertaoeventos1/status/994177019033374720;['negativo']
paulobenjeri;2018-05-09 08:21;0;0;em santa cruz associacao sitio morro onca recebeu trator deputado federal kaio manicoba emenda parlamentar  tacruzassociacaositiomorrohtmlspref;;;;994175440280485888;https://twitter.com/paulobenjeri/status/994175440280485888;['positivo']
roberto40224824;2018-05-08 12:35;0;0;kaio manicoba destina emenda r milhao santuario frei damiao araripe ouricuri blog roberto goncalves destinaemendar1milhaosantuariofreidamiaoararipeouricuri;;;;993877060400680960;https://twitter.com/roberto40224824/status/993877060400680960;['neutro']
EdmarLyra;2018-05-07 19:07;0;0;kaio manicoba parabeniza anos blog edmarlyrakaiomanicoba parabeniza10anosblog 48ayinwe;;;;993613366273937408;https://twitter.com/EdmarLyra/status/993613366273937408;['negativo']
blogdoroberiosa;2018-05-07 08:09;0;0;com apoio luciano duque kaio manicoba ocupa espacos eleitorais sebastiao oliveira pode sair votacao eressiva st  ;;;;993447641953505280;https://twitter.com/blogdoroberiosa/status/993447641953505280;['positivo']
Nill_Junior;2018-05-07 07:37;0;0;kaio manicoba comemora aniversario serra talhada  8osvt;;;;993439562637623296;https://twitter.com/Nill_Junior/status/993439562637623296;['negativo']
portalflorespe;2018-05-07 06:09;0;0;em nota kaio manicoba diz final semana serra talhada muitas alegrias wvax2kxyotsfacebook ;;;#;993417622531248131;https://twitter.com/portalflorespe/status/993417622531248131;['positivo']
lucianoduquest;2018-05-07 00:49;0;2;junto multidao cantou rainha seresta lila parabens serra talhada realizamos tradicional corte bolo agradeco presencas deputados augusto cesar kaio manicoba facebooklucianoduquest posts1315378761940356 ;;;;993336882330292224;https://twitter.com/lucianoduquest/status/993336882330292224;['neutro']
EdmarLyra;2018-05-06 15:07;1;0;no aniversario serra talhada kaio manicoba comemora beneficios cidade edmarlyraaniversario serratalhadakaiomanicobacomemorabeneficioscidade 7ukhmdyh;;;;993190492757209089;https://twitter.com/EdmarLyra/status/993190492757209089;['negativo']
Nill_Junior;2018-05-05 08:53;0;0;kaio manicoba diz ter sido romonilson apoio diogo moraes  1jecbt3lxu;;;;992733926388043777;https://twitter.com/Nill_Junior/status/992733926388043777;['negativo']
elismarrodrigue;2018-05-03 09:01;0;0;em ouricuri kaio manicoba firma parceria apoio antonio fernando iomanicobafirmaparceriaapoioantoniofernando;;;;992011251835441157;https://twitter.com/elismarrodrigue/status/992011251835441157;['positivo']
carlosbritto1;2018-05-02 17:11;0;1;em busca renovacao mandato eleicoes deste ano deputado federal kaio manicoba sd vai arregimentando aliados importantes sertao carlosbrittobuscare eleicaodeputadokaiomanicobavaiarregimentandoaliadossertaopernambucano;;;;991772303909244928;https://twitter.com/carlosbritto1/status/991772303909244928;['positivo']
carlosbritto1;2018-05-02 17:11;0;1;em busca reeleicao deputado kaio manicoba vai arregimentando aliados sertao pernambucano carlosbrittobuscare eleicaodeputadokaiomanicobavaiarregimentandoaliadossertaopernambucano 05zzw7x5l;;;;991772255565819904;https://twitter.com/carlosbritto1/status/991772255565819904;['positivo']
Nill_Junior;2018-05-02 15:55;0;0;em bodoco santa cruz venerada kaio manicoba recebe apoios  3;;;;991753118147899393;https://twitter.com/Nill_Junior/status/991753118147899393;['neutro']
EdmarLyra;2018-05-02 15:14;0;0;kaio manicoba garante apoios bodoco santa cruz edmarlyrakaiomanicoba garanteapoiosbodocosantacruz 82y8go7;;;;991742726453583872;https://twitter.com/EdmarLyra/status/991742726453583872;['neutro']
EdmarLyra;2018-05-01 18:34;0;0;kaio manicoba consegue apoio coelhos ouricuri edmarlyrakaiomanicoba consegueapoiocoelhosouricuri ;;;;991430777048059905;https://twitter.com/EdmarLyra/status/991430777048059905;['negativo']
portalflorespe;2018-05-01 17:42;0;0;kaio manicoba consegue apoio coelhos wujrlhnhkgufacebook ;;;#;991417612587421696;https://twitter.com/portalflorespe/status/991417612587421696;['negativo']
Nill_Junior;2018-05-01 17:17;0;0;kaio manicoba consegue apoio coelhos ouricuri  3;;;;991411236343513089;https://twitter.com/Nill_Junior/status/991411236343513089;['negativo']
blogdoelielson;2018-05-01 16:42;0;0;kaio manicoba consegue apoio coelhos ouricuri blog elielson lima anicobaconsegueapoiocoelhosouricuri;;;;991402421959049216;https://twitter.com/blogdoelielson/status/991402421959049216;['negativo']
carlosbritto1;2018-04-29 10:23;0;1;precandidato reeleicao deputado federal kaio manicoba sd fechou parceria precandidato deputado estadual antonio fernando ouricuri pe sertao carlosbrittokaiomanicoba fechaparceriacandidatodeputadoestadualouricuri;;;;990582226650894336;https://twitter.com/carlosbritto1/status/990582226650894336;['positivo']
carlosbritto1;2018-04-29 10:22;0;1;precandidato reeleicao kaio manicoba firma parceria candidato deputado estadual ouricuri carlosbrittokaiomanicoba fechaparceriacandidatodeputadoestadualouricuri 0g2j1niu;;;;990582196963594240;https://twitter.com/carlosbritto1/status/990582196963594240;['positivo']
roberto40224824;2018-04-29 09:02;0;0;buscando reeleicao kaio manicoba busca apoio araripina trindade ouricuri blog roberto goncalves icaokaiomanicobabuscaapoioararipinatrindadeouricuri;;;;990561947274956801;https://twitter.com/roberto40224824/status/990561947274956801;['positivo']
Nill_Junior;2018-04-28 16:03;0;0;kaio manicoba fecha parceria antonio fernando ouricuri  5qh5xg4;;;;990305508115537920;https://twitter.com/Nill_Junior/status/990305508115537920;['negativo']
blogdoelielson;2018-04-28 15:34;0;0;kaio manicoba fecha parceria antonio fernando ouricuri blog elielson lima anicobafechaparceriaantoniofernandoouricuri;;;;990298312816275456;https://twitter.com/blogdoelielson/status/990298312816275456;['negativo']
EdmarLyra;2018-04-28 15:01;0;0;kaio manicoba fecha parceria antonio fernando edmarlyrakaiomanicoba fechaparceriaantoniofernando 12eomoslm;;;;990289941421797378;https://twitter.com/EdmarLyra/status/990289941421797378;['negativo']
Nill_Junior;2018-04-26 08:06;0;0;kaio manicoba comemora recursos floresta  9mgrv62;;;;989460797222014976;https://twitter.com/Nill_Junior/status/989460797222014976;['neutro']
blogdoelielson;2018-04-25 22:06;0;0;kaio manicoba comemora conquista mandato floresta blog elielson lima anicobacomemoraconquistamandatofloresta;;;;989309678533431301;https://twitter.com/blogdoelielson/status/989309678533431301;['positivo']
EdmarLyra;2018-04-25 20:42;0;1;kaio manicoba comemora conquista mandato floresta edmarlyrakaiomanicoba comemoraconquistamandatofloresta 2xckzcyw;;;;989288477836697600;https://twitter.com/EdmarLyra/status/989288477836697600;['positivo']
blogdoelielson;2018-04-20 19:00;0;0;emendas kaio manicoba garantem equipamentos nova upa paudalho blog elielson lima skaiomanicobagarantemequipamentosnovaupapaudalho;;;;987450926033092608;https://twitter.com/blogdoelielson/status/987450926033092608;['negativo']
Nill_Junior;2018-04-19 17:26;0;0;bruno ribeiro critica kaio manicoba diz luciano duque deve apoialo serra  6tukyzdcaa;;;;987064891101122567;https://twitter.com/Nill_Junior/status/987064891101122567;['negativo']
joaozinhoarael;2018-04-19 08:09;0;0;deputado kaio manicoba diz liga ser golpista ;;;;986924865608269824;https://twitter.com/joaozinhoarael/status/986924865608269824;['negativo']
cadulorena;2018-04-16 17:47;2;3;pernambuco o deputado federal kaio manicoba sd defensores impeachment eresidenta dilma pt colou prefeito serra talhada luciano duque pt busca reeleicao camara ;;;;985982925303885830;https://twitter.com/cadulorena/status/985982925303885830;['positivo']
sertaoeventos1;2018-04-16 09:02;0;0;neste sabado 14 deputado federal kaio manicoba distrito bernardo vieira serra talhada ica2274471 ;;;;985850910407569408;https://twitter.com/sertaoeventos1/status/985850910407569408;['positivo']
blogdoroberiosa;2018-04-16 05:56;0;1;depois votar favor impeachment dilma kaio manicoba cola luciano duque eleicoes ;;;;985804052146638853;https://twitter.com/blogdoroberiosa/status/985804052146638853;['negativo']
Nill_Junior;2018-04-15 14:58;0;0;em bernardo vieira kaio manicoba reforca compromisso serra talhada  ;;;;985578202549706753;https://twitter.com/Nill_Junior/status/985578202549706753;['positivo']
kaio_the_aussie;2018-04-13 11:22;0;0;manitoba smith gato pensando vida porque ser corno antes perguntem irmaos chamam ontario saskatchewan ;;;;984798959750254592;https://twitter.com/kaio_the_aussie/status/984798959750254592;['negativo']
MARCOSPALITOPE;2018-04-12 23:01;0;0;o solidariedade avanca pernambuco parabns deputado kaio manicoba juntos deputado paulinho forca brasil vai crescer cada vez facebookmbopalitopos ts1668536626568807 ;;;;984612632324960261;https://twitter.com/MARCOSPALITOPE/status/984612632324960261;['negativo']
Nill_Junior;2018-04-11 18:08;0;0;kaio manicoba continua esperando sim duque  1lyr9;;;;984176372015824900;https://twitter.com/Nill_Junior/status/984176372015824900;['neutro']
blogdoroberiosa;2018-04-09 07:02;0;0;em busca reeleicao kaio manicoba filia solidariedade disputar chapinha deputado federal  0yg9vr;;;;983284124361351168;https://twitter.com/blogdoroberiosa/status/983284124361351168;['negativo']
blog_do_elvis;2018-04-07 09:05;0;0;kaio manicoba fecha filiacao partido solidariedade ;;;;982590069012754433;https://twitter.com/blog_do_elvis/status/982590069012754433;['negativo']
portalflorespe;2018-04-07 06:37;0;0;depois phs pmdb kaio manicoba assina ficha filiacao solidariedade wsirxa9kcfacebook ;;;#;982552978178625536;https://twitter.com/portalflorespe/status/982552978178625536;['negativo']
darciorabelo;2018-04-07 01:28;0;0;clima confianca marca entrada kaio manicoba solidariedade  ;;;;982475130973630464;https://twitter.com/darciorabelo/status/982475130973630464;['positivo']
flaviochaves_;2018-04-06 22:00;0;0;kaio manicoba cadoca filiam solidariedade  ;;;;982422810961305605;https://twitter.com/flaviochaves_/status/982422810961305605;['negativo']
sanchilisoficia;2018-04-06 19:21;0;0;deputados kaio manicoba cadoca filiam solidariedade os deputados federais kaio manicoba carlos eduardo cadoca filiaram nesta sextafeira 6 solidariedade as fichas parlamentares abonadas deputado federal augusto ;;;;982382702929166336;https://twitter.com/sanchilisoficia/status/982382702929166336;['negativo']
EscadaNews;2018-04-06 19:21;0;0;deputados kaio manicoba cadoca filiam solidariedade ;;;;982382694746083328;https://twitter.com/EscadaNews/status/982382694746083328;['negativo']
blog_do_elvis;2018-04-06 15:17;0;0;kaio manicoba filiasolidariedade continua base paulo camara ;;;;982321299983761408;https://twitter.com/blog_do_elvis/status/982321299983761408;['positivo']
carlosbritto1;2018-04-06 14:12;0;0;na reta final prazo filiacao deputado federal licenciado atual secretario habitacao pernambuco kaio manicoba deiu mdb vai partido solidariedade o ato filiacao carlosbrittokaiomanicoba deixamdbabracasolidariedade;;;;982304975995813893;https://twitter.com/carlosbritto1/status/982304975995813893;['neutro']
