username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento
prnacamara;2018-06-08 15:34;1;1;comeca agora sessao solene homenagem anos deputado sebastiao oliveira e autores requerimento realizacao solenidade 1wiu2xv;;@infraero;;1005156142828457986;https://twitter.com/prnacamara/status/1005156142828457986;['neutro']
BLOGDOMAGNO;2018-06-07 13:27;0;0;pernambuco recebe r milhoes recursos o presidente estadual partido republica deputado sebastiao oliveira assegurou repasse parte ministerio r 5 milhoes extras pernambuco  confira integra aqui d190884 ;;;;1004761819641204738;https://twitter.com/BLOGDOMAGNO/status/1004761819641204738;['negativo']
osecretariopovo;2018-06-07 09:40;0;0;deputado sebastiao oliveira anuncia r milhoes pernambuco avancos aeroporto serra talhada  tiaooliveiraanunciar20milhoespernambucoavancosaeroportoserratalhada 6f8bwr;;;;1004704755451510786;https://twitter.com/osecretariopovo/status/1004704755451510786;['negativo']
MarcoRaposo28;2018-06-06 20:44;1;1;deputado sebastiao oliveira sempre defendendo interesses povo pernambucano 2rpou6jce8;;;;1004509302781079556;https://twitter.com/MarcoRaposo28/status/1004509302781079556;['negativo']
BLOGDOMAGNO;2018-05-11 16:54;0;1;aeroporto recife continuara ampliando voos artigo deputado federal sebastiao oliveira  confira integra aqui  ;;;;995029375434264577;https://twitter.com/BLOGDOMAGNO/status/995029375434264577;['neutro']
celioborges2012;2018-05-05 01:42;0;0;o prefeito sao vicente ferrer flavio regis equipe recebe ilustre visita deputado federal sebastiao oliveira pr ex secretario estadual transportes municipio nesta sexta feira facebookcelioborgesbom jardimpeposts2198599773499779 ;;;;992625669426335744;https://twitter.com/celioborges2012/status/992625669426335744;['positivo']
joaopauloe40;2018-04-23 11:33;0;0;na ultima sextafeira dia 20 vinte acompanhamos deputado federal sebastiao oliveira visita serc onde recebidos colaboradora maria das dores brito elanou trabalho referida facebookjoaopaulodelem os40posts445620042518762 ;;;;988425621322784768;https://twitter.com/joaopauloe40/status/988425621322784768;['positivo']
estenioelbainy;2018-03-16 12:43;0;0;sebastiao machado oliveira conhecido siba machado deputado acre partido guerreiros diria atuais acontecimentos e obra cia;;;;974672616584830976;https://twitter.com/estenioelbainy/status/974672616584830976;['negativo']
osecretariopovo;2018-03-01 14:56;0;0;nota deputado federal sebastiao oliveira sobre morte geni pereira  federalsebastiaooliveirasobremortegenipereira;;;;969270044780892162;https://twitter.com/osecretariopovo/status/969270044780892162;['negativo']
blogdoroberiosa;2018-02-10 06:34;0;0;o prefeito serra talhada luciano duque pt voltou provocar deputado sebastiao oliveira pr ;;;;962243426782728192;https://twitter.com/blogdoroberiosa/status/962243426782728192;['positivo']
blogdoroberiosa;2018-02-01 14:04;0;0;o deputado licenciado secretario transportes sebastiao oliveira pr realmente passou metamorfose ;;;;959095168476606465;https://twitter.com/blogdoroberiosa/status/959095168476606465;['positivo']
blogdoroberiosa;2018-02-01 12:40;0;0;o prefeito luciano duque pt devolveu recado deputado sebastiao oliveira pr lancar bloco ;;;;959074055621144576;https://twitter.com/blogdoroberiosa/status/959074055621144576;['neutro']
blogdoroberiosa;2018-01-29 15:22;0;0;na primeira semana janeiro deste ano deputado licenciado secretario transportes sebastiao oliveira ;;;;958027478295089153;https://twitter.com/blogdoroberiosa/status/958027478295089153;['positivo']
blogdoroberiosa;2018-01-29 14:26;0;1;na primeira semana janeiro deste ano deputado licenciado secretario transportes sebastiao oliveira ;;;;958013467646201857;https://twitter.com/blogdoroberiosa/status/958013467646201857;['positivo']
blogdoroberiosa;2018-01-26 17:57;0;0;o deputado federal licenciado secretario transportes sebastiao oliveira pr juntamente ministro ;;;;956979447139307520;https://twitter.com/blogdoroberiosa/status/956979447139307520;['negativo']
