username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento
Nill_Junior;2018-06-09 10:25;0;0;deputado zeca cavalcanti agenda santa maria boa vista oroco  0o;;;;1005440682918440961;https://twitter.com/Nill_Junior/status/1005440682918440961;positivo
EdmarLyra;2018-06-08 14:17;0;1;zeca cavalcanti agenda sertao itaparica neste fim semana edmarlyrazecacavalcant iagendasertaoitaparicanestefimsemana 71x7lk;;;;1005136779769507840;https://twitter.com/EdmarLyra/status/1005136779769507840;positivo
Nill_Junior;2018-06-08 07:34;0;0;zeca cavalcanti cumpre agenda sertao itaparica  ;;;;1005035402540011520;https://twitter.com/Nill_Junior/status/1005035402540011520;negativo
PTBnaCamara;2018-06-07 08:37;0;0;dep zeca cavalcanti afirma mudancas propostas rotulos alimentos bebidas importantes doencas alerta sobre teor sal acucar gordura claro linguagem simples direta ouca http;;;#Anvisa #Diabetes #Hipertens;1004688846708146176;https://twitter.com/PTBnaCamara/status/1004688846708146176;negativo
PTBnaCamara;2018-06-06 11:58;1;1;o deputado medico zeca cavalcanti aprovou mudanca alimentos bebidas pretende fazer a ideia e tornar informacao sobre teores sal acucar gordura simples consumidor ;;;#R #Anvisa;1004376990709886977;https://twitter.com/PTBnaCamara/status/1004376990709886977;negativo
ptb14;2018-05-29 15:28;0;1;zeca cavalcanti pede equilibrio divisao recursos municipios  leia ;;;;1001530684324876290;https://twitter.com/ptb14/status/1001530684324876290;positivo
PTBnaCamara;2018-05-28 17:41;1;2;deputado zeca cavalcanti defende aumento fundo participacao municipios esse temas brasilia os prefeitos conheceram pensam alguns precandidatos ouca http;;;#FPM #MarchaDosPrefeitos #Presid;1001201848299216896;https://twitter.com/PTBnaCamara/status/1001201848299216896;positivo
PTBnaCamara;2018-05-22 17:19;1;1;em entrevista radio ptb deputado medico zeca cavalcanti defende projeto obriga publicos privados notificarem casos malformacoes congenitas a proposta aprovada camara aguarda votacao senado ;;;#Sa #hospitais #C;999021847420325888;https://twitter.com/PTBnaCamara/status/999021847420325888;positivo
PTBnaCamara;2018-05-17 18:09;1;1;o deputado zeca cavalcanti defende notificacao obrigatoria casos congenitas a proposta aprovada camara dos deputados votada senado federal ;;;#c #malforma #Minist #Sa;997222533110878208;https://twitter.com/PTBnaCamara/status/997222533110878208;positivo
Nill_Junior;2018-05-17 15:29;0;0;em nota zeca cavalcanti afirma cometeu ato desconformidade lei  4ezfm6xt;;;;997182239157964801;https://twitter.com/Nill_Junior/status/997182239157964801;negativo
PajeuAM;2018-05-16 15:39;0;0;inqueritos contra zeca cavalcanti enviados justica federal pernambuco toscontrazecacavalcantisaoenviadosjusticafederalpernambuco 4uag;;;;996822350560681985;https://twitter.com/PajeuAM/status/996822350560681985;negativo
Nill_Junior;2018-05-16 15:38;0;0;inqueritos contra zeca cavalcanti enviados justica federal pernambuco  4kfgex;;;;996822280192880641;https://twitter.com/Nill_Junior/status/996822280192880641;negativo
wladimirQuirino;2018-05-13 17:24;0;1;segundo levantamento congresso foco cada tres deputados e suspeito ter cometido algum tipo crime obviamente pernambuco zeca cavalcanti ptb e deputado pernambucano envolvido pais inqueritos;;;;995761711738048512;https://twitter.com/wladimirQuirino/status/995761711738048512;negativo
blogdoroberiosa;2018-05-12 10:47;0;0;zeca cavalcanti emite nota esclarecimento sobre levante congresso foco  ;;;;995299451769184256;https://twitter.com/blogdoroberiosa/status/995299451769184256;negativo
blogdoroberiosa;2018-05-11 17:33;0;0;parlamentar pernambucano zeca cavalcanti figura deputados federais processos brasil  75twy;;;;995039194127925248;https://twitter.com/blogdoroberiosa/status/995039194127925248;neutro
PTBnaCamara;2018-05-10 14:49;2;2;maio dia d mobilizacao nacional contra estarao abertos mil postos vacinacao essa vacina contra virus e grande importancia pois deixa gente bem resistente destaca dep zeca cavalcanti e ouca ;;;#Gripe #H1N1 #m;994635606352416776;https://twitter.com/PTBnaCamara/status/994635606352416776;negativo
