username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
Erick_Cartman;2018-05-25 19:19;0;0;projeto pl 18 autoriza privatizacao eletrobras recebeu emendassomente deputado arlindo chinaglia ptsp apresentou danilo cabral psbpe autor outras emendas;;;;1000139241219903490;https://twitter.com/Erick_Cartman/status/1000139241219903490;['negativo'];Não Existe
jairogaraujo;2018-05-24 10:02;0;0;a proposta deputado danilo cabral estabelece periodicidade seis meses reajustes blogdojairogomes201805deputa apresentaprojetoconterhtmlspref;;;;999636763969802240;https://twitter.com/jairogaraujo/status/999636763969802240;['negativo'];Não Existe
portalflorespe;2018-05-23 06:14;0;0;deputado danilo cabral apresenta emendas defesa chesf wwuxbzjakgofacebook ;;;#;999217096985927680;https://twitter.com/portalflorespe/status/999217096985927680;['negativo'];Não Existe
BLOGDOMAGNO;2018-05-10 18:52;0;2;deputado recorre decisao autoriza aumento conta luz o deputado danilo cabral psbpe recorreu contra decisao justica autorizou aumento 41 conta luz proposto companhia energetica pernambuco celpe d189811 ;;;;994696639238598657;https://twitter.com/BLOGDOMAGNO/status/994696639238598657;['positivo'];Não Existe
giromatanorte;2018-05-07 13:55;0;0;em passagem nazare mata neste domingo 06 deputado federal danilo cabral psb teceu criticas oposicao governador estado paulo camara psb acreditando  sicaodesarticuladadisparadanilocabral;;;;993534918792753154;https://twitter.com/giromatanorte/status/993534918792753154;['positivo'];Não Existe
jairogaraujo;2018-05-03 22:45;0;0;o deputado danilo cabral psbpe protocolou hoje 3 projeto lei complementar plp proibir venda ativos transferencia controle societario empresas publicas blogdojairogomes201805deputa querproibirprivatizacoeshtmlspref;;;;992218698244132865;https://twitter.com/jairogaraujo/status/992218698244132865;['positivo'];Não Existe
BLOGDOMAGNO;2018-05-03 13:33;1;0;deputado quer proibir privatizacoes ultimo ano mandato danilo cabral protocolou hoje pl proibir venda ativos transferencia controle societario empresas publicas sociedades economia mistas ultimo ano mandato d189574  ;;;;992079663509004288;https://twitter.com/BLOGDOMAGNO/status/992079663509004288;['positivo'];Não Existe
tvsbuna;2018-04-28 08:55;0;0;aumento anunciado celpe conta luz e cancelado justica decisao acatada apos acao judicial impetrada deputado federal danilo cabral psb contra aumento adocelpecontaluzcanceladojustica;;;;990197733268099072;https://twitter.com/tvsbuna/status/990197733268099072;['positivo'];Não Existe
saloanoticias;2018-04-28 08:29;0;1;justia suspende aumento da conta de energia a pedido do deputado danilo cabral psb saloanoticias4063justicas uspendeaumentocontaenergiapedidodeputadodanilocabralpsb ;;;;990191265697488896;https://twitter.com/saloanoticias/status/990191265697488896;['positivo'];Não Existe
julio2906;2018-04-27 20:50;0;0;o pais hidrografia matas ciliares reservatorios barragens usinas hidreletricas linhas transmissao subestacoes agradecem engajamento junto deputado danilo cabral frentes parlamentares contra entrega eletrobras;;;#ForaTemer;990015364850384897;https://twitter.com/julio2906/status/990015364850384897;['negativo'];Não Existe
jairogaraujo;2018-04-27 16:34;0;0;acao judicial movida deputado danilo cabral semana aneel anunciou reajuste 41 vigorar partir deste domingo o deputado federal danilo cabral blogdojairogomes201804justic suspendeaumentocontaluzhtmlspref;;;;989950945395126277;https://twitter.com/jairogaraujo/status/989950945395126277;['positivo'];Não Existe
