username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
lisandroenrico;2018-06-11 20:20;0;1;visit a una de las primeras escuelas de la regin la escuela dr felipe carreras n institucion ubicada en barrio con el paso del tiempo dio origen el establecimiento fundo en escuche sus necesidades ;;;#MELINCU #SanUrbano #Melincu;1006315193159290880;https://twitter.com/lisandroenrico/status/1006315193159290880;['positivo'];Venado Tuerto - Argentina
dracked14;2018-06-11 17:26;0;0;carreras despacito  el videojuego;;;;1006271391056793600;https://twitter.com/dracked14/status/1006271391056793600;['negativo'];Argentina
dracked14;2018-06-11 17:26;0;0;carreras despacito  el videojuego;;;;1006271391040266240;https://twitter.com/dracked14/status/1006271391040266240;['negativo'];Argentina
helioguabiraba;2018-06-11 13:11;0;0;esse e primeiro exemplo nova sede uniao clubes importante comunidade mais vez parabens deputado federal transformarem sonho realidade;;@felipecarreras @geraldojulio40 @paulocamara40 @anapaulavileal;#oTrabalhoNaoPara;1006207179496534016;https://twitter.com/helioguabiraba/status/1006207179496534016;['negativo'];Recife, Brazil
Piplash;2018-06-11 11:37;0;0;puta mas alla la psu valga callampa solo sacar puntajes relativamente altos opciones postular becas y las carreras quieras donde quieras asi funciona y mas en contra uno este del sistema sacar puntajes bajos va ayudar en nada;;;;1006183526935474176;https://twitter.com/Piplash/status/1006183526935474176;['positivo'];Rancagua, Chile
lu17com;2018-06-11 10:12;0;0;fin de semana salvaje en la ciudad  semanasalvajeciudadel  saldo policial del fin semana fue abultado carreras clandestinas motos accidentes transito y controles en locales nocturnos gladys videla dialogo en trelew noticias con el comisario felipe gonzalez quien ;;;;1006162319636770816;https://twitter.com/lu17com/status/1006162319636770816;['positivo'];Puerto Madryn, Argentina
PhipeSaurio;2018-06-11 02:52;0;0;me ha gustado un video  vikingas en pubg en espaol goth;;@YouTube;;1006051640737259520;https://twitter.com/PhipeSaurio/status/1006051640737259520;['neutro'];Valparaíso, Chile
cervera_f;2018-06-10 22:04;0;0;es todo un malabar cierto los alumnos tienen necesidades pero eso hay varias carreras sin futuro habria hallar un equilibrio la oferta laboral y la vocacion los alumnos imposible eliminar los modelos economicos;;;;1005978972679823361;https://twitter.com/cervera_f/status/1005978972679823361;['negativo'];Mérida, Yucatán
ADuranFranco2;2018-06-10 20:45;0;0;tercera entrada fatidica el ;;;#PlayoffsLMB;1005959292019671040;https://twitter.com/ADuranFranco2/status/1005959292019671040;['positivo'];
Felipemunoz_19;2018-06-10 14:26;0;1;y la etica profesional acaso les ensean eso l es sus carreras;;;;1005863751676030982;https://twitter.com/Felipemunoz_19/status/1005863751676030982;['negativo'];Bogotá, D.C., Colombia
rmprensa;2018-06-10 12:36;1;8;campos racing largo  y termino  en la carrera la en spafrancorchamps el marplatense sigue  en el campeonato puntos del lider felipe drugovich gano las carreras solo siebert en estoril lo pudo vencer 1nrw1yqub;;@marcossiebert1 @ef_open;#EFOpen;1005836130607083521;https://twitter.com/rmprensa/status/1005836130607083521;['negativo'];Buenos Aires, Argentina  🇦🇷
El_Tronico85;2018-06-10 11:40;0;0;pierdo con argumento pq si hay buenas ues y carreras q pagar el cae es un tema y existen becas mercado laboral chileno es bueno si va bn aca con carrera donde relacion todo eso con publico vs privado educ lo veo creo q son excusas solamente;;;;1005822023266983936;https://twitter.com/El_Tronico85/status/1005822023266983936;['positivo'];Providencia, Chile
granputeadorx;2018-06-10 10:31;0;0;el teniente general la cuarta legion tiene carreras y coeficiente intelectual y es cinturon negro dab yo coeficiente intelectual cinturon negro dan ingeniero redes latin ingles y cargaba claves millones en segundos felipe caca 5yk0;;;;1005804733888679936;https://twitter.com/granputeadorx/status/1005804733888679936;['neutro'];
El_Tronico85;2018-06-09 18:07;1;3;segun tus conclusiones alemania es comunista jamas he dicho eso te pena algo y terminas la frase diciendo jajajararo en chile hay buenas carreras hay q estudiar esas la gente si tiene hijos y aveces muy joven hay becas y formas pago weon raro;;;;1005557064847036417;https://twitter.com/El_Tronico85/status/1005557064847036417;['positivo'];Providencia, Chile
jesus_felipe;2018-06-09 17:58;0;0;hola luis manuel ya trasmitan todo el dia todos los dias formula francamente estar pagando ver carreras fracciones tiempo vale la pena porque las peliculas la mayoria sirve reinstalen canal f1 latinamerica;;@chacho_lml;;1005554699054010368;https://twitter.com/jesus_felipe/status/1005554699054010368;['positivo'];
Felipemercader;2018-06-09 15:23;0;1;que pais generoso ud senador los problemas vendran desde triunfaron las invasiones inglesas que dejaron regalos un charles y otro un carreras;;;;1005515747269971968;https://twitter.com/Felipemercader/status/1005515747269971968;['positivo'];Montevideo. Uruguay
andersonaraujop;2018-06-08 05:23;1;0;deputado federal felipe carreras apresentou dois pls reducao indice ir academias pessoa fisica deduzir ir gastos academias nutricionistas educador fisico blogdoandersonpereira201806politi capraticaexerciciofisicohtmlspref;;;;1005002244922707970;https://twitter.com/andersonaraujop/status/1005002244922707970;['positivo'];Goiana, Pernambuco, Brazil
giromatanorte;2018-06-07 16:34;0;1;incentivar pratica atividade fisica forma massiva e intencao dois projetos lei apresentados semana deputado federal felipe carreras o pl  ticaexerciciofisicoincentivadadoisprojetoslei;;;;1004808795669663744;https://twitter.com/giromatanorte/status/1004808795669663744;['positivo'];Pernambuco, Brazil
PGuibson;2018-06-07 09:20;0;0;parabens projeto deputado os profissionais educacao fisica agradece;;;;1004699580221489152;https://twitter.com/PGuibson/status/1004699580221489152;['positivo'];
ClubBMXmzl;2018-06-07 01:23;0;0;falta poco muy poco menos una hora poder ver las carreras felipe jaramillo en el campeonato mundial bak aqui les compartimos el link pierdan ningun detalle la carrera ;;;;1004579548946722816;https://twitter.com/ClubBMXmzl/status/1004579548946722816;['positivo'];Manizales, Colombia
F1Kokko;2018-06-06 13:27;0;0;ms carreras finalizadas  michael schumacher  fernando alonso  jenson button  felipe massa  rubens barrichello  kimi ri8ye4zzckvh;;;#F1 #DatoF1;1004399276347281409;https://twitter.com/F1Kokko/status/1004399276347281409;['negativo'];Entre Ríos, Argentina
F1Kokko;2018-06-06 12:15;0;0;mayora de carreras disputadas  rubens barrichello  jenson button  michael schumacher  fernando alonso  kimi ri4ervznozf;;;#F1 #DatoF1;1004381196007206912;https://twitter.com/F1Kokko/status/1004381196007206912;['negativo'];Entre Ríos, Argentina
ParlaTube;2018-06-06 11:57;0;0;homenagem anos lei n 9698 dep felipe carreras psbpe ;;;;1004376649352273921;https://twitter.com/ParlaTube/status/1004376649352273921;['negativo'];Brasília
ParlaTube;2018-06-06 11:57;0;0;homenagem anos lei n 9698 dep felipe carreras psbpe ;;@felipecarreras;;1004376635192246273;https://twitter.com/ParlaTube/status/1004376635192246273;['negativo'];Brasília
leticiasnds;2018-06-05 18:00;0;0;ficaria algum coroa tipo felipe carreras  5125375531528232412 ;;;;1004105632721629189;https://twitter.com/leticiasnds/status/1004105632721629189;['negativo'];Recife, Brasil
seba_yy;2018-06-03 09:27;0;0;el q desconoce la realidad sos hay una universidad cerca del conurbano hay y en un radio kms dando las mismas carreras ;;;;1003251827452850177;https://twitter.com/seba_yy/status/1003251827452850177;['positivo'];Não Existe
sinergialary;2018-06-01 16:00;0;0; impressionante quanto vovo gosta volei fica empolgada e disse brasil vir pra ca vai assistir agiliza ai pra levar veia;;@felipecarreras;;1002625887077109760;https://twitter.com/sinergialary/status/1002625887077109760;['negativo'];Recife, Pernambuco
Ligpatincarrera;2018-05-31 12:52;0;0;alimentacin sana orientada al deportista hoy jueves 052018 desde las 00 hrs sala reunion liga patin carreras enen felipe maffet gratis el cajon la vega;;;;1002216344740352001;https://twitter.com/Ligpatincarrera/status/1002216344740352001;['negativo'];Rondizzoni s/n Parque O´higgin
Anisinho_Neto;2018-05-31 09:50;0;1; bom ser sport tenho pena  status1002156381250768896 ;;@SPontual @felipecarreras @htfigueira @BrunoRegoBG;;1002170356537462785;https://twitter.com/Anisinho_Neto/status/1002170356537462785;['positivo'];Recife
saviorito;2018-05-29 15:56;0;6;felipe mora un grande turquia galatasaray pero recordemos la liga mx hace mas matar carreras los jugadores es mejor ir argentina romperla vs patronato y dejen pegar patadas partido  s1001535142475763712 ;;;;1001537758530240513;https://twitter.com/saviorito/status/1001537758530240513;['negativo'];todo coherente.
entrecasafinca;2018-05-27 18:41;0;0;fedepatincol oro colombia en los 00 metros del patinaje carreras en juegos suramericanos cocha2018 oro pedro causil plata juan cruz bronce andrs felipe muoz olim1 sportnautas colombiasports ;;;;1000854583504187392;https://twitter.com/entrecasafinca/status/1000854583504187392;['negativo'];Bogotá, D.C., Colombia
casasyfincascol;2018-05-27 18:41;0;0;fedepatincol oro colombia en los 00 metros del patinaje carreras en juegos suramericanos cocha2018 oro pedro causil plata juan cruz bronce andrs felipe muoz olim1 sportnautas colombiasports 0nr4zxn;;;;1000854448829292546;https://twitter.com/casasyfincascol/status/1000854448829292546;['negativo'];Bogotá, D.C., Colombia
Fedepatincol;2018-05-27 18:25;37;100;oro colombia en los 00 metros del patinaje carreras en juegos suramericanos oro pedro causil plata juan cruz bronce andrs felipe muoz 7m6;;@Cocha2018 @OlimpicoCol @Coldeportes @ACORDCOLOMBIA1 @Sportnautas @colombiasports;;1000850544624373762;https://twitter.com/Fedepatincol/status/1000850544624373762;['negativo'];Bogotá, D.C., Colombia
luiz_zelaquett;2018-05-27 12:27;0;0;campo grande possui nenhuma estacao bikepe acredito falta e sentida muitos outros bairros que tal aproveitar todo caos brasil vascularizar ainda rede bikepe alias outro local poderia ter bikepe e forum rodolfo aureliano;;@felipecarreras;;1000760382775025664;https://twitter.com/luiz_zelaquett/status/1000760382775025664;['negativo'];Recife-PE-BR🇧🇪🦁
DoradosBeisbol;2018-05-27 02:38;0;1;dorados lleva la serie ante venados barrida en la con desventaja carreras los la capital remontan y dejan tendidos en el terreno madera pg felipe hernandez pp adrian irasoke chihuahua pone con record 1 5fmejnbcz;;;#SomosDorados;1000612075033391104;https://twitter.com/DoradosBeisbol/status/1000612075033391104;['positivo'];www.fb.com/DoradosBeisbol2018
123pnz;2018-05-26 08:43;0;1;felipe massa probando con el nuevo formula e ese carreras estilo super mario kart competira alli la proxima temporada 3ut;;;;1000341754183344128;https://twitter.com/123pnz/status/1000341754183344128;['negativo'];
BlogdoTurismoPE;2018-05-25 10:19;0;0;conectividade felipe carreras busca novo voo leia ;;@Shareaholic;;1000003365064060929;https://twitter.com/BlogdoTurismoPE/status/1000003365064060929;['positivo'];
Borjaibanez1;2018-05-25 05:45;4;12;la familia sigue cosechando reconocimientos sin el apoyo y la vision su presidente don felipe vi al principio nuestras carreras el camino seria el mismo  ;;@FPdGi @FPdGi;;999934466066960384;https://twitter.com/Borjaibanez1/status/999934466066960384;['negativo'];Madrid, España
augustosaboia;2018-05-24 18:36;0;0;felipe carreras luta voo recifenova york blogdasppps201805felipe carreraslutavoorecifenovayorkhtmlwwcwujviuuitwitter ;;;#;999766060864765952;https://twitter.com/augustosaboia/status/999766060864765952;['negativo'];Recife
claudinharenata;2018-05-24 05:47;0;0;deputado turismologo preve nada;;;;999572502983725056;https://twitter.com/claudinharenata/status/999572502983725056;['negativo'];Recife, Brasil
INACAP_CONCE;2018-05-23 21:29;0;2;academico chef felipe macera junto tomas olivera y director carreras participan en la segunda version la junto 9al1d7rcn5;;@macerafelipe @TOLChef @SadyUgarte @sonesta;#NocheDelJurel #Asipes;999447208498954240;https://twitter.com/INACAP_CONCE/status/999447208498954240;['negativo'];Autopista 7421, Talcahuano
renatomaranhao;2018-05-23 20:55;0;0;comece medidas competem raio acao ofereca atendimento prioritario hospitais estaduais gratuidade arena pe escolinhas esportivas stos dumond aumente piso salarial prof rede estadual;;@felipecarreras;;999438752987656193;https://twitter.com/renatomaranhao/status/999438752987656193;['positivo'];Recife-PE
renatomaranhao;2018-05-23 20:50;0;0;deputado saiba pais encontra atual situacao atitudes populistas irresponsaveis q sr tomou hj interferindo sobre propriedade privada gostaria saber produtor eventos vou poder entrar eventos caldeirao graca;;@felipecarreras;;999437560509292545;https://twitter.com/renatomaranhao/status/999437560509292545;['positivo'];Recife-PE
renatomaranhao;2018-05-23 20:46;0;0;aproveitando momento populista c outros e refresco produtor evento musicos segurancas vao poder entrar eventos caldeirao graca ne;;;;999436343477460992;https://twitter.com/renatomaranhao/status/999436343477460992;['negativo'];Recife-PE
automocioncr;2018-05-23 11:36;0;0;quinta temporada formula e lo necesitas saber tu guia rapida la proxima generacion carreras electricas el excampeon formula felipe massa regreso al automovilismo especificamente la formula e donde el piloto veterano ;;;;999298098785542144;https://twitter.com/automocioncr/status/999298098785542144;['negativo'];Costa Rica
QualityBeisbol;2018-05-23 00:14;0;0;felipe vazquez quien permitio tres carreras limpias sin retirar bateador alguno el  ;;;;999126294569869312;https://twitter.com/QualityBeisbol/status/999126294569869312;['positivo'];Venezuela
felipecarreras;2018-05-22 18:18;4;16;boa noite pessoal estou brasilia amanha vou apresentar projeto valoriza educador fisico sou admirador profissao contem sempre apoio;;@camaradeputados;#educadorf;999036848914747394;https://twitter.com/felipecarreras/status/999036848914747394;['positivo'];Recife - PE
TwiterosCali;2018-05-22 16:05;10;17;con el titulo en el los escarabajos suman ttulos en las principales carreras ciclismo del mundo uci wt segundos puestos y terceros lugares con el er lugar daniel felipe martinez un total podios 1m;;@Eganbernal @DeportesYMasCol;#AmgenTOC;999003349210025985;https://twitter.com/TwiterosCali/status/999003349210025985;['negativo'];Cali, Colombia
bandolerochato;2018-05-22 05:37;4;3;si la pareja felipe borbon la llaman reina las parejas todos los democratas han estudiado carreras tienen ser llamadas ingenieras biologas abogadas albailas ect ect;;;;998845275262373893;https://twitter.com/bandolerochato/status/998845275262373893;['negativo'];
EllisPerezSr;2018-05-21 22:21;0;0;carreras parecidas en numeroscarty titulo bateo felipe tiene otra dimension pelotero manager grandes ligas y figura preponderante del beisbol;;;;998735466697510912;https://twitter.com/EllisPerezSr/status/998735466697510912;['positivo'];Dominican Republic
helioguabiraba;2018-05-21 22:17;0;1;estive junto deputado federal felipe carreras evento conversando pessoas divulgando acoes realizando longo ano 3c6nptlhbq;;;#oTrabalhoNaoPara #AquiVoceTemVezEvoz #aComunidadeMereceRespeito #UmVereadorComAcaraDaGente #HelioGuabiraba;998734618923814912;https://twitter.com/helioguabiraba/status/998734618923814912;['negativo'];Recife, Brasil
