username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
nunumalau;2018-06-05 02:13;0;1;kalo di lulusan uksw paling banyak doktornya beberapa jadi menteri aurelio guterres menlu rui gomes menkeu francisco gutteres secretary estate security jorge teme dalamnegeri jpbs gastao sousa pu helder costa g7 benjamin corte real untl;;;#TimorLeste;1003867368030760960;https://twitter.com/nunumalau/status/1003867368030760960;['positivo'];East Timor / Timor Leste
rafinhaale;2018-06-04 19:42;0;0;anos tv camara deputado jorge corte real ptbpe ;;;;1003768928148115456;https://twitter.com/rafinhaale/status/1003768928148115456;['positivo'];
MirandaSa_;2018-05-25 20:24;0;3;bota anos nisso amigo jorge atravessou atlantico corte real portuguesa rsrsrsrs;;;;1000155599634657280;https://twitter.com/MirandaSa_/status/1000155599634657280;['positivo'];Rio de Janeiro-RJ
rairusaurus;2018-05-19 10:19;7;49;y al tiempo fue nombrado uno los musicos camara la corte real inglesa y uso cancion la coronacion jorge i bueno una version un poco editada un poco radio edit remix quieras llamarlo pero venia del culo luis xiv inevitablemente;;;;997829103716851714;https://twitter.com/rairusaurus/status/997829103716851714;['positivo'];versalles
BarretoEcbf;2018-05-09 22:16;0;0;pe adalberto cavalcantiandre paulaaugusto coutinhobetinho gomesbruno araujoeduardo cadocadaniel coelhofernando coelho filhofernando monteirojarbas vasconcelosjoao fernando coutinhojorge corte real kaio manicobamarinaldo rosendomendonca filhoricardo teobaldo;;;;994385769363136512;https://twitter.com/BarretoEcbf/status/994385769363136512;['positivo'];Pernambuco, Brazil
Jovair1414;2018-05-09 17:37;0;1;parabens deputado federal jorge corte real  ;;;;994315407250067461;https://twitter.com/Jovair1414/status/994315407250067461;['positivo'];Goiânia, GO
lelemachado;2018-05-07 21:53;0;1;eu acho jorge meio zzzzz fazer curto olha gosto murilo eterno corte real;;;;993655055277527046;https://twitter.com/lelemachado/status/993655055277527046;['positivo'];Beyhive
EdmarLyra;2018-05-07 19:02;0;1;jorge corte real participa assembleia amupe edmarlyrajorgecortere alparticipaassembleiaamupe 4yrpvhtj;;;;993611978613633029;https://twitter.com/EdmarLyra/status/993611978613633029;['positivo'];Recife - PE.
blogdafolha;2018-05-07 12:22;0;1;participam reuniao senador humberto costa pt deputados federais silvio costa avante bruno araujo psdb wolney queiroz pdt danilo cabral psb tadeu alencar psb jorge corte real ptb andre paula psd ;;;;993511402898944002;https://twitter.com/blogdafolha/status/993511402898944002;['positivo'];Recife - Pernambuco
chicodaboleia;2018-05-02 08:22;0;2;para relator deputado jorge corte real proposta cria medidas protetivas motoristas pode trazer seguranca estradas examesaudeobrigatoriocaminhoneirosautonomos;;;;991639007145676802;https://twitter.com/chicodaboleia/status/991639007145676802;['positivo'];Brasil
eduardonino;2018-04-28 13:39;0;0;anotem os nomes desses li augusto coutinho adalberto bruno araujo eduardo fonte fernando coelho fernando monteiro joao fernando coutinho  ausente jorge corte real luciano bivar marinaldo rezende facebookeduardosilvas ouzaposts1776537675701441 ;;;;990269387847426049;https://twitter.com/eduardonino/status/990269387847426049;['positivo'];Brazil
alvaroporto_pe;2018-04-21 20:03;0;2;acompanhado deputado federal jorge corte real ontem brejao agreste estado visitando amigo janduhy diversas liderancas municipio;;;;987829202635259904;https://twitter.com/alvaroporto_pe/status/987829202635259904;['positivo'];Pernambuco, Brazil
alvaroporto_pe;2018-04-20 18:32;0;3;prestigiando festival viva dominguinhos garanhuns lado prefeito izaias regis vice haroldo vicente deputado federal jorge corte real;;;;987444004403924992;https://twitter.com/alvaroporto_pe/status/987444004403924992;['positivo'];Pernambuco, Brazil
EdmarLyra;2018-04-20 11:12;0;0;jorge corte real prestigia viva dominguinhos edmarlyrajorgecortere alprestigiavivadominguinhos ;;;;987333132008509441;https://twitter.com/EdmarLyra/status/987333132008509441;['positivo'];Recife - PE.
EdmarLyra;2018-04-05 11:20;0;0;jorge corte real vota favor agentes comunitarios saude edmarlyrajorgecortere alvotafavoragentescomunitariossaude 06r;;;;981899262228299777;https://twitter.com/EdmarLyra/status/981899262228299777;['positivo'];Recife - PE.
SINAITbr;2018-03-19 15:11;0;0;sinait dspe intercedem bonus junto deputado jorge corte real iewid15517 ;;;;975796916075290625;https://twitter.com/SINAITbr/status/975796916075290625;['positivo'];
zero83oficial;2018-03-16 14:38;0;0;jorge corte real apresenta projeto transforma crime compartilhamento noticia falsa ;;;;974701438411706368;https://twitter.com/zero83oficial/status/974701438411706368;['positivo'];Paraíba
PolemicaParaiba;2018-03-16 13:25;0;0;jorge corte real apresenta projeto transforma crime compartilhamento noticia falsa http;;;;974683186751049728;https://twitter.com/PolemicaParaiba/status/974683186751049728;['positivo'];Paraíba
blogdoelielson;2018-03-13 17:14;0;0;jorge corte real jose humberto reafirmam parcerias mata norte blog elielson lima ;;;;973653572012429317;https://twitter.com/blogdoelielson/status/973653572012429317;['positivo'];Pernambuco, Brasil
ptb14;2018-03-13 14:49;1;2;jorge corte real apresenta projeto transforma crime compartilhamento noticia falsa ;;;;973617067353169920;https://twitter.com/ptb14/status/973617067353169920;['positivo'];Brasil
