username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
cidcleybuarque;2018-06-11 19:31;0;1;vossa excelencia;;;;1.0063028767701934e+18;https://twitter.com/cidcleybuarque/status/1006302876770193413;['negativo'];Não Existe
cidcleybuarque;2018-06-11 19:29;0;1;acho vossa senhoria ser parlamentar candidato deveria ter prudencia divulgacao noticia hoje recebi materia uol falando fhc defendendo lula abrir nada daquilo meu voto ainda e pudente;;;;1.0063023358265632e+18;https://twitter.com/cidcleybuarque/status/1006302335826563072;['positivo'];Não Existe
tradespy1900;2018-06-11 14:24;0;1;uol deputado serio se possivel poste video disse seria interessante pois reportagem e dito fica pergunta aborto deputado isso pode;;;;1.0062256421097184e+18;https://twitter.com/tradespy1900/status/1006225642109718530;['neutro'];Não Existe
carteira_certa;2018-06-11 13:31;0;1;podiamos esterilizar politicos;;;;1.0062122882384896e+18;https://twitter.com/carteira_certa/status/1006212288238489602;['neutro'];Não Existe
pedrotopspin;2018-06-11 12:38;0;1;no papo eh lindo pena ninguem faz;;;;1.0061989513835766e+18;https://twitter.com/pedrotopspin/status/1006198951383576576;['negativo'];Não Existe
luiz_1711;2018-06-11 12:30;0;1;esse imbecil pensa seriado westworld fantasiado clint eastwood;;;;1.0061970454289368e+18;https://twitter.com/luiz_1711/status/1006197045428936704;['negativo'];Não Existe
BrasilLibre;2018-06-10 17:57;0;0;betinho juntar dois irao longr torco;;@meirelles;;1.0059169900689284e+18;https://twitter.com/BrasilLibre/status/1005916990068928513;['negativo'];Não Existe
coachsandrolima;2018-06-10 10:49;1;8;o judiciario e primeiro pedir estado com ferias dias folgas trabalham pouco ainda querem funcionarios absurdo  ;;@DanielCoelho23 @anaamelialemos @Sen_Cristovam @betinhogomes @jairbolsonaro @MonicaWaldvogel @FamiliaemPauta @DepSheridan;;1.0058091907603374e+18;https://twitter.com/coachsandrolima/status/1005809190760337409;['negativo'];Não Existe
mlopez_16;2018-06-10 05:37;0;4;puntos valoracion onte betinho gomes finais  atus1005548922004271106 ;;;#LegaA;1.0057307747532064e+18;https://twitter.com/mlopez_16/status/1005730774753206272;['neutro'];Não Existe
brazjljunior1;2018-06-09 16:49;0;0;novos municipio quantos o brasil sim ter novos municipios agora trabalho;;;;1.0055374683876804e+18;https://twitter.com/brazjljunior1/status/1005537468387680262;['negativo'];Não Existe
TLoren2;2018-06-08 18:05;0;0;158;;;;1.005194121202602e+18;https://twitter.com/TLoren2/status/1005194121202601986;['negativo'];Não Existe
sf79;2018-06-08 10:23;0;1;conta pra mae geraldo;;;;1.0050778325891032e+18;https://twitter.com/sf79/status/1005077832589103105;['negativo'];Não Existe
jaylanferreira;2018-06-08 10:10;0;1;hehehhe sensacional;;;;1.0050744675912786e+18;https://twitter.com/jaylanferreira/status/1005074467591278593;['positivo'];Não Existe
sf79;2018-06-08 09:40;0;0;deputado sujeite ficando feio parece coisa crianca;;;;1.0050669157930476e+18;https://twitter.com/sf79/status/1005066915793047552;['negativo'];Não Existe
MrIsmaelOliver;2018-06-07 14:40;0;0;nao podemos aceitar gastos;;;;1.0047801822286848e+18;https://twitter.com/MrIsmaelOliver/status/1004780182228684800;['positivo'];Não Existe
tradespy1900;2018-06-07 13:37;0;1;avante deputado votei pai jaboatao bora trabalhar representar chega estado a sociedade clama reducao;;;;1.0047642638006272e+18;https://twitter.com/tradespy1900/status/1004764263800627201;['negativo'];Não Existe
tiagomorais87;2018-06-07 12:52;0;0;vai botar casaco petrobras pra ir pra sabatina ;;;;1.0047528581164442e+18;https://twitter.com/tiagomorais87/status/1004752858116444160;['negativo'];Não Existe
AliomarCamara;2018-06-07 11:11;0;1;campanha e tipo vado debates perde uns votos perde milhares;;;;1.0047275373632922e+18;https://twitter.com/AliomarCamara/status/1004727537363292161;['positivo'];Não Existe
luiz_1711;2018-06-07 10:47;0;0; descobriu da pra ir fantasiado clint eastwood ;;;;1.0047214177982012e+18;https://twitter.com/luiz_1711/status/1004721417798201345;['negativo'];Não Existe
sf79;2018-06-07 10:16;0;0;quer falar sobre pcc nasceu estado sao paulo ou falar sobre aecim continua psdb sobre presidencia geraldo;;;;1.004713665268994e+18;https://twitter.com/sf79/status/1004713665268994048;['positivo'];Não Existe
sokris;2018-06-07 09:02;0;0;parabens continue luta;;;;1.0046949695657615e+18;https://twitter.com/sokris/status/1004694969565761537;['negativo'];Não Existe
vfmauricio6;2018-06-07 08:41;0;0;e ainda reclamam prejuizo causado greve caminhoneiros que belo exemplo parlamentares;;@betinhogomes;;1.0046899059376783e+18;https://twitter.com/vfmauricio6/status/1004689905937678338;['negativo'];Não Existe
RenovaPSDB;2018-06-07 08:37;0;3;estamos melhores deputados esse plp e absurdo  tatus1004529874990764032 ;;@betinhogomes @Rede45;;1.0046888446613792e+18;https://twitter.com/RenovaPSDB/status/1004688844661379072;['negativo'];Não Existe
arnaudmattoso;2018-06-07 07:43;0;1;o eleitor deveria rejeitar veemencia tipo candidato que foge que esconde propaganda revela vera olho olho face face para imprensa diante populacao este tipo candidato e perigoso deve ser rejeitado;;;;1.004675118621184e+18;https://twitter.com/arnaudmattoso/status/1004675118621184000;['negativo'];Não Existe
alisson_delima;2018-06-07 07:35;0;0;nossa publica estou vinculando link onde posso redes sociais paginas diario jornal enfim pra ve povo acorda;;;;1.0046731036523766e+18;https://twitter.com/alisson_delima/status/1004673103652376576;['negativo'];Não Existe
alisson_delima;2018-06-07 06:55;0;0;legal ao menos ganhou tempo fico pensando passagens abusivas metro ficou o povo perdeu pros empresarios a mesma acao outros estados aqui pernambuco aceitamos;;;;1.0046631919920004e+18;https://twitter.com/alisson_delima/status/1004663191992000512;['positivo'];Não Existe
juizrafael;2018-06-07 04:40;3;11;parabens deputado cidadao precisa vereadores sim professores medicos  tatus1004529874990764032 ;;@betinhogomes;;1.0046291369823804e+18;https://twitter.com/juizrafael/status/1004629136982380545;['positivo'];Não Existe
GusC7694;2018-06-06 22:50;0;0;parabens deputado;;;;1.0045410563089736e+18;https://twitter.com/GusC7694/status/1004541056308973570;;Não Existe
sidney_stocco;2018-06-06 22:37;0;0;ja diminuir municipios pequenos existentes ainda queriam aumentar quantidade lamentavel;;;;1.004537786475647e+18;https://twitter.com/sidney_stocco/status/1004537786475646977;;Não Existe
JSDesporto1;2018-06-06 20:57;0;0;trento betinho gomes perde primeiro jogo final  cphpt284864 ;;;;1.0045127257567272e+18;https://twitter.com/JSDesporto1/status/1004512725756727302;;Não Existe
sf79;2018-06-06 19:52;0;0;se quer ficar governo e melhor entrar vice bolsonaro;;@geraldoalckmin;;1.004496232281264e+18;https://twitter.com/sf79/status/1004496232281264130;;Não Existe
rosa_riscala;2018-06-06 19:51;0;1;boa deputado;;;;1.0044960476227748e+18;https://twitter.com/rosa_riscala/status/1004496047622774785;;Não Existe
PSDB45PE;2018-06-06 18:17;0;1;psdbpe apresenta projeto melhora rendimento fgts o pl 40 busca igualar remuneracao fgts rendimentos poupanca leia ;;@betinhogomes;#trabalhador #FGTS #PSDBPE;1.0044722897343816e+18;https://twitter.com/PSDB45PE/status/1004472289734381569;;Não Existe
HUGOTAFAREL;2018-06-06 15:49;0;1;perde controle contra adolescente contra pessoa preparada nao consegue debater nunca;;;;1.0044349993560678e+18;https://twitter.com/HUGOTAFAREL/status/1004434999356067842;;Não Existe
