username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
CarlosTufvesson;2018-05-31 11:19;1;4;parabens deputado daniel coelho chega tanta demagogia 0aax4l5sk;;@pps23;;1.002192882911019e+18;https://twitter.com/CarlosTufvesson/status/1002192882911019008;['negativo'];Rio de Janeiro
WanderMegaByte;2018-05-30 13:15;0;0;deputado federal daniel coelho pps pe orientando voto bancada pps congresso vejam votando pais sendo tomado movimento caminhoneiros este e video devemos todos facebookwanderleytriv ideos1889724604423270;;;#Compartilhar;1.0018595736811316e+18;https://twitter.com/WanderMegaByte/status/1001859573681131521;['negativo'];Belo Horizonte, Brazil
mhmmelo;2018-05-29 16:46;0;6;recomendo todos verem video hoje depoimento deputado daniel coelho ppspe sobre mp criacao cargos comissionados meio greve caminhoneiros retirado canal parlatubebrasil video completo youtubewatchtimecon tinue64vrbhnosqiabs  3amrkwsm;;@DanielCoelho23;;1.0015503749380548e+18;https://twitter.com/mhmmelo/status/1001550374938054656;['negativo'];Santa Bárbara d'Oeste, Brasil
MOACIRP42224337;2018-05-28 16:19;1;1;deputado daniel coelho parabns pelas palavras contra contratao de mais vagabundos caros para o povo pagar esperamos que sejam honestas e verdadeiras;;;;1.0011812079740396e+18;https://twitter.com/MOACIRP42224337/status/1001181207974039552;['positivo'];
LucasJJSCCP;2018-05-27 19:03;0;0;parabens deputado daniel coelho ppspe o analiso video e carreira politica pois no o conheo merece aplausos deveria ser normal padrao politicos e ouvimos analise sensata devemos valorizar 6vngm;;;;1.0008601098017752e+18;https://twitter.com/LucasJJSCCP/status/1000860109801775105;['positivo'];Ribeirão Preto, Brasil
PetronioSanto;2018-05-26 09:56;1;1;cade deputado federal gosta fazer videos redes socias cade daniel coelho pra falar eloracao categoria donos postos gasolina;;;;1.000360080330707e+18;https://twitter.com/PetronioSanto/status/1000360080330706944;['negativo'];Recife Brasil
naggyinho;2018-05-24 08:15;0;1;enquanto crise abastecimento vai atingir alimentos parece disneylandia chamado congresso nada acontecendo tao votando mais cargos comissionados criacao mais municpios boa deputado daniel coelho mostrar  status999403330890846208 ;;;;9.996097973171855e+17;https://twitter.com/naggyinho/status/999609797317185536;['neutro'];Olinda, Brasil
VemPraRuaSampa;2018-05-23 11:37;1;0;o deputado daniel coelho comenta sobre absurdo projeto lei aprovado permitira criacao novos municipios acesse ajude pressionar deputados estado votem contra projeto facebookvempraruasaopa uloposts1617455514968435 ;;;;9.992983552882564e+17;https://twitter.com/VemPraRuaSampa/status/999298355288256518;['positivo'];Sao Paulo, Brasil
VemPraRua_br;2018-05-23 11:26;163;376;o deputado daniel coelho comenta sobre absurdo projeto lei aprovado permitira criacao novos municipios acesse ajude facebookvempraruanetvideos1060095234171824 ;;;;9.992954871393076e+17;https://twitter.com/VemPraRua_br/status/999295487139307521;['positivo'];
Wanlennon;2018-05-23 01:20;1;0;na semana passada camara deputados aprovou regime urgencia tramitacao plp1372015 preve criacao centenas novos municipios o deputado daniel coelho ppspe gravou facebookwanlennonpos ts1726276937410011 ;;;#ABSURDO;9.991430651881718e+17;https://twitter.com/Wanlennon/status/999143065188171777;['positivo'];Santos, SP, Brasil e San Diego, CA, EUA
JUBIRACY;2018-05-23 00:42;0;0;na semana passada aprovou regime urgencia p tramitacao plp 2015 q preve criacao centenas novos municipios o deputado daniel coelho ppspe gravou video logo apos votacao icareta facebookvempraruanetvideos1059348310913183;;@DanielCoelho23 @camaradeputados @RodrigoMaia;;9.991333984290612e+17;https://twitter.com/JUBIRACY/status/999133398429061120;['positivo'];Toronto - Canadá
LuizaSantaCruz;2018-05-22 12:52;0;0;na semana passada camara deputados aprovou regime urgencia tramitacao plp 2015 preve criacao centenas novos municipios o deputado daniel coelho gravou video logo apos facebookescolaalvaroli nsposts1883528108377923 ;;;;9.98954788199977e+17;https://twitter.com/LuizaSantaCruz/status/998954788199976961;['positivo'];Brasil
tech_cpu;2018-05-22 11:20;0;0;alerta mais gastos vir na semana passada camara aprovou regime urgencia tramitacao plp 2015 preve criacao centenas novos municipios o deputado daniel coelho facebooktechcpustipos ts10213828775927968 ;;;;9.98931505601794e+17;https://twitter.com/tech_cpu/status/998931505601794048;['positivo'];Tucuruí, Pará, Brasil
VemPraRuaSampa;2018-05-22 07:59;0;0;na semana passada camara deputados aprovou regime urgencia tramitacao plp 2015 preve criacao centenas novos municipios o deputado daniel coelho ppspe gravou video facebookvempraruasaopa uloposts1616385401742113 ;;;;9.988809931205304e+17;https://twitter.com/VemPraRuaSampa/status/998880993120530432;['positivo'];Sao Paulo, Brasil
