username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
Joaovaladares;2018-06-11 17:37;0;1;precandidaturas armando mendonca filho lancadas o principal articulador e senador fernando bezerra coelho ninguem escutou nome michel temer ;;;;1006274304051499013;https://twitter.com/Joaovaladares/status/1006274304051499013;['positivo'];Não Existe
eduardonino;2018-06-11 10:22;0;0;retweeted eduardo deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;@eduardonino @VAuiar;;1006164742430449664;https://twitter.com/eduardonino/status/1006164742430449664;['negativo'];Não Existe
FernandoPoeta_;2018-06-11 07:03;0;2;vo embora vou ficar sozinho pior filho vai ficar amor fotografia rodrigues lima ;;;;1006114623504994304;https://twitter.com/FernandoPoeta_/status/1006114623504994304;['negativo'];Não Existe
eduardonino;2018-06-10 22:27;2;2;retweeted eduardo deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;@eduardonino;;1005984805434155013;https://twitter.com/eduardonino/status/1005984805434155013;['negativo'];Não Existe
eduardonino;2018-06-10 21:46;5;6;deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;;;1005974426075189250;https://twitter.com/eduardonino/status/1005974426075189250;['negativo'];Não Existe
eduardonino;2018-06-10 21:45;3;3;deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;;;1005974256776171520;https://twitter.com/eduardonino/status/1005974256776171520;['negativo'];Não Existe
eduardonino;2018-06-10 21:44;1;0;deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;;;1005974085732626433;https://twitter.com/eduardonino/status/1005974085732626433;['negativo'];Não Existe
liberalwyz;2018-06-07 12:38;0;0;proliferacao vermes antonio coelho dem filho senador fernando bezerra coelho e precandidato deputado estadual;;;;1004749394254671875;https://twitter.com/liberalwyz/status/1004749394254671875;['negativo'];Não Existe
iodelson;2018-06-04 12:41;1;1;antonio coelho dem filho senador fernando bezerra coelho e precandidato deputado estadual politica brasil e de pai pra filho oantagonistabrasilfilhinh papai;;;;1003663162418311168;https://twitter.com/iodelson/status/1003663162418311168;['negativo'];Não Existe
Sdrux1;2018-06-01 08:09;0;0; antonio coelho dem filho senador fernando bezerra coelho e precandidato deputado estadual  marcelo crivella filho prb filho prefeito rio deve ser candidato deputado federal;;;;1002507437558124545;https://twitter.com/Sdrux1/status/1002507437558124545;['negativo'];Não Existe
Deborahzuh;2018-05-30 22:48;0;0;e vcs queriam privatizacao conseguindo junto temer parente falado ex ministro minas energia fernando coelho filho temer outubro programa roda viva possibilidade disso acontecer ta acontecendo;;;;1002003942337851394;https://twitter.com/Deborahzuh/status/1002003942337851394;['positivo'];Não Existe
CezarKhalili;2018-05-30 20:00;0;0;ministro minas energia fernando coelho filho nao faz porra nenhum ganha bem;;;;1001961473789263872;https://twitter.com/CezarKhalili/status/1001961473789263872;['negativo'];Não Existe
Sofimagal;2018-05-30 15:03;1;0;fernando coelho filho nunca mais ;;;;1001886869699874818;https://twitter.com/Sofimagal/status/1001886869699874818;['negativo'];Não Existe
VDJRudy;2018-05-28 13:04;0;0;antonio coelho dem filho senador fernando bezerra coelho e precandidato deputado estadual;;;;1001132107056533507;https://twitter.com/VDJRudy/status/1001132107056533507;['negativo'];Não Existe
fernando_aun;2018-05-25 15:41;0;0;bruno manda abraco pra esposa filho natalia leonardo coelho;;;#voleinosportv;1000084446463365126;https://twitter.com/fernando_aun/status/1000084446463365126;;Não Existe
BetoPereira19;2018-05-24 12:02;0;0;lembrar e tao facil o ministro minas energia fernando coelho filho destacou geracao empregos novos contratos estamos falando milhares empregos alguns milhoes investimento precisamos sim aproveitar dessa riqueza brasil abencoado;;;;999666982235656194;https://twitter.com/BetoPereira19/status/999666982235656194;;Não Existe
fernando_galera;2018-05-23 21:44;0;0;e acaso mentiu qualquer pesquisa mediocre indica quanto maior grau instrucao menor numero filhos por outro lado pobre analfabeto sai fazendo filho igual coelho reclama ter condicao criar filhos ajudando governo;;;;999451107620544512;https://twitter.com/fernando_galera/status/999451107620544512;;Não Existe
AnaliseEnergia;2018-05-23 09:56;2;9;comeca enase maior evento setor eletrico ministro minas energia moreira franco veio exministro fernando coelho filho circula conferencia assim outros nomeschave tempos gestao mme paulo pedrosa luiz barroso 7tyfn2szl;;;;999272775486406657;https://twitter.com/AnaliseEnergia/status/999272775486406657;;Não Existe
dyogoalvaro;2018-05-22 17:56;0;0;miguel coelho e filho fernando bezerra coelho  atus999030849378181120 ;;;;999031157013532673;https://twitter.com/dyogoalvaro/status/999031157013532673;;Não Existe
charlesaraujox;2018-05-19 20:34;0;0;fernando filho abertura memorial geomarco coelho dormentespe ;;;;997983811920019456;https://twitter.com/charlesaraujox/status/997983811920019456;;Não Existe
charlesaraujox;2018-05-19 13:04;0;0;fernando filho abertura memorial geomarco coelho dormentespe ernandofilhoaberturamemorialgeomarcocoelhodormentespe;;;;997870687757983746;https://twitter.com/charlesaraujox/status/997870687757983746;;Não Existe
charlesaraujox;2018-05-19 11:57;0;0;fernando filho memorial geomarco coelho http;;@YouTube;;997853823606673409;https://twitter.com/charlesaraujox/status/997853823606673409;;Não Existe
blogricardoant;2018-05-16 11:37;0;0;empresa menos anos mercado ganha licitacao milionaria prefeitura petrolina o prefeito miguel coelho e filho senador fernando bezerra coelho e reu lava jato mercadofazliveganhalicitacaomilionariasaojoaopetrolinamiguelcoelho;;;;996761544154370049;https://twitter.com/blogricardoant/status/996761544154370049;;Não Existe
BarretoEcbf;2018-05-09 22:16;0;0;pe adalberto cavalcantiandre paulaaugusto coutinhobetinho gomesbruno araujoeduardo cadocadaniel coelho fernando coelho filho fernando monteirojarbas vasconcelosjoao fernando coutinhojorge corte realkaio manicobamarinaldo rosendomendonca filho ricardo teobaldo;;;;994385769363136512;https://twitter.com/BarretoEcbf/status/994385769363136512;;Não Existe
nossavozonline;2018-05-07 11:12;0;0;fernando bezerra coelho comenta indicacao fernando filho disputa governo  vamos aguardar ;;;;993493722263367681;https://twitter.com/nossavozonline/status/993493722263367681;;Não Existe
carlosbritto1;2018-05-06 16:12;0;0;fernando filho garante miguel coelho captou recursos federais petrolina ano cinco meses quase lossio anos carlosbrittofernandofilho garantemiguelcoelhojacaptourecursosfederaispetrolinaanocincomesesquaselossio8anos 18pyrta6kp;;;;993206890678161409;https://twitter.com/carlosbritto1/status/993206890678161409;;Não Existe
canalblitztv;2018-05-04 12:38;0;0;em discurso miguel coelho entender fernando filho candidato governo pernambuco ;;;;992428223345684481;https://twitter.com/canalblitztv/status/992428223345684481;;Não Existe
sampaio_mikael;2018-05-04 12:36;0;0;miguel coelho aponta fernando filho precandidato governo pernambuco mikaelsampaiosinglepost20 0504miguelcoelhoapontafernandofilhoprc3a9candidatogovernopernambuco ;;;;992427759111688192;https://twitter.com/sampaio_mikael/status/992427759111688192;;Não Existe
nossavozonline;2018-05-04 09:42;0;1;miguel coelho aponta fernando filho precandidato governo pernambuco ;;;;992383904496672768;https://twitter.com/nossavozonline/status/992383904496672768;;Não Existe
carlosbritto1;2018-05-04 06:20;0;0;miguel coelho discursa coloca nome fernando filho precandidato governo pernambuco carlosbrittomiguelcoelho discursacolocanomefernandofilhoprecandidatogovernopernambuco 9ns2mg7om;;;;992333118622322688;https://twitter.com/carlosbritto1/status/992333118622322688;;Não Existe
blogdidigalvao;2018-05-01 00:22;0;0;em visita municipio santa maria boa vista senador fernando bezerra coelho fala precandidatura filho deputado estadual unicipiosantamariaboavistasenadorfernandobezerracoelhofalaprecandidaturafilhodeputadoestadual;;;;991155816899252228;https://twitter.com/blogdidigalvao/status/991155816899252228;;Não Existe
carlosbritto1;2018-04-30 07:31;0;0;o cacula ;;;;990901518542008321;https://twitter.com/carlosbritto1/status/990901518542008321;;Não Existe
andersson_lessa;2018-04-27 11:12;0;0;minas gerais rio janeiro quem votou pior eduardo azeredo marcello alencar itamar franco anthony garotinho aecio neves benedita silva antonio anastasia rosinha garotinho alberto pinto coelho jr sergio cabral filho fernando pimentel luiz fernando pezao;;;;989869892609499137;https://twitter.com/andersson_lessa/status/989869892609499137;;Não Existe
CelyaRegyna;2018-04-26 13:17;0;1;sabotagem paga com o seu dinheiro a gestao golpista michel temer ajuda fernando bezerra coelho filho co irma petrolina usou r milhoes eletrobras raspagour2milhoesseratacada ;;;;989538893283328000;https://twitter.com/CelyaRegyna/status/989538893283328000;;Não Existe
br_green_heart;2018-04-21 21:50;0;0;um completo perna pau de operario nada capacete emprestado cai bem  outro falso time aecio doria rodrigo maia fernando coelho filho fingem povo apenas querem enganar tirar proveito todos  us987139554456096769 ;;;;987856158974242816;https://twitter.com/br_green_heart/status/987856158974242816;;Não Existe
carlosbritto1;2018-04-20 16:59;0;0;cotado ser candidato deputado estadual eleicoes deste ano jovem antonio coelho  filho cacula senador fernando bezerra coelho carlosbrittocotadoestad ualantoniocoelhoevitarfalarpoliticadurantelancamentosaojoaopetrolina;;;;987420449809330176;https://twitter.com/carlosbritto1/status/987420449809330176;;Não Existe
carlosbritto1;2018-04-16 06:20;0;0;o dia ontem 15 trabalho visitas entregas deputado federal fernando filho dem cidade petrolina ao lado prefeito miguel coelho senador carlosbrittomini steriofernandofilhocomecacaminhadarumoreeleicao;;;;985810218989867009;https://twitter.com/carlosbritto1/status/985810218989867009;;Não Existe
intelog;2018-04-15 16:23;0;0;setor eletrico preocupado saida fernando coelho filho mme para walfrido vila presidente trad http;;;;985599478844592133;https://twitter.com/intelog/status/985599478844592133;;Não Existe
blogdidigalvao;2018-04-14 16:40;0;0;fernando filho senador fernando bezerra coelho dialogam populacao zona rural petrolina ;;@Shareaholic;;985241296192393217;https://twitter.com/blogdidigalvao/status/985241296192393217;;Não Existe
carlosbritto1;2018-04-14 07:58;0;0;o deputado federal fernando filho senador fernando bezerra coelho participaram reuniao noite desta sextafeira carlosbrittoladofer nandofilhosenador;;;;985110055572865025;https://twitter.com/carlosbritto1/status/985110055572865025;;Não Existe
ibp_br;2018-04-13 17:30;1;5;o exministro minas energia fernando coelho filho estara rio oil  gas de setembro rio janeiro participe mais informacoes riooilgasbr 9ibc;;;#riooilgas #energiaparatransformar;984891558469173250;https://twitter.com/ibp_br/status/984891558469173250;;Não Existe
fullenergybr;2018-04-13 15:53;0;0;direto redacao revista full energy  confira noticias desta semana  exministro fernando coelho filho avalia positivos dois anos frente ministerio minas energia  no lugar facebookfullenergybrv ideos1944153668929420;;;;984867180524244992;https://twitter.com/fullenergybr/status/984867180524244992;;Não Existe
ricocomvc;2018-04-13 11:34;0;1;os principais henrique meirelles fernando bezerra coelho filho o primeiro ocupava cargo ministro fazenda enquanto segundo ministro minas energia ambos enorme influencia positiva governo temer;;;;984802098167631872;https://twitter.com/ricocomvc/status/984802098167631872;;Não Existe
