username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
dudulimacabofm;2018-06-06 15:53;0;0;ja pensou pudesse escolher comprar energia o deputado federal joao fernando coutinho preside comissao especial camara analisa projeto lei n19172015 portabilidade facebookdudulima5473 videos2187293208166099;;;;1004436213766475777;https://twitter.com/dudulimacabofm/status/1004436213766475777;['positivo'];Não Existe
prosnacamara;2018-06-05 17:07;0;0;decidir comprar energia o deputado federal joao fernando coutinho preside comissao especial camara analisa proposta portabilidade conta luz a proposta aumenta competitividade facebookprosnacamarav ideos2089926224368699;;;;1004092320722182144;https://twitter.com/prosnacamara/status/1004092320722182144;['positivo'];Não Existe
prosnacamara;2018-06-05 13:28;0;0;o deputado joao fernando coutinho prospe conduz logo partir h plenario terceira audiencia publica comissao especial sobre portabilidade ;;;;1004037186545766402;https://twitter.com/prosnacamara/status/1004037186545766402;['positivo'];Não Existe
prosnacamara;2018-05-29 13:18;0;0;deputado federal joao fernando coutinho prospe fala sobre abertura mercado apos audiencia publica comissao especial portabilidade conta luz projeto lei 15 e presidente facebookprosnacamarav ideos2081435138551141;;;;1001498132214112257;https://twitter.com/prosnacamara/status/1001498132214112257;['positivo'];Não Existe
prosnacamara;2018-05-22 15:04;0;0;deputado joao fernando coutinho conduz audiencia publica setor eletrico a audiencia publica acontece comissao portabilidade conta luz camara deputados facebookprosnacamarav ideos2073706689323986;;;#prosnac #prosnacional #c;998987859699912707;https://twitter.com/prosnacamara/status/998987859699912707;['positivo'];Não Existe
prosnacamara;2018-05-16 12:39;0;0;deputado joao fernando coutinho pe participa comissao direito consumidor facebookprosnacamarav ideos2067126359982019;;;;996777073850179584;https://twitter.com/prosnacamara/status/996777073850179584;['negativo'];Não Existe
prosnacamara;2018-05-09 13:23;0;0;eleito presidente colegiado deputado federal joao fernando coutinho pe disse momento e trabalho populacao possa ;;;;994251639933587456;https://twitter.com/prosnacamara/status/994251639933587456;['negativo'];Não Existe
prosnacamara;2018-05-09 13:01;0;0;deputado joao fernando coutinho pe integra comissao sobre portabilidade conta luz facebookprosnacamarav ideos2059557217405600;;;;994246027120205825;https://twitter.com/prosnacamara/status/994246027120205825;['positivo'];Não Existe
prosnacamara;2018-04-25 11:24;0;0;deputado joao fernando coutinho pe comissao defesa consumidor facebookprosnacamarav ideos2044006585627330;;;#prosnac #prosnacional #c #cdc;989148155211059205;https://twitter.com/prosnacamara/status/989148155211059205;['positivo'];Não Existe
joaofernandope;2018-04-17 22:33;0;0;abril  dia mundial hemofilia o deputado federal joao fernando coutinho presidente frente parlamentar defesa hemobras fala importancia dessa data deixa mensagem apoio facebookjoaofernandopr os90videos998075973683510;;;#JFCnaC #PROSnaC #Hemofilia;986417278894813184;https://twitter.com/joaofernandope/status/986417278894813184;['positivo'];Não Existe
joaofernandope;2018-04-17 17:56;0;0;em audiencia ministerio integracao nacional nesta tercafeira 17 deputado joao fernando coutinho pros solicitou ministro antonio padua especial atencao continuidade investimentos facebookjoaofernandopr os90posts997993543691753 ;;;;986347663653158913;https://twitter.com/joaofernandope/status/986347663653158913;['positivo'];Não Existe
TENORIOTEC;2018-04-12 20:36;0;0;deputado joao fernando coutinho parabeniza prefeito pel lages cidade sao jose coroa grande facebookblogtenoriocav alcantivideos2090754214496266;;;;984575969800302592;https://twitter.com/TENORIOTEC/status/984575969800302592;['positivo'];Não Existe
