username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
EdmarLyra;2018-06-11 15:34;0;0;marinaldo rosendo participa ato armando edmarlyramarinaldorose ndoparticipaatoarmando 19e83bwdha;;;;1006243251647545345;https://twitter.com/EdmarLyra/status/1006243251647545345;['positivo'];Não Existe
blogdoelielson;2018-06-11 12:21;0;0;marinaldo rosendo participa evento oposicao representando pp ldorosendoparticipaeventooposicaorepresentandopp;;;;1006194741120323585;https://twitter.com/blogdoelielson/status/1006194741120323585;['neutro'];Não Existe
eduardonino;2018-06-11 10:22;0;0;retweeted eduardo deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;@eduardonino @VAuiar;;1006164742430449664;https://twitter.com/eduardonino/status/1006164742430449664;['negativo'];Não Existe
eduardonino;2018-06-10 22:27;2;2;retweeted eduardo deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;@eduardonino;;1005984805434155013;https://twitter.com/eduardonino/status/1005984805434155013;['negativo'];Não Existe
eduardonino;2018-06-10 21:46;5;6;deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;;;1005974426075189250;https://twitter.com/eduardonino/status/1005974426075189250;['negativo'];Não Existe
eduardonino;2018-06-10 21:45;3;3;deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;;;1005974256776171520;https://twitter.com/eduardonino/status/1005974256776171520;['negativo'];Não Existe
eduardonino;2018-06-10 21:44;1;0;deputados psbpe votaram favor golpe danilo cabral fernando coelho filho gonzaga patriota joao fernando coutinho marinaldo rosendo tadeu alencar;;;;1005974085732626433;https://twitter.com/eduardonino/status/1005974085732626433;['negativo'];Não Existe
MarinaldoRosend;2018-06-08 19:30;1;0;o deputado federal marinaldo rosendo parabeniza mesa diretora camara municipal igarassu eleita quintafeira junho periodo 2020 no proximo ano janeiro vereador ademar htmlm1 ;;;;1005215452962938880;https://twitter.com/MarinaldoRosend/status/1005215452962938880;['negativo'];Não Existe
blogdejamildo;2018-06-07 15:04;0;1;marinaldo rosendo pp vai evento oposicao paulo camara ;;;;1004786085845663745;https://twitter.com/blogdejamildo/status/1004786085845663745;['positivo'];Não Existe
blogdoelielson;2018-06-03 19:51;0;0;em timbauba marinaldo rosendo recebe representantes sintraf lideres politicos regiao baubamarinaldorosendoreceberepresentantessintrafliderespoliticosregiao;;;;1003408817646755840;https://twitter.com/blogdoelielson/status/1003408817646755840;['negativo'];Não Existe
EdmarLyra;2018-06-03 19:13;0;1;marinaldo rosendo mora timbaubape recebe representantes sintraf lideres politicos regiao edmarlyramarinaldorose ndomoratimbaubapereceberepresentantessintrafliderespoliticosregiao 0e;;;;1003399214670516225;https://twitter.com/EdmarLyra/status/1003399214670516225;['negativo'];Não Existe
blogdoelielson;2018-06-01 23:52;0;0;marinaldo rosendo destina emenda parlamentar aplicacao gel impermeabilizante areas risco jaboatao ldorosendodestinaemendaparlamentaraplicacaogelimpermeabilizanteareasriscojaboatao;;;;1002744823378534400;https://twitter.com/blogdoelielson/status/1002744823378534400;['neutro'];Não Existe
blogdoelielson;2018-06-01 10:52;0;0;marinaldo rosendo diz tranquilo decisao dias toffoli ldorosendodiztranquilodecisaodiastoffoli;;;;1002548405678297088;https://twitter.com/blogdoelielson/status/1002548405678297088;['positivo'];Não Existe
blogdoelielson;2018-06-01 10:32;1;2;supremo manda petrolina inquerito investiga deputado marinaldo rosendo mandapetrolinainqueritoinvestigadeputadomarinaldorosendo;;;;1002543401252933632;https://twitter.com/blogdoelielson/status/1002543401252933632;['positivo'];Não Existe
EdmarLyra;2018-05-29 12:09;0;0;emenda parlamentar marinaldo rosendo chega itaquitinga edmarlyraemendaparlame ntarmarinaldorosendochegaitaquitinga ;;;;1001480608512593920;https://twitter.com/EdmarLyra/status/1001480608512593920;['negativo'];Não Existe
nibiru201545;2018-05-27 18:20;0;0;ap nao jhc al sim joao fernando coutinho pe sim jose reinaldo ma sim jose stedile rs sim julio delgado mg nao keiko ota sp sim leopoldo meyer pr sim luciano ducci pr sim luiz lauro filho sp sim maria helena rr sim marinaldo rosendo pe sim paulo foletto es sim rafael motta;;;;1000849311301865473;https://twitter.com/nibiru201545/status/1000849311301865473;['positivo'];Não Existe
