username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
daniteo;2018-06-10 19:03;23;177;ricardo oliveira na gaveta 7hlgvnv0pe;;;;1005933593112260609;https://twitter.com/daniteo/status/1005933593112260609;['neutro'];Belo Horizonte, MG, Brasil
MarcioQueen;2018-06-08 21:11;0;0;o dia audiencias cpi limoprev e marcado depoimento deputado federal ricardo teobaldo ;;;;1005240817986912257;https://twitter.com/MarcioQueen/status/1005240817986912257;['positivo'];Limoeiro-PE
podemos_19;2018-05-28 15:46;2;6;a presidente nacional podemos dep federal sp dep federal ricardo teobaldo pe receberam representantes policia rodoviaria federal estados go rj sp durante encontro ocorreram varias filiacao podemos bemvindos 8hu8bu;;@RenataAbreuDep;#Podemos19;1001172961456459776;https://twitter.com/podemos_19/status/1001172961456459776;['positivo'];
Paivasil;2018-05-28 12:36;0;0;gonzaga patriota psb joao f coutinho psb marivaldo roendo psb tadeu alencar psb andre paula psd betinho gomes psdb daniel coelho psdb ricardo teobaldo podemos fonte congresso em foco;;;;1001125002593357829;https://twitter.com/Paivasil/status/1001125002593357829;['positivo'];Curitiba, Brazil
nibiru201545;2018-05-27 18:20;0;0;to sim dr sinval malheiros sp sim ezequiel teixeira rj sim francisco chapadinha pa sim jozi araujo ap sim luiz carlos ramos rj sim ricardo teobaldo pe sim total ptn pv evair vieira melo es sim evandro gussi sp sim total pv rede alessandro molon rj nao joao;;;;1000849252946513921;https://twitter.com/nibiru201545/status/1000849252946513921;['positivo'];
nibiru201545;2018-05-27 18:19;0;0;sim aluisio mendes ma sim bacelar ba nao carlos henrique gaguim to sim dr sinval malheiros sp sim ezequiel teixeira rj sim francisco chapadinha pa sim jozi araujo ap sim luiz carlos ramos rj sim ricardo teobaldo pe sim total ptn pv evair vieira melo es;;;;1000849087170859012;https://twitter.com/nibiru201545/status/1000849087170859012;['positivo'];
blogdoelielson;2018-05-17 22:39;0;0;joaquim lapa deixara votar ricardo teobaldo apoiara junior uchoa federal mlapadeixaravotarricardoteobaldoapoiarajunioruchoafederal;;;;997290422060937216;https://twitter.com/blogdoelielson/status/997290422060937216;['negativo'];Pernambuco, Brasil
blogdoelielson;2018-05-16 14:14;0;0;em nota compesa responde criticas deputado ricardo teobaldo sobre reuniao guadalajara compesarespondecriticasdeputadoricardoteobaldosobrereuniaoguadalajara;;;;996801080322215936;https://twitter.com/blogdoelielson/status/996801080322215936;['neutro'];Pernambuco, Brasil
blogdoelielson;2018-05-15 17:18;0;0;ricardo teobaldo classifica campanha ilusao evento compesa guadalajara teobaldoclassificacampanhailusaoeventocompesaguadalajara;;;;996484900734681088;https://twitter.com/blogdoelielson/status/996484900734681088;['neutro'];Pernambuco, Brasil
BarretoEcbf;2018-05-09 22:16;0;0;pe adalberto cavalcantiandre paulaaugusto coutinhobetinho gomesbruno araujoeduardo cadocadaniel coelhofernando coelho filhofernando monteirojarbas vasconcelosjoao fernando coutinhojorge corte realkaio manicobamarinaldo rosendomendonca filhoricardo teobaldo;;;;994385769363136512;https://twitter.com/BarretoEcbf/status/994385769363136512;['negativo'];Pernambuco, Brazil
