username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
carlosbritto1;2018-06-04 13:35;0;0;petrolina recebera neste domingo 10 precandidata presidente republica pcdob manuela dvila acompanhada deputada federal luciana santos carlosbrittomanueladavila lancaracandidaturapresidenciarepublicapetrolinanestedomingo;;;;1003676552628928513;https://twitter.com/carlosbritto1/status/1003676552628928513;['negativo'];Não Existe
ivonepita;2018-06-04 09:28;1;6;ciro articula apoio psb pcdob manuela dvila  turno presidente pcdob deputada luciana santos admite partido pode desistir candidatura propria unificar esquerda huffpostbrasil20180604cir articulaapoiopsbpcdobmanueladavila1oturnoa23448997;;;;1003614562233528320;https://twitter.com/ivonepita/status/1003614562233528320;['negativo'];Não Existe
huffpostbrasil;2018-06-04 09:08;52;268;presidente pcdob deputada luciana santos admite partido pode desistir candidatura propria unificar esquerda http;;;;1003609406171475969;https://twitter.com/huffpostbrasil/status/1003609406171475969;['negativo'];Não Existe
Trocades65;2018-05-30 16:41;0;0;a presidenta nacional pcdob deputada luciana santos pe deputado givaldo vieira pcdobes participaram reuniao comissao geral realizada plenario ;;;;1001911402922168321;https://twitter.com/Trocades65/status/1001911402922168321;['positivo'];Não Existe
portalvermelho;2018-05-29 23:30;4;8;durante debate comissao geral realizada camara nesta tercafeira 29 presidente nacional pcdob deputada luciana santos pe categorica petrobras serve mercado impoe pedro parente entende http;;;;1001651968786489344;https://twitter.com/portalvermelho/status/1001651968786489344;['positivo'];Não Existe
PCdoBnaCamara;2018-05-29 19:13;1;3;a presidente nacional pcdob deputada luciana santos pontuou decisao precisa ser tomada leva estatal mercado valores entende serve brasil deve defender  ;;;;1001587252026212352;https://twitter.com/PCdoBnaCamara/status/1001587252026212352;['negativo'];Não Existe
PCdoBnaCamara;2018-05-29 09:57;0;0;comissao geral debater saidas crise combustiveis brasil presidente nacional pcdob partido comunista brasil deputada luciana santos falara nome legenda facebookpcdobnacamaravideos848182428707319;;;#AoVo;1001447421422067714;https://twitter.com/PCdoBnaCamara/status/1001447421422067714;['negativo'];Não Existe
portalvermelho;2018-05-24 20:30;6;10;a presidenta nacional pcdob deputada federal luciana santos pe denunciou politica antinacional entreguista governo michel temer durante discurso plenario camara deputados nesta quartafeira 23 confira video http;;;;999794734280327168;https://twitter.com/portalvermelho/status/999794734280327168;['positivo'];Não Existe
DeCidaPedrosa;2018-05-24 16:50;2;1;nossa deputada luciana santos denunciou e segundo apagao pais ocasionado gestao entreguista antinacional pedro parente com fhc ficamos energia temer falta e combustivel facebookcidappedrosav ideos2189069814671431;;;;999739441043263488;https://twitter.com/DeCidaPedrosa/status/999739441043263488;['positivo'];Não Existe
PCdoBnaCamara;2018-05-24 09:11;0;0;orlando silva salienta e forma encontrar recursos permitam compensar reducao tributos combustiveis a presidente nacional pcdob deputada luciana santos pontuou  ;;;;999623817852055552;https://twitter.com/PCdoBnaCamara/status/999623817852055552;['positivo'];Não Existe
fatimabezerra;2018-05-23 11:42;0;1;a deputada federal luciana santos frisou debate mesma direcao e realizado camara deputados salvaguardar cultura forro deputada acrescentou necessidade manifestacao cultural incorporada politicas publicas;;;#EquipeFB;999299610505043969;https://twitter.com/fatimabezerra/status/999299610505043969;['positivo'];Não Existe
WaldemarBorges;2018-05-22 08:09;0;0;de ontem participando conversa liderancas empresa brasileira correios sede pcdob lado deputada luciana santos rezenildo mendes na ocasiao ressaltada necessidade fortalecer defesa desse importante patrimonio nacional 1fyyuayp1;;;#correios #ebct;998883637897646080;https://twitter.com/WaldemarBorges/status/998883637897646080;['positivo'];Não Existe
portalvermelho;2018-05-22 02:30;2;1;o presidente fundacao mauricio grabois renato rabelo presidenta pcdob deputada federal luciana santos pe abriram seminario bicentenario karl marx desbravar mundo novo seculo xxi afirmando atualidade http;;;;998798171861127168;https://twitter.com/portalvermelho/status/998798171861127168;['positivo'];Não Existe
Adilson78678629;2018-05-20 08:35;0;0;ate momento vi luciana santos enfrentamos pronunciando apoio lula  possivel apontar participacao deputada nesses eventos principalmente curitiba;;@deputadaluciana;;998165261588025350;https://twitter.com/Adilson78678629/status/998165261588025350;['positivo'];Não Existe
PCdoBnaCamara;2018-05-10 12:23;1;3;para presidente nacional pcdob deputada luciana santos pe e acao importante ocorre parlamento nesse momento pois visa barrar agenda desmonte estado brasileiro id852510442885117741531011 ;;;#Petr;994598858008285184;https://twitter.com/PCdoBnaCamara/status/994598858008285184;['positivo'];Não Existe
pregopontocom;2018-05-08 20:57;0;0;pregopontocom tudo deputada luciana santos denuncia parlamento europeu ruptura democratica brasil  lucianasantosdenunciahtmlspreftw ;;;;994003358901063680;https://twitter.com/pregopontocom/status/994003358901063680;['positivo'];Não Existe
