username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
LeiaJaOnline;2018-06-11 16:45;2;2;pastor eurico nao rabo preso ninguem  3x141h;;;#T;1,00626126617496E+018;https://twitter.com/LeiaJaOnline/status/1006261266174959621;['negativo'];
edvaldomoraispe;2018-06-08 21:39;0;0;rosa weber nega seguimento queixacrime contra pastor eurico ;;;;1,00524794284706E+018;https://twitter.com/edvaldomoraispe/status/1005247942847057921;['negativo'];Olinda-PE
carmemsantos55;2018-06-08 20:43;0;0;rosa weber nega seguimento queixacrime contra pastor eurico icablogfolha20180607blg65927509politica2419rosawebernegaseguimentoqueixacrimecontrapastoreuricoaspx ;;;;1,00523390142453E+018;https://twitter.com/carmemsantos55/status/1005233901424533506;['negativo'];Recife-PE
DanAdjuto;2018-06-08 13:28;7;24;o min luiz fux marcou depoimento dep pastor eurico testemunha defesa jair bolsonaro acao e reu injuria incitacao crime estupro pastor eurico ouvido dia 08 h;;;;1,00512429133004E+018;https://twitter.com/DanAdjuto/status/1005124291330035712;['negativo'];
vascomunistas;2018-06-08 01:38;0;0;rosa weber nega seguimento queixacrime contra pastor eurico http;;;;1,00494576241169E+018;https://twitter.com/vascomunistas/status/1004945762411687936;['negativo'];Rio de Janeiro, Brazil
partidoPEN51;2018-06-07 11:39;0;0;cabo daciolo pastor eurico fazem pronunciamento favor caminhoneiros http;;@YouTube;;1,00473452189865E+018;https://twitter.com/partidoPEN51/status/1004734521898651649;['negativo'];Brasil
marcknho;2018-06-04 13:08;0;0;pode  ;;@BolsonaroSP @BolsonaroSP @Francischini_ @alberto_fraga @PastorEurico @marcofeliciano @lincoln_portela @flavinhocn @IzalciLucas @onyxlorenzoni @marcknho @anaamelialemos @ronaldocaiado @lasiermartins @MagnoMalta;;1,00366991731554E+018;https://twitter.com/marcknho/status/1003669917315543041;['neutro'];Curitiba
RenatinhoNeto;2018-06-03 20:16;6;38;valdir ta la porque fez campanha eurico inclusive arregimentando muitos socios campo grande mas unica vez testado bem e idolo clube inegavelmente ainda acho vem medalhao segurar barra pastor;;;;1,00341515552133E+018;https://twitter.com/RenatinhoNeto/status/1003415155521327107;['negativo'];Leblon - RJ - Brasil
51pauloroberto;2018-06-01 19:49;0;0;na tarde desta sextafeira 1 recebendo visita deputado federal presidente patriota pastor eurico junto participamos batepapo radio tabocas fm sobre cotidiano facebookpaulorobertopr oficialposts2080501348906078 ;;;;1,00268358172921E+018;https://twitter.com/51pauloroberto/status/1002683581729210369;['positivo'];
igandradee;2018-05-30 22:04;0;0;pqp alguem manda padre pastor ir la sj amor deus pai santo qualquer coisa pra tira macumba eurico;;;;1,00199285932162E+018;https://twitter.com/igandradee/status/1001992859321622528;['negativo'];Cordovil, Rio de Janeiro
eduardonino;2018-05-28 20:10;5;4;retweeted eduardo deputados pe votaram pra entregar petroleo pre sal empresas estrangeiras shell exnmobil totaletc cadoca pdt pastor eurico phs jarbas vasconcelos mdb kaio manicoba mdb facebookeduardosilvas ouzaposts1807456639276211 ;;@eduardonino;;1,00123935594242E+018;https://twitter.com/eduardonino/status/1001239355942424579;['positivo'];Brazil
eduardonino;2018-05-28 17:29;16;16;deputados pe votaram pra entregar petroleo pre sal empresas estrangeiras shell exnmobil totaletc cadoca pdt pastor eurico phs jarbas vasconcelos mdb kaio manicoba mdb facebookeduardosilvas ouzaposts1807456639276211 ;;;;1,00119871690313E+018;https://twitter.com/eduardonino/status/1001198716903133192;['positivo'];Brazil
GildazioMouraPT;2018-05-28 13:05;0;0;deputados pe votaram pra entregar petroleo pre sal empresas estrangeiras shell exn mobil totaletc podem informar onde caras agora cadoca pdt pastor eurico phs facebookgildaziomouraposts10209090753746426 ;;;;1,00113236868027E+018;https://twitter.com/GildazioMouraPT/status/1001132368680271872;['positivo'];Recife - Pernambuco
Paivasil;2018-05-28 12:36;0;0;deputados pe votaram pra entregar petroleo pre sal empresas estrangeiras shell exnmobil totaletc cadoca pdt pastor eurico phs jarbas vasconcelos mdb kaio manicoba mdb fernando monteiro pp dudu fonte pp creuza pereira psb;;;;1,00112499840325E+018;https://twitter.com/Paivasil/status/1001124998403248129;['positivo'];Curitiba, Brazil
djincidental;2018-05-28 12:05;0;0;faz printi ai  deputados pe votaram pra entregar petroleo pre sal empresas estrangeiras shell exn mobil etc cadoca pdt pastor eurico phs jarbas vasconcelos mdb kaio manicoba facebookdjincidentalp osts10213997807354154 ;;;;1,00111727155983E+018;https://twitter.com/djincidental/status/1001117271559831552;['negativo'];Olinda - Pernambuco - Brazil
nibiru201545;2018-05-27 18:21;0;0;jorge silva es nao marcelo aro mg sim marcelo matos rj sim pastor eurico pe sim total phs pmb weliton prado mg nao total pmb mdb alceu moreira rs sim alexandre serfiotis rj sim altineu cortes rj sim andre amaral pb sim anibal gomes ce sim baleia rossi sp;;;;1,00084938005065E+018;https://twitter.com/nibiru201545/status/1000849380050653184;['positivo'];
nibiru201545;2018-05-27 18:20;0;0;phs carlos andrade rr sim diego garcia pr sim dr jorge silva es nao marcelo aro mg sim marcelo matos rj sim pastor eurico pe sim total phs pmb weliton prado mg nao total pmb mdb alceu moreira rs sim alexandre serfiotis rj sim altineu cortes rj sim andre;;;;1,00084921395621E+018;https://twitter.com/nibiru201545/status/1000849213956214784;['positivo'];
rutelira;2018-05-27 10:24;0;0;pastor eurico inacio lima pastor amigo deus abencoe sempre vida bencaos medidas agradecemos deus vida;;;;1,00072939542911E+018;https://twitter.com/rutelira/status/1000729395429105665;['negativo'];brasil
opbbrasil;2018-05-26 21:01;0;0;adicionei video lista reproducao  eurico e opb contra pec;;@YouTube;;1,00052737477207E+018;https://twitter.com/opbbrasil/status/1000527374772068352;['negativo'];Recife, Brazil
michellypolyana;2018-05-20 11:23;0;0;essa galera sirinhaem vive reclamando prefeito esquecem deputados prometeram nada cumpriram vou comecar querido pastor eurico pois nele votei agora vi nenhum facebookmichellepolian posts1967962803246034 ;;;;9,98207693004341E+017;https://twitter.com/michellypolyana/status/998207693004341248;['negativo'];Recife
Nill_Junior;2018-05-16 16:52;0;0;pastor eurico visita hospital regional emilia camara  4dga5dcwo;;;;9,96840720232202E+017;https://twitter.com/Nill_Junior/status/996840720232202240;['negativo'];Pernambuco
vascomunistas;2018-05-15 12:36;0;1;pastor eurico reclama obstrucao partidos esquerda camara http;;;;9,96414121523405E+017;https://twitter.com/vascomunistas/status/996414121523404800;['negativo'];Rio de Janeiro, Brazil
blogdejamildo;2018-05-15 11:58;0;1;pastor eurico reclama obstrucao partidos esquerda camara ;;;;9,96404548574044E+017;https://twitter.com/blogdejamildo/status/996404548574044160;['positivo'];Pernambuco, Brasil
jairogaraujo;2018-05-15 07:58;0;0;eu nada ver governo ai mim faz parte governo anterior afirma pastor eurico blogdojairogomes201805nao nadavergovernohtmlspref;;;;9,96343940751266E+017;https://twitter.com/jairogaraujo/status/996343940751265792;['negativo'];Santa Cruz do Capibaribe/PE
jairogaraujo;2018-05-15 07:57;0;0;o deputado federal pastor eurico penpe durante entrevista concedida a filadelfia fm falou sobre luta junto movimento emancipacionista brasilia alem comentar importancia dignidade politica sobretudo proximidade blogdojairogomes201805nao nadavergovernohtmlspref;;;;9,96343921990095E+017;https://twitter.com/jairogaraujo/status/996343921990094848;['positivo'];Santa Cruz do Capibaribe/PE
fabiocoutsilva;2018-05-09 11:15;1;0;boa parte parlamentares phs base eleitoral fieis assembleia deus outras denominacoes evangelicas neste ano assembleia deus quer lancar pastor eurico senado legenda;;;;9,94219199244497E+017;https://twitter.com/fabiocoutsilva/status/994219199244496906;['negativo'];
marcknho;2018-05-06 18:30;0;0; istatus993185156507799552 ;;@BolsonaroSP @Francischini_ @deltanmd @EderMauroPA @delegado_waldir @alberto_fraga @onyxlorenzoni @marcofeliciano @DepSostenes @MarcosRogerio @IzalciLucas @lincoln_portela @JanainaDoBrasil @PastorEurico @PastorMalafaia @aguinaldaosilva @roxmo @rogeriosmarinho;;9,93241506919211E+017;https://twitter.com/marcknho/status/993241506919211008;['negativo'];Curitiba
Pref_Eldorado;2018-05-05 13:12;0;0;feira de adoo realizada praca pastor eurico silva praca central acao secretaria municipal meio ambiente smam ocorrera h venha participar de lar facebookprefeldoradodo sulvideos1675149105896847;;;;9,9279916156423E+017;https://twitter.com/Pref_Eldorado/status/992799161564229632;['negativo'];Eldorado do Sul, Brasil
pedro_eurico_;2018-05-04 21:18;0;0;quando pastor faz referencia vivo pra cazuza;;;;9,92559007972905E+017;https://twitter.com/pedro_eurico_/status/992559007972904960;['positivo'];Rio de Janeiro, Brasil
EuricoAraujo;2018-05-04 11:05;0;0;o senhor e pastor nada faltara  gloria aleluia eurico araujo facebookeuricoaraujov ideos1761958033861903;;;;9,92404954399855E+017;https://twitter.com/EuricoAraujo/status/992404954399854592;['neutro'];PARANÁ / BRASIL
partidoPEN51;2018-05-03 10:37;0;0;deputado pastor eurico presta solidariedade vereador dr rodrigo lagoa itaengape http;;@YouTube;;9,92035509877854E+017;https://twitter.com/partidoPEN51/status/992035509877854208;['negativo'];Brasil
eurico_ces;2018-04-29 17:04;0;0;por pais e epessoas querem brigar imagem ganhar imoralidade faltacarater bola amorteceu mao pastor reclamou;;;;9,90683170122105E+017;https://twitter.com/eurico_ces/status/990683170122104832;['negativo'];
arthurquares;2018-04-25 23:02;1;0;existem tres tipos criminosos merecem tudo ruim pior pena possivel politico corrupto pastor elorador cartola corrupto o q corja corruptos fazem brasil q edir macedo faz fieis q eurico campello fazem c vasco  imperdovel porra;;;;9,8932377482992E+017;https://twitter.com/arthurquares/status/989323774829920258;['negativo'];Seropédica, Brasil
ONG_GABRASIL;2018-04-23 13:26;0;0;ccj aprova projeto amplia subsidio energia agricultura irrigada aquicultura pastor eurico  ;;;;9,88454026940428E+017;https://twitter.com/ONG_GABRASIL/status/988454026940428288;['positivo'];Brasil-São Paulo-Bebedouro
AlineRicardo88;2018-04-22 10:10;0;0;pastor jacinto manto to solto vinicius rodrigues eurico aguiar ;;;#YouTube #T;9,88042346385281E+017;https://twitter.com/AlineRicardo88/status/988042346385281025;['negativo'];Vitória, Brazil
Matt_BR_Nicacio;2018-04-21 21:11;0;0;pode pegar pista nova lado feitosa rua desembargador helio cabral lado jaca rua pastor eurico calheiros passando sitios bar pode ir lesteoeste deserto pode ir piabas perigoso q  pode ir conjunto bariloche;;;;9,87846402817569E+017;https://twitter.com/Matt_BR_Nicacio/status/987846402817568769;['negativo'];Império de Alagoas
joaohenrique100;2018-04-20 17:33;0;0;pastor eurico declara solideriedade seca sertao pernambucano http;;@YouTube;;9,87429059541E+017;https://twitter.com/joaohenrique100/status/987429059541000193;['negativo'];Brasil
partidoPEN51;2018-04-18 16:44;0;0;pastor eurico presta solidariedade vitimas enchentes sertao pernambucano http;;@YouTube;;9,86692015176999E+017;https://twitter.com/partidoPEN51/status/986692015176998913;['negativo'];Brasil
jorgersm;2018-04-18 15:58;0;1;deputado pastor eurico fala camara crime gleisi hoffman cometeu pedir ajuda terroristas nos representou;;;#GleisiNaCadeia;9,86680365241823E+017;https://twitter.com/jorgersm/status/986680365241823232;['negativo'];Jundiaí, Brasil
fabianosmith123;2018-04-14 14:59;0;0;hoje fazendo homenagem melhor amigo paizao pastor eurico feliz aniversario  ;;;;9,85216090442789E+017;https://twitter.com/fabianosmith123/status/985216090442788864;['positivo'];São Paulo, Brasil
IzaMilanez;2018-04-13 17:58;0;0;nosso site izaimobiliaria br codigo anuncio ap0149 alugamos lindo apartamento mobiliado ed puerto cristal rua pastor eurico alfredo nelson embratel apartamento mobiliado sala facebookizaimobiliaria posts1809473449116381 ;;;;9,84898582972166E+017;https://twitter.com/IzaMilanez/status/984898582972166145;['negativo'];Rondônia, Brazil
jairogaraujo;2018-04-10 17:13;0;0;prefeito rafael municipio afranio agradece deputado pastor eurico blogdojairogomes201804prefei torafaelmunicipioafraniohtmlspref;;;;9,83800152451355E+017;https://twitter.com/jairogaraujo/status/983800152451354626;['negativo'];Santa Cruz do Capibaribe/PE
jairogaraujo;2018-04-10 17:13;0;0;prefeito rafael temos deputados voto afranio ajudaram mil votos disse receber trator pastor eurico blogdojairogomes201804prefei torafaelmunicipioafraniohtmlspref;;;;9,83800046436127E+017;https://twitter.com/jairogaraujo/status/983800046436126720;['negativo'];Santa Cruz do Capibaribe/PE
jgeraldo1966;2018-04-10 15:12;0;0;vamos ligar para os deputados do pen e pedir que retirem o pedido de liminar do stf dep erivelton santana 2756 dep junior marreca 2537 dep pastor eurico 5900 dep walney rocha 5575;;;;9,83769734142448E+017;https://twitter.com/jgeraldo1966/status/983769734142447616;['negativo'];Minas Gerais
jgeraldo1966;2018-04-10 14:59;0;1;o brasil conta com o apoio do para o bem da nao e o fortalecimento no combate  corrupo retirem o pedido de liminar no contamos com vocs e o brasil agradece;;@partidoPEN51 @STF_oficial @Adilson_Barroso @DepErivelton @juniormarreca @PastorEurico @walneyrocha;;9,83766333291729E+017;https://twitter.com/jgeraldo1966/status/983766333291728896;['positivo'];Minas Gerais
Silbass;2018-04-10 05:40;0;1;continuacao pastor eurico penpe 61 5906 deppastoreuricolegbr walney rocha penrj 61 5575 depwalneyrochalegbr;;@camara @camara;;9,83625861474726E+017;https://twitter.com/Silbass/status/983625861474725888;['negativo'];São Paulo BR
caminhosereno;2018-04-09 20:33;0;1;imagine pastor eurico querendo justificar ovelhas e bem assim decisao advogado partido bla bla bla eu diria pra puteiro organizacaors rs rs;;;;9,83488141783945E+017;https://twitter.com/caminhosereno/status/983488141783945216;['negativo'];Santa Catarina, Brasil
Mary_Greicy;2018-04-09 17:00;0;1;deputado pastor eurico do pen de pernambuconao serve povo 2yrciuljkf;;;#SERVIR;9,83434396719026E+017;https://twitter.com/Mary_Greicy/status/983434396719026177;['negativo'];
