username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
PajeuAM;2018-06-11 10:41;0;0;ao vivo deputado silvio costa participa agora debate dez acompanhe deputadosilviocostaparticipaagoradebatedezacompanhe 18umvvm1;;;;1006169540160614402;https://twitter.com/PajeuAM/status/1006169540160614402;['positivo'];Afogados da Ingazeira-PE
prb10pe;2018-06-08 11:57;0;1;no governo paulo camara 5 mil assassinatos denuncia silvio costa filho o deputado segue cobrando respostas sobre altos indices violencia confira outros detalhes ;;;;1005101416363552769;https://twitter.com/prb10pe/status/1005101416363552769;['positivo'];Pernambuco, Brazil
jorgeandrejobim;2018-06-07 19:40;0;0;deputado slvio costa aponta semelhanas entre lula e mandela facebook10000839970368 videos1905455043077801t0 ;;;;1004855542467219457;https://twitter.com/jorgeandrejobim/status/1004855542467219457;['positivo'];Santa Maria, RS
ubaldobarbosa;2018-06-05 21:53;0;0;tenho pena vota bolsonaro diz deputado silvio costa ;;@YouTube;;1004164355724906499;https://twitter.com/ubaldobarbosa/status/1004164355724906499;['negativo'];
BLOGDOMAGNO;2018-06-04 17:49;0;0;silvio desequilibrio estado compromete servicos de acordo deputado silvio costa filho prb relatorio fiscal execucao orcamentaria joga luz sobre realidade  confira integra aqui d190787 ;;;;1003740648447578113;https://twitter.com/BLOGDOMAGNO/status/1003740648447578113;['positivo'];Brasil
cct1949;2018-06-04 03:53;0;0;deputado silvio costa aponta semelhancas lula mandela ;;@YouTube;;1003530076514856960;https://twitter.com/cct1949/status/1003530076514856960;['positivo'];
normamassa1;2018-06-03 20:50;0;0;deputado silvio costa aponta semelhancas lula mandela ;;@YouTube;;1003423735876026368;https://twitter.com/normamassa1/status/1003423735876026368;['positivo'];
terezaneuman1;2018-06-03 15:55;1;0;deputado silvio costa aponta semelhancas lula mandela ;;@YouTube;;1003349583966232576;https://twitter.com/terezaneuman1/status/1003349583966232576;['positivo'];Pernambuco, Brazil
IbarakiJapao;2018-06-03 12:19;0;0;deputado silvio costa aponta semelhancas lula mandela ;;@YouTube;;1003295143091318784;https://twitter.com/IbarakiJapao/status/1003295143091318784;['positivo'];Bando-shi, Ibaraki
rochapires2;2018-06-03 11:47;0;0;deputado silvio costa aponta semelhancas lula mandela ;;@YouTube;;1003286952085458944;https://twitter.com/rochapires2/status/1003286952085458944;['positivo'];Rio de Janeiro, Brasil
