username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;sentimento;local
Gravatanamidia;2018-05-23 04:47;0;0;politica pe wolney queiroz participara ato pdt gravata nesta sextafeira 25 participaraatopdtgravatanestasextafeira25;;;#COMPARTILHE;999195194280071169;https://twitter.com/Gravatanamidia/status/999195194280071169;['negativo'];Brasil
blogdafolha;2018-05-07 12:22;0;1;participam reuniao senador humberto costa pt deputados federais silvio costa avante bruno araujo psdb wolney queiroz pdt danilo cabral psb tadeu alencar psb jorge corte real ptb andre paula psd ;;;;993511402898944002;https://twitter.com/blogdafolha/status/993511402898944002;['positivo'];Recife - Pernambuco
bernardo_wolney;2018-04-29 10:44;0;1;ppp nanna queiroz  desconheco  ypost4374694431525009443 ;;;;990587518180581376;https://twitter.com/bernardo_wolney/status/990587518180581376;['negativo'];Desconhecido
NoeliaBrito2013;2018-04-12 18:56;0;1;durante suposto almoco danilo cabral wolney queiroz ze dirceu pediram pra petista meter eleicao pernambuco pra pt vez lancar candidatura facebooknoeliabritoblo gposts1841204882570341 ;;;;984550759978037249;https://twitter.com/NoeliaBrito2013/status/984550759978037249;['negativo'];Recife
NoeliaBrito2013;2018-04-12 18:39;1;5;o psb paulo camara estariam tao desesperados tirar candidatura futura governadora marilia arraes segundo blogs edmar lyra folha mandado danilo cabral wolney queiroz facebooknoeliabritoblo gposts1841194372571392 ;;;;984546585756381184;https://twitter.com/NoeliaBrito2013/status/984546585756381184;['positivo'];Recife
MikeTorres221b;2018-04-12 16:47;0;0;wolney queiroz deus;;;;984518358019297280;https://twitter.com/MikeTorres221b/status/984518358019297280;['negativo'];Recife, Brasil
edysant87904473;2018-04-07 20:28;0;0;faco palavras deputado wolney queiroz facebookedileuzas2pos ts2093193944042337 ;;;;982762101860130816;https://twitter.com/edysant87904473/status/982762101860130816;['negativo'];caruaru-Pe
DominiumRelGov;2018-04-04 11:15;0;2;eleitos comissao trabalho administracao servico publico ctasp deputados ronaldo nogueira ptbrs presidente deley ptbrj  vice lucas vergilio sdgo  vice wolney queiroz pdtpe  vice 18pcrdk;;;;981535698237952001;https://twitter.com/DominiumRelGov/status/981535698237952001;['positivo'];Brasília, Brazil
bernardo_wolney;2018-03-25 11:03;0;0;ppp gi queiroz  passo  ypost3699256151521986594 ;;;;977908839923281921;https://twitter.com/bernardo_wolney/status/977908839923281921;['neutro'];Desconhecido
frjunioradv;2018-03-11 14:40;0;0;retweeted wolney  queiroz hoje manha tacaimbo visitando obras ;;@WolneyQueirozM;;972890043009372161;https://twitter.com/frjunioradv/status/972890043009372161;['negativo'];Pernambuco 🌵, Brasil.
_Lima100;2018-02-26 15:19;0;0;prefeitura caruaru e investigada emprestimo milhoes caixa sofre criticas wolney queiroz ;;;;968188837515218944;https://twitter.com/_Lima100/status/968188837515218944;['negativo'];Global
EdmarLyra;2018-02-23 09:04;0;0;o guloso wolney queiroz edmarlyragulosowolne yqueiroz ;;;;967007318897512450;https://twitter.com/EdmarLyra/status/967007318897512450;['negativo'];Recife - PE.
blogmarioflavio;2018-02-09 10:17;0;0;o carnaval politicos queiroz wolney tamandare  7xbveoua8u;;;;961937021806809088;https://twitter.com/blogmarioflavio/status/961937021806809088;['negativo'];Caruaru, PE
PDTnaCamara;2018-01-25 15:00;0;1;wolney queiroz defende pratica ozonioterapia http;;@YouTube;;956572436631379968;https://twitter.com/PDTnaCamara/status/956572436631379968;['negativo'];
cirogomes;2018-01-23 18:43;50;453;junto presidente pdt carlos lupi reuni hoje amigos paulo camara governador pernambuco geraldo julio prefeito recife participaram companheiros wolney ze queiroz momento importante reflexao sobre brasil foto helia scheppa 7hpd;;;;955903804741910529;https://twitter.com/cirogomes/status/955903804741910529;['positivo'];Fortaleza, Brazil
blogdodilson;2018-01-22 15:18;0;0;wolney queiroz nega interferencia demissao tulio gadelha confira ;;;;955489844557475842;https://twitter.com/blogdodilson/status/955489844557475842;['negativo'];Caruaru, Brasil
blogdodilson;2018-01-22 15:16;0;0;wolney queiroz nega interferencia demissao tulio gadelha confira ;;;;955489460778618880;https://twitter.com/blogdodilson/status/955489460778618880;['negativo'];Caruaru, Brasil
Blog_doPovo;2018-01-14 21:39;0;0;preocupado futuro financeiro caruaru deputado federal wolney queiroz faz apelo prefeita raquel ;;;;952686673569239042;https://twitter.com/Blog_doPovo/status/952686673569239042;['negativo'];
jornal_caruaru;2018-01-07 09:54;0;2;ze wolney queiroz tomam banho chuva povo sao bento una ;;;;949972465001824257;https://twitter.com/jornal_caruaru/status/949972465001824257;['positivo'];Caruaru-PE
jornal_caruaru;2017-12-28 10:31;0;0;ze wolney queiroz podem fazer dobradinha eleicoes ;;;;946357992399794182;https://twitter.com/jornal_caruaru/status/946357992399794182;['negativo'];Caruaru-PE
